,s1_afv_nodes,cluster_x,cluster_y,Unnamed: 0,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,split,x,y,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,totaal,glas,papier,plastic,rest,textiel
0,856168,120698,491729,128538.0,372749.0,120698.037~491729.310~afval_cluster~120698.037|491729.310,104608.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3324c6a9-2a43-cf74-fc87-cdab4270b2e8,False,357.0,afval_cluster,120698.037|491729.310,"['120698.037', '491729.310', 'afval_cluster', '120698.037|491729.310']",120698.0,491729.0,['Rest:1'],['Rest:5 m3'],Plejadenweg,N65b,N65,N,1,0.0,0.0,0.0,1.0,0.0
1,807393,120700,492299,111725.0,324015.0,120699.535~492298.614~afval_cluster~120699.535|492298.614,127543.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e6eb99e6-07c5-a87b-ca56-da76a5b675dc,False,357.0,afval_cluster,120699.535|492298.614,"['120699.535', '492298.614', 'afval_cluster', '120699.535|492298.614']",120700.0,492299.0,['Rest:1'],['Rest:5 m3'],Reizigersweg,N66g,N66,N,1,0.0,1.0,0.0,0.0,0.0
2,599549,121061,492623,33825.0,116279.0,121061.072~492622.789~afval_cluster~121061.072|492622.789,47905.0,2020-04-01 13:57:12,2020-04-01 13:57:12,45d168f9-b743-9c7e-8c18-0b989d33dbd6,False,357.0,afval_cluster,121061.072|492622.789,"['121061.072', '492622.789', 'afval_cluster', '121061.072|492622.789']",121061.0,492623.0,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Handmolen,N66f,N66,N,4,0.0,2.0,1.0,1.0,0.0
3,835409,121159,492958,121377.0,352006.0,121158.758~492957.782~afval_cluster~121158.758|492957.782,1166.0,2020-04-01 13:57:12,2020-04-01 13:57:12,23ebf654-20a6-3a9c-c8a8-bce38e587ef2,False,357.0,afval_cluster,121158.758|492957.782,"['121158.758', '492957.782', 'afval_cluster', '121158.758|492957.782']",121159.0,492958.0,['Plastic:1'],['Plastic:4 m3'],Zuideinde,N66c,N66,N,1,0.0,0.0,0.0,1.0,0.0
4,577303,121577,492689,32386.0,94047.0,121577.372~492688.930~afval_cluster~121577.372|492688.930,12251.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e8918b06-27ae-01e3-d3bb-3de174ffb3be,False,357.0,afval_cluster,121577.372|492688.930,"['121577.372', '492688.930', 'afval_cluster', '121577.372|492688.930']",121577.0,492689.0,['Rest:1'],['Rest:5 m3'],Sandwijk,N66d,N66,N,1,0.0,0.0,1.0,0.0,0.0
5,673644,121723,490885,65729.0,190339.0,121723.470~490884.530~afval_cluster~121723.470|490884.530,144624.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1cf7b57d-92b1-3019-1595-7369ce183213,False,357.0,afval_cluster,121723.470|490884.530,"['121723.470', '490884.530', 'afval_cluster', '121723.470|490884.530']",121723.0,490885.0,['Rest:1'],['Rest:5 m3'],Krasseurstraat,N65c,N65,N,1,0.0,0.0,0.0,1.0,0.0
6,673887,121796,490920,65806.0,190580.0,121795.864~490919.717~afval_cluster~121795.864|490919.717,162059.0,2020-04-01 13:57:12,2020-04-01 13:57:12,16ca24f5-645f-d93b-42cb-fbeeaeed656a,False,357.0,afval_cluster,121795.864|490919.717,"['121795.864', '490919.717', 'afval_cluster', '121795.864|490919.717']",121796.0,490920.0,"['Rest:1', 'Glas:1', 'Papier:1', 'Textiel:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3', 'Textiel:3 m3']",Vlakkerweg,N65d,N65,N,4,0.0,1.0,0.0,3.0,0.0
7,698165,121799,488938,74165.0,214847.0,121799.252~488938.154~afval_cluster~121799.252|488938.154,8602.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ff2eeec6-a4f0-e2f2-10a7-0f18c2539593,False,357.0,afval_cluster,121799.252|488938.154,"['121799.252', '488938.154', 'afval_cluster', '121799.252|488938.154']",121799.0,488938.0,"['Glas:1', 'Papier:1']","['Glas:5 m3', 'Papier:5 m3']",Overhoeksparklaan,N71h,N71,N,2,0.0,0.0,0.0,2.0,0.0
8,867579,121955,488752,132540.0,384158.0,121954.963~488751.659~afval_cluster~121954.963|488751.659,144999.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2beafa02-2c18-ff53-d94e-ebfdc4c9ab18,False,357.0,afval_cluster,121954.963|488751.659,"['121954.963', '488751.659', 'afval_cluster', '121954.963|488751.659']",121955.0,488752.0,['Rest:2'],['Rest:10 m3'],Céramiquelaan,N71h,N71,N,2,0.0,0.0,0.0,2.0,0.0
9,501360,122219,492402,6106.0,18151.0,122219.188~492401.673~afval_cluster~122219.188|492401.673,33016.0,2020-04-01 13:57:12,2020-04-01 13:57:12,dcf899e8-7f6b-1abe-09a9-b3cead9642dd,False,357.0,afval_cluster,122219.188|492401.673,"['122219.188', '492401.673', 'afval_cluster', '122219.188|492401.673']",122219.0,492402.0,['Rest:1'],['Rest:5 m3'],Astasiastraat,N67a,N67,N,1,0.0,1.0,0.0,0.0,0.0
