,avg_distance,penalties,best,amount of modifications
0,270.81853934698313,305.6580804713527,305.6580804713527,
1,270.55827242831924,302.68584905194746,305.6580804713527,10.0
2,272.7779285689746,306.12260105704763,302.68584905194746,15.0
3,270.26190944835,303.00504785505694,302.68584905194746,16.0
4,271.60376728349814,305.1460187965286,302.68584905194746,18.0
5,270.74221155132193,295.34076991732815,302.68584905194746,15.0
6,269.19339934444525,295.9626601612306,295.34076991732815,15.0
7,270.721772589886,297.5081642331263,295.34076991732815,10.0
8,271.9569350627305,295.05444943034587,295.34076991732815,11.0
9,270.0388753854276,296.06464154978823,295.05444943034587,14.0
10,267.08239401620114,297.7316216427426,295.05444943034587,13.0
11,267.0215868365698,291.44363153457,295.05444943034587,16.0
12,267.15141906068925,290.2610500349607,291.44363153457,7.0
13,264.90641616714714,287.52141677291985,290.2610500349607,13.0
14,264.9554538075497,289.1482401390203,287.52141677291985,3.0
15,265.9512335176901,296.078663554477,287.52141677291985,13.0
16,263.74313706058905,288.3356288199729,287.52141677291985,6.0
17,265.95886106697117,286.8416969522478,287.52141677291985,11.0
18,265.87966510121765,286.99908954571936,286.8416969522478,8.0
19,265.2381725123564,286.4790676798421,286.8416969522478,8.0
20,263.75626230812634,287.8807162629046,286.4790676798421,11.0
21,265.1001551031964,290.0208507794185,286.4790676798421,20.0
22,264.18120154417755,292.5417607658454,286.4790676798421,13.0
23,264.84512437524666,286.00613762184844,286.4790676798421,7.0
24,265.25453015465445,285.8081355447703,286.00613762184844,14.0
25,264.9540958090694,285.20703259573065,285.8081355447703,14.0
26,264.6111507122707,287.1148607123761,285.20703259573065,12.0
27,265.97106682008484,291.2267257022992,285.20703259573065,19.0
28,263.33564189387965,287.3298333401883,285.20703259573065,13.0
29,265.9790644121785,286.404662279439,285.20703259573065,12.0
30,265.81766848523034,288.1431641303007,285.20703259573065,10.0
31,263.6000926667161,283.811958006005,285.20703259573065,9.0
32,263.5596123900883,286.6907355941266,283.811958006005,10.0
33,264.23165192974545,281.05771321926545,283.811958006005,12.0
34,264.6861591491086,282.66191919960517,281.05771321926545,12.0
35,265.0998531324087,285.14595239172456,281.05771321926545,13.0
36,266.6550573716795,282.2683740385802,281.05771321926545,8.0
37,264.13400619058376,283.1966789577592,281.05771321926545,14.0
38,262.5649753639676,278.44959509316004,281.05771321926545,10.0
39,261.2057635848374,276.47880927898655,278.44959509316004,14.0
40,264.03092402767015,276.56930372640153,276.47880927898655,12.0
41,261.21260082129425,278.4756350923374,276.47880927898655,8.0
42,261.0610845385944,279.6509677538765,276.47880927898655,13.0
43,261.1248462655078,278.19563363221323,276.47880927898655,7.0
44,261.182072668499,278.6505639164234,276.47880927898655,10.0
45,261.71240813280156,271.9275513716941,276.47880927898655,14.0
46,262.1689705367364,274.7885527906881,271.9275513716941,9.0
47,261.21305972427854,277.0734124748077,271.9275513716941,17.0
48,260.49081184549163,273.26200137780705,271.9275513716941,7.0
49,261.87329906432313,273.57386758112943,271.9275513716941,6.0
50,262.5181302648064,283.2961310410068,271.9275513716941,19.0
51,262.2477472528701,274.89247807757164,271.9275513716941,8.0
52,259.62049399315623,276.70112744210917,271.9275513716941,19.0
53,261.7722615968032,272.57494665405335,271.9275513716941,13.0
54,261.66831140992144,272.74998472010856,271.9275513716941,9.0
55,263.240007139103,279.2023833340188,271.9275513716941,18.0
56,261.60938512708964,272.8889811829062,271.9275513716941,10.0
57,261.5259770023683,272.3060328205972,271.9275513716941,19.0
58,261.65220232470875,272.02025646773325,271.9275513716941,5.0
59,261.34383079383593,274.15578453913537,271.9275513716941,9.0
60,260.13764857307274,275.1090381894459,271.9275513716941,14.0
61,260.4861698162327,279.4327101139308,271.9275513716941,10.0
62,261.036823890561,273.78025776333646,271.9275513716941,11.0
63,262.43985694821424,276.3675645745074,271.9275513716941,10.0
64,261.631730847665,272.2991251182495,271.9275513716941,8.0
65,262.24705841558966,278.43549376876564,271.9275513716941,18.0
66,259.2501315960689,281.300989861391,271.9275513716941,18.0
67,261.53832989269023,270.98847731666183,271.9275513716941,10.0
68,261.34326376222623,274.572829000946,270.98847731666183,9.0
69,259.75822920404084,278.6790093160037,270.98847731666183,13.0
70,260.42300220905776,274.21334101098176,270.98847731666183,12.0
71,260.9270585242094,277.65043123020604,270.98847731666183,14.0
72,257.5709915218282,275.7904644634557,270.98847731666183,12.0
73,261.91265626118013,272.69078943363627,270.98847731666183,6.0
74,261.4319385827398,274.24903997861225,270.98847731666183,10.0
75,262.06404610283425,276.1437129519187,270.98847731666183,14.0
76,262.32995119909504,269.3873465635668,270.98847731666183,10.0
77,263.64969735025545,273.86191189898403,269.3873465635668,13.0
78,260.1708708957502,277.878727738247,269.3873465635668,12.0
79,262.0415083307648,274.15300246781555,269.3873465635668,7.0
80,263.5062913462315,275.7327093735862,269.3873465635668,10.0
81,263.14207595013437,273.0001146600304,269.3873465635668,21.0
82,262.06578217390575,268.62103239007934,269.3873465635668,12.0
83,261.37368318321415,270.8833265536955,268.62103239007934,9.0
84,262.1850193464809,268.625980668778,268.62103239007934,5.0
85,262.34351016519855,278.21304697075635,268.62103239007934,13.0
86,257.86638129567075,271.6826212108748,268.62103239007934,13.0
87,267.8377502495889,281.3665568008884,268.62103239007934,21.0
88,263.66118676139706,272.7375201126969,268.62103239007934,12.0
89,261.095203650712,269.36199646265214,268.62103239007934,17.0
90,262.2658541621207,267.2900664870645,268.62103239007934,17.0
91,261.3749378794783,275.3572099494097,267.2900664870645,12.0
92,265.2819995970798,273.1189744375437,267.2900664870645,16.0
93,262.35922003155844,269.9900603380907,267.2900664870645,12.0
94,267.0744899554393,271.4333496483363,267.2900664870645,12.0
95,260.67485101949694,276.233001583515,267.2900664870645,15.0
96,260.8234671079623,264.9168922181549,267.2900664870645,13.0
97,257.60825143300127,272.4125482663595,264.9168922181549,10.0
98,260.5739038921888,270.9013694319911,264.9168922181549,8.0
99,260.8166690201548,265.82675118249495,264.9168922181549,8.0
100,261.907228574783,269.8851949985604,264.9168922181549,12.0
101,260.6234652801894,266.26366918932257,264.9168922181549,9.0
102,260.61195446064244,270.2141833381319,264.9168922181549,14.0
103,261.2234137939796,265.115728375766,264.9168922181549,11.0
104,260.93595451959334,268.0446253033357,264.9168922181549,9.0
105,260.08232745755487,268.97352759840413,264.9168922181549,10.0
106,260.9642971131933,266.875939147781,264.9168922181549,13.0
107,260.5252833364331,267.08976545469505,264.9168922181549,9.0
