,avg_distance,penalties,best,amount of modifications
0,236.05753086428473,373.861209240846,373.861209240846,
1,236.06827454373052,375.3459627229325,373.861209240846,17.0
2,235.96454634419945,373.7531703361742,373.861209240846,20.0
3,234.23132480590436,372.1460883937027,373.7531703361742,19.0
4,234.0456410124754,372.5985981889204,372.1460883937027,14.0
5,234.57623495055716,373.14011641808713,372.1460883937027,19.0
6,233.95088603342467,369.21563584083015,372.1460883937027,21.0
7,236.53928459792027,374.78396739859534,369.21563584083015,21.0
8,235.48362585092303,372.745870797822,369.21563584083015,21.0
9,233.10580192842374,369.15416021543564,369.21563584083015,15.0
10,233.99349709532515,367.1892166883681,369.15416021543564,18.0
11,235.15227779608995,367.6845324047586,367.1892166883681,16.0
12,234.26159103477437,369.78987445746526,367.1892166883681,21.0
13,236.8618533086136,369.6262584339488,367.1892166883681,28.0
14,239.126895855076,378.25545113405315,367.1892166883681,27.0
15,237.91040995776603,372.54868336687184,367.1892166883681,22.0
16,236.63802646341247,367.435572117661,367.1892166883681,19.0
17,235.73353793071928,367.5007093197601,367.1892166883681,26.0
18,235.14910276214474,371.43999686285343,367.1892166883681,20.0
19,234.058838214571,368.8563561493845,367.1892166883681,17.0
20,234.7647219504769,373.2213885436395,367.1892166883681,12.0
21,234.50991197129665,369.89152691958645,367.1892166883681,21.0
22,234.124508794449,368.5239787227746,367.1892166883681,20.0
23,234.3879272159753,369.563292672822,367.1892166883681,21.0
24,235.79520442633068,365.9706941583807,367.1892166883681,24.0
25,235.82943724360175,366.5858352963226,365.9706941583807,13.0
26,235.19352171632406,366.18588232915084,365.9706941583807,17.0
27,237.10061952061804,370.1042959930555,365.9706941583807,28.0
28,236.08046391245412,370.94373813328593,365.9706941583807,25.0
29,234.76715350697944,365.8426828835227,365.9706941583807,17.0
30,235.58615212491642,365.74485463028725,365.8426828835227,18.0
31,234.12370868830067,366.83167262468436,365.74485463028725,24.0
32,235.9302006489747,363.7506835740215,365.74485463028725,24.0
33,234.8665125739731,365.3415079505997,363.7506835740215,23.0
34,236.00021750969862,364.0860176471749,363.7506835740215,11.0
35,237.75456483734885,371.6187261186079,363.7506835740215,19.0
36,234.73021102102436,363.9636034761679,363.7506835740215,19.0
37,235.8534142104449,364.8985274029356,363.7506835740215,22.0
38,235.8937308627693,364.79962439827966,363.7506835740215,13.0
39,235.73517561435673,364.0119011205808,363.7506835740215,20.0
40,236.21455646995702,363.3288859296086,363.7506835740215,17.0
41,235.74462383095295,363.1479495541351,363.3288859296086,15.0
42,234.7933369207886,363.31791083688444,363.1479495541351,17.0
43,235.72194503943112,363.88315444396227,363.1479495541351,22.0
44,239.7208428718713,366.8051721117424,363.1479495541351,18.0
45,234.67170255135437,363.2319324396306,363.1479495541351,22.0
46,236.71668326389405,365.67721191406247,363.1479495541351,17.0
47,237.2173305544523,366.2582975457702,363.1479495541351,23.0
48,237.1104700131922,366.7050116497001,363.1479495541351,19.0
49,238.36537746954406,364.6788326526989,363.1479495541351,24.0
50,234.51027184231174,364.198271671796,363.1479495541351,16.0
51,234.28609853551743,363.67656176017994,363.1479495541351,30.0
52,233.60923367421884,363.6832798196812,363.1479495541351,24.0
53,237.33752911641963,366.1648714389994,363.1479495541351,21.0
54,233.39516203659866,361.07503499842164,363.1479495541351,12.0
55,231.23836170825473,360.00958925189394,361.07503499842164,25.0
56,230.82308470423402,359.5625414693813,360.00958925189394,11.0
57,230.9209922730945,360.4113102114898,359.5625414693813,18.0
58,231.1254325056898,359.6140203697127,359.5625414693813,14.0
59,234.06797215010147,364.81271630366166,359.5625414693813,20.0
60,231.06644763738433,361.49252179016725,359.5625414693813,18.0
61,229.87735536843593,360.18279959753784,359.5625414693813,21.0
62,230.84634506699066,359.44407510653406,359.5625414693813,14.0
63,232.52103433343018,363.9694484986585,359.44407510653406,20.0
64,228.49534401631007,355.4589289279514,359.44407510653406,25.0
65,229.9091695316946,355.14378832267994,355.4589289279514,21.0
66,231.67641605684804,359.5605180910669,355.14378832267994,24.0
67,231.06591008764886,357.759179391572,355.14378832267994,17.0
68,230.50724429046667,356.69460680042613,355.14378832267994,20.0
69,230.36455673944647,358.34414171006944,355.14378832267994,19.0
70,230.64394820707463,355.39859844539137,355.14378832267994,21.0
71,229.68830749904052,356.8276366398358,355.14378832267994,23.0
72,230.445880629422,353.6863425860164,355.14378832267994,20.0
