,s1_afv_nodes,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,uses_container,aantal_per_fractie,volume_per_fractie,street_name,totaal,glas,papier,plastic,rest,textiel
2795,723509,124960,489391,240178.0,124960.187~489390.543~afval_cluster~124960.187|489390.543,33022.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2f721ae6-5d04-7256-5281-d449a91a660f,False,357.0,afval_cluster,124960.187|489390.543,True,['Rest:1'],['Rest:5 m3'],Edammerstraat,1,0.0,0.0,0.0,1.0,0.0
2796,723770,118190,484829,240439.0,118190.377~484828.542~afval_cluster~118190.377|484828.542,145931.0,2020-04-01 13:57:12,2020-04-01 13:57:12,52be4d31-efd0-e013-83ef-64fe710467e3,False,357.0,afval_cluster,118190.377|484828.542,True,['Rest:1'],['Rest:5 m3'],Piet Gijzenbrugstraat,1,0.0,0.0,0.0,1.0,0.0
2797,723883,116634,486185,240551.0,116633.820~486185.254~afval_cluster~116633.820|486185.254,117113.0,2020-04-01 13:57:12,2020-04-01 13:57:12,62eb30c4-f6ed-8653-3669-caa6b28a4178,False,357.0,afval_cluster,116633.820|486185.254,True,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Bakhuizen van den Brinkhof,3,0.0,0.0,0.0,3.0,0.0
2798,723970,116364,485523,240638.0,116363.801~485523.455~afval_cluster~116363.801|485523.455,53705.0,2020-04-01 13:57:12,2020-04-01 13:57:12,0871db6a-7f1b-4450-b312-1aca20d69897,False,357.0,afval_cluster,116363.801|485523.455,True,"['Rest:3', 'Papier:1']","['Rest:15 m3', 'Papier:5 m3']",Aaf Bouberstraat,4,0.0,1.0,0.0,3.0,0.0
2799,723983,120938,482370,240651.0,120938.206~482370.094~afval_cluster~120938.206|482370.094,34420.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a44bb87e-87bb-5d8c-252b-51cfd7b0295d,False,357.0,afval_cluster,120938.206|482370.094,True,['Rest:2'],['Rest:8 m3'],Beysterveld,2,0.0,1.0,0.0,1.0,0.0
2800,724075,124781,481398,240743.0,124780.765~481398.317~afval_cluster~124780.765|481398.317,86419.0,2020-04-01 13:57:12,2020-04-01 13:57:12,26619858-33e0-4dac-4e99-545e5f7804f5,False,357.0,afval_cluster,124780.765|481398.317,True,['Rest:1'],['Rest:5 m3'],Alfred Döblinstraat,1,0.0,0.0,0.0,1.0,0.0
2801,724079,123569,485301,240747.0,123568.765~485301.405~afval_cluster~123568.765|485301.405,60494.0,2020-04-01 13:57:12,2020-04-01 13:57:12,0608efea-255d-8820-bfe2-f35efd211179,False,357.0,afval_cluster,123568.765|485301.405,True,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:6 m3', 'Glas:3 m3', 'Papier:3 m3']",Transvaalstraat,4,0.0,2.0,1.0,1.0,0.0
2802,724205,116938,486085,240873.0,116938.115~486085.039~afval_cluster~116938.115|486085.039,140084.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c9ac7b5c-933a-f7da-6282-3bf38adb83a4,False,357.0,afval_cluster,116938.115|486085.039,True,"['Papier:1', 'Plastic:1']","['Papier:5 m3', 'Plastic:5 m3']",Reinhard Dozyhof,2,0.0,0.0,0.0,2.0,0.0
2803,724279,122852,485449,240947.0,122851.555~485448.944~afval_cluster~122851.555|485448.944,50715.0,2020-04-01 13:57:12,2020-04-01 13:57:12,de2038e8-a363-ce94-6304-7963e0f378c4,False,357.0,afval_cluster,122851.555|485448.944,True,['Rest:1'],['Rest:7 m3'],Derde Oosterparkstraat,1,0.0,0.0,0.0,1.0,0.0
2804,724355,121602,492889,241023.0,121602.459~492889.121~afval_cluster~121602.459|492889.121,146625.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4aa58968-8db7-1f90-24c4-e0560099d482,False,357.0,afval_cluster,121602.459|492889.121,True,"['Plastic:1', 'Textiel:1']","['Plastic:4 m3', 'Textiel:3 m3']",Couhornerhoek,2,0.0,0.0,0.0,2.0,0.0
