,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal
416,123933,491181,429931.0,123932.561~491181.091~afval_cluster~123932.561|491181.091,913379.0,62034.0,2020-04-01 13:57:12,2020-04-01 13:57:12,edd65ec2-dde4-2042-557a-79b83c212864,False,357.0,afval_cluster,123932.561|491181.091,['Plastic:1'],['Plastic:4 m3'],Daan Roodenburghplein,N74c,N74,N,0,1,0,0,0,1
417,123945,491191,408682.0,123944.718~491191.392~afval_cluster~123944.718|491191.392,892115.0,98643.0,2020-04-01 13:57:12,2020-04-01 13:57:12,7e0954e1-779f-3563-06a8-61f3c2d0eac4,False,357.0,afval_cluster,123944.718|491191.392,['Rest:1'],['Rest:5 m3'],Diopter,N74c,N74,N,1,0,0,0,0,1
418,123989,490912,307586.0,123988.589~490911.908~afval_cluster~123988.589|490911.908,790952.0,59266.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e4c516c0-28b8-b6d1-bd9c-223ea76db70f,False,357.0,afval_cluster,123988.589|490911.908,['Rest:1'],['Rest:5 m3'],B. Merkelbachsingel,N74c,N74,N,1,0,0,0,0,1
419,123996,491143,225948.0,123995.550~491142.909~afval_cluster~123995.550|491142.909,709274.0,71445.0,2020-04-01 13:57:12,2020-04-01 13:57:12,822527e8-7420-d29b-14c0-e192c07ec11f,False,357.0,afval_cluster,123995.550|491142.909,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",G.J. Scheurleerweg,N74c,N74,N,1,0,1,1,0,3
420,124012,490336,128009.0,124011.517~490335.944~afval_cluster~124011.517|490335.944,611280.0,5871.0,2020-04-01 13:57:12,2020-04-01 13:57:12,389e8426-7a25-ffd1-e324-f045152616b4,False,357.0,afval_cluster,124011.517|490335.944,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Loenermark,N69c,N69,N,1,0,1,0,0,2
421,124027,491183,123914.0,124027.313~491183.015~afval_cluster~124027.313|491183.015,607185.0,32702.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a16f25ae-ec3b-8b33-2c83-8d6ff1ac5f93,False,357.0,afval_cluster,124027.313|491183.015,['Rest:1'],['Rest:5 m3'],G.J. Scheurleerweg,N74c,N74,N,1,0,0,0,0,1
422,124028,491269,112445.0,124027.615~491269.157~afval_cluster~124027.615|491269.157,595713.0,94819.0,2020-04-01 13:57:12,2020-04-01 13:57:12,36f3c4b5-6c87-1bc3-096e-3addd6848616,False,357.0,afval_cluster,124027.615|491269.157,['Rest:1'],['Rest:5 m3'],Diopter,N74c,N74,N,1,0,0,0,0,1
423,124034,490014,222188.0,124034.244~490014.013~afval_cluster~124034.244|490014.013,705513.0,63885.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e2616c46-4941-120c-0dce-d1c8e74e3d85,False,357.0,afval_cluster,124034.244|490014.013,['Rest:1'],['Rest:5 m3'],Benedenlangs,N69k,N69,N,1,0,0,0,0,1
424,124039,489923,138854.0,124039.078~489922.550~afval_cluster~124039.078|489922.550,622135.0,86951.0,2020-04-01 13:57:12,2020-04-01 13:57:12,60bec8df-cfa7-e4b5-e9dd-6f25d2d59032,False,357.0,afval_cluster,124039.078|489922.550,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Bovenover,N69k,N69,N,1,0,1,1,0,3
425,124074,490990,88601.0,124074.232~490989.870~afval_cluster~124074.232|490989.870,571857.0,22779.0,2020-04-01 13:57:12,2020-04-01 13:57:12,de2d5e24-04e7-a6ab-7b69-d82401275218,False,357.0,afval_cluster,124074.232|490989.870,['Rest:1'],['Rest:5 m3'],J.P. Kloosstraat,N74c,N74,N,1,0,0,0,0,1
426,124084,490108,66956.0,124084.492~490108.302~afval_cluster~124084.492|490108.302,550198.0,73997.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d851281e-fdd0-9190-f663-e78b54079476,False,357.0,afval_cluster,124084.492|490108.302,['Rest:1'],['Rest:5 m3'],Benedenlangs,N69k,N69,N,1,0,0,0,0,1
