,avg_distance,penalties,best,amount of modifications
0,178.1243698954531,287.77676966019015,287.77676966019015,
1,178.11777765238787,287.9167794092604,287.77676966019015,3.0
2,178.10893629665975,287.80124102343666,287.77676966019015,5.0
3,178.07426501130328,287.7224930249996,287.77676966019015,1.0
4,178.08428431795704,287.74717413742906,287.7224930249996,1.0
5,178.1402422530982,287.77205864136494,287.7224930249996,3.0
6,178.298316827804,287.92956189471715,287.7224930249996,5.0
7,178.12480464598184,287.8037357684723,287.7224930249996,2.0
8,178.11709251849595,287.7824598542652,287.7224930249996,2.0
9,178.06400533306586,287.6644338604066,287.7224930249996,2.0
10,178.05373025594415,287.39190663469617,287.6644338604066,4.0
