,s1_afv_nodes,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,totaal,glas,papier,plastic,rest,textiel
0,729052,120571,492056,245718.0,120571.022~492055.925~afval_cluster~120571.022|492055.925,45339.0,2020-04-01 13:57:12,2020-04-01 13:57:12,8a8e042f-229f-e15c-b440-17864a7d427b,False,357.0,afval_cluster,120571.022|492055.925,['Rest:1'],['Rest:5 m3'],Kometensingel,N65b,N65,N,1,0.0,1.0,0.0,0.0,0.0
1,807393,120700,492299,324015.0,120699.535~492298.614~afval_cluster~120699.535|492298.614,127543.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e6eb99e6-07c5-a87b-ca56-da76a5b675dc,False,357.0,afval_cluster,120699.535|492298.614,['Rest:1'],['Rest:5 m3'],Reizigersweg,N66g,N66,N,1,0.0,0.0,1.0,0.0,0.0
2,861259,121367,492931,377841.0,121367.194~492931.492~afval_cluster~121367.194|492931.492,21920.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f15ad422-774a-09da-afea-8f127580c95b,False,357.0,afval_cluster,121367.194|492931.492,['Rest:1'],['Rest:5 m3'],Klaas Wannen,N66d,N66,N,1,0.0,0.0,1.0,0.0,0.0
3,850641,121453,492276,367224.0,121453.416~492276.483~afval_cluster~121453.416|492276.483,164827.0,2020-04-01 13:57:12,2020-04-01 13:57:12,eefee5cc-38b2-efd2-0999-0e294316673a,False,357.0,afval_cluster,121453.416|492276.483,"['Rest:1', 'Plastic:1']","['Rest:5 m3', 'Plastic:5 m3']",Stellingweg,N66f,N66,N,2,0.0,2.0,0.0,0.0,0.0
4,646409,121493,491302,163117.0,121492.666~491302.028~afval_cluster~121492.666|491302.028,13491.0,2020-04-01 13:57:12,2020-04-01 13:57:12,88bf7d45-9333-973d-47aa-ff17610ead6a,False,357.0,afval_cluster,121492.666|491302.028,['Rest:1'],['Rest:5 m3'],IJzerwerkerstraat,N65c,N65,N,1,0.0,0.0,1.0,0.0,0.0
5,724355,121602,492889,241023.0,121602.459~492889.121~afval_cluster~121602.459|492889.121,146625.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4aa58968-8db7-1f90-24c4-e0560099d482,False,357.0,afval_cluster,121602.459|492889.121,"['Plastic:1', 'Textiel:1']","['Plastic:4 m3', 'Textiel:3 m3']",Couhornerhoek,N66d,N66,N,2,0.0,0.0,0.0,2.0,0.0
6,715006,121636,490955,231680.0,121635.735~490954.516~afval_cluster~121635.730|490953.765,96641.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f7a7b300-04be-66c3-be5b-f2418d8aef2c,False,357.0,afval_cluster,121635.730|490953.765,"['Rest:1', 'Glas:1']","['Rest:5 m3', 'Glas:3 m3']",Krasseurstraat,N65c,N65,N,2,1.0,0.0,1.0,0.0,0.0
7,673253,121653,491539,189946.0,121653.059~491539.070~afval_cluster~121653.059|491539.070,139774.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a723ebb9-9236-f2a3-4387-49023a178f19,False,357.0,afval_cluster,121653.059|491539.070,['Rest:1'],['Rest:5 m3'],Pruimenstraat,N65c,N65,N,1,1.0,0.0,0.0,0.0,0.0
8,738899,121679,491151,255558.0,121679.271~491150.743~afval_cluster~121679.271|491150.743,24485.0,2020-04-01 13:57:12,2020-04-01 13:57:12,82fa8a35-e332-2f41-9f76-8793ccdecbe6,False,357.0,afval_cluster,121679.271|491150.743,['Rest:1'],['Rest:5 m3'],Klinkerweg,N65c,N65,N,1,1.0,0.0,0.0,0.0,0.0
9,501766,121832,492429,18557.0,121831.989~492429.344~afval_cluster~121831.989|492429.344,39900.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d58e0fb5-e351-b41b-cc8c-8ba70a9c207d,False,357.0,afval_cluster,121831.989|492429.344,['Rest:1'],['Rest:5 m3'],Hoopende Swaen,N67a,N67,N,1,0.0,0.0,0.0,1.0,0.0
10,741967,121918,490990,258627.0,121917.769~490990.359~afval_cluster~121917.769|490990.359,83380.0,2020-04-01 13:57:12,2020-04-01 13:57:12,05b7686a-0a06-c43a-180a-15c25cc94839,False,357.0,afval_cluster,121917.769|490990.359,['Rest:1'],['Rest:5 m3'],Boomgaardlaan,N65d,N65,N,1,0.0,0.0,1.0,0.0,0.0
11,525574,121927,492621,42344.0,121926.998~492621.379~afval_cluster~121926.998|492621.379,23146.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ad445d1d-372f-fdb4-d486-b462eff159c3,False,357.0,afval_cluster,121926.998|492621.379,['Rest:1'],['Rest:5 m3'],Keratellastraat,N67a,N67,N,1,0.0,1.0,0.0,0.0,0.0
12,867579,121955,488752,384158.0,121954.963~488751.659~afval_cluster~121954.963|488751.659,144999.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2beafa02-2c18-ff53-d94e-ebfdc4c9ab18,False,357.0,afval_cluster,121954.963|488751.659,['Rest:2'],['Rest:10 m3'],Céramiquelaan,N71h,N71,N,2,0.0,0.0,0.0,2.0,0.0
13,879400,122045,488691,395970.0,122045.389~488690.608~afval_cluster~122045.389|488690.608,22039.0,2020-04-01 13:57:12,2020-04-01 13:57:12,80fc5551-2502-0c7a-e4a6-4ccefe16c3c3,False,357.0,afval_cluster,122045.389|488690.608,"['Rest:3', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:15 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Bercylaan,N71h,N71,N,6,1.0,0.0,0.0,5.0,0.0
14,552028,122100,492702,68783.0,122099.733~492702.128~afval_cluster~122099.733|492702.128,130629.0,2020-04-01 13:57:12,2020-04-01 13:57:12,17737f7c-0542-f74d-00fe-1f4abf5180bc,False,357.0,afval_cluster,122099.733|492702.128,['Rest:1'],['Rest:5 m3'],Nathan F. Israëlweg,N67b,N67,N,1,0.0,0.0,1.0,0.0,0.0
15,728162,122104,492546,244828.0,122104.244~492545.731~afval_cluster~122104.244|492545.731,23376.0,2020-04-01 13:57:12,2020-04-01 13:57:12,5033dcc1-b0ef-74a0-81cf-de14cfba60c9,False,357.0,afval_cluster,122104.244|492545.731,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3', 'Plastic:4 m3']",Stentorstraat,N67a,N67,N,4,3.0,1.0,0.0,0.0,0.0
16,530376,122320,489740,47146.0,122320.162~489740.250~afval_cluster~122320.162|489740.250,141772.0,2020-04-01 13:57:12,2020-04-01 13:57:12,473bdeeb-d753-5c91-c865-17b8933b2f92,False,357.0,afval_cluster,122320.162|489740.250,['Rest:98'],['Rest:490 m3'],Veldbiesstraat,N71c,N71,N,98,0.0,0.0,0.0,0.0,0.0
17,528250,122592,489413,45020.0,122591.853~489413.012~afval_cluster~122591.853|489413.012,94738.0,2020-04-01 13:57:12,2020-04-01 13:57:12,6c957308-ae14-4e25-c191-2a198f6cdec7,False,357.0,afval_cluster,122591.853|489413.012,['Rest:1'],['Rest:5 m3'],Distelkade,N60a,N60,N,1,0.0,0.0,0.0,0.0,1.0
18,562110,122632,489030,78863.0,122632.014~489029.859~afval_cluster~122632.014|489029.859,36295.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2c676525-9a1f-1470-5318-aa2cc733ef1b,False,357.0,afval_cluster,122632.014|489029.859,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Meidoornplein,N60a,N60,N,3,0.0,1.0,0.0,2.0,0.0
19,719062,122647,488446,235733.0,122646.652~488446.212~afval_cluster~122646.652|488446.212,92702.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9899e015-e94d-dffa-f8bb-8084f8e03ce6,False,357.0,afval_cluster,122646.652|488446.212,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",IJplein,N61a,N61,N,3,0.0,0.0,0.0,3.0,0.0
20,796800,122697,491180,313430.0,122696.686~491180.454~afval_cluster~122696.686|491180.454,46068.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b495be2b-3ef7-8448-a93d-84d88997005c,False,357.0,afval_cluster,122696.686|491180.454,"['Rest:2', 'Plastic:2']","['Rest:10 m3', 'Plastic:10 m3']",Aakstraat,N70a,N70,N,4,0.0,1.0,0.0,2.0,1.0
21,782941,122750,490644,299579.0,122750.021~490644.252~afval_cluster~122750.021|490644.252,78998.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1153446a-0269-dbab-cc6e-e7867e7659cd,False,357.0,afval_cluster,122750.021|490644.252,['Rest:1'],['Rest:5 m3'],Pinasstraat,N70b,N70,N,1,0.0,1.0,0.0,0.0,0.0
22,694165,122859,490340,210851.0,122859.331~490339.804~afval_cluster~122859.331|490339.804,23532.0,2020-04-01 13:57:12,2020-04-01 13:57:12,eb281719-fbad-99ee-224a-472482a94cfb,False,357.0,afval_cluster,122859.331|490339.804,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Floraweg,N60c,N60,N,3,1.0,0.0,0.0,2.0,0.0
23,693006,122888,491237,209693.0,122887.711~491237.292~afval_cluster~122887.711|491237.292,25596.0,2020-04-01 13:57:12,2020-04-01 13:57:12,555d98a5-80a3-f2e2-62b8-ed5bbe04d31f,False,357.0,afval_cluster,122887.711|491237.292,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3', 'Plastic:4 m3']",Bezaanjachtplein,N70b,N70,N,4,1.0,1.0,2.0,0.0,0.0
24,914948,123235,490809,431499.0,123235.172~490809.012~afval_cluster~123235.172|490809.012,95512.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2d8154d4-aaa5-6767-c2a7-f52a2e6432ab,False,357.0,afval_cluster,123235.172|490809.012,['Rest:1'],['Rest:5 m3'],Jesse Owenshof,N70b,N70,N,1,0.0,1.0,0.0,0.0,0.0
25,842972,123578,491691,359562.0,123577.825~491690.551~afval_cluster~123577.825|491690.551,157093.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ecb38416-4579-62bb-ee39-ab0e118be92c,False,357.0,afval_cluster,123577.825|491690.551,"['Rest:1', 'Glas:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Plastic:5 m3']",Noorderbreedte,N70d,N70,N,3,0.0,0.0,1.0,2.0,0.0
