,avg_distance,penalties,total_score,amount of modifications
0,176.91607244027932,290.51812809447415,467.4342005347535,
1,176.97277573419066,290.51812809447415,290.51812809447415,1.0
2,176.9097516536146,290.51812809447415,290.51812809447415,5.0
3,176.9208070375256,290.51812809447415,290.51812809447415,1.0
4,176.92973564993414,290.51812809447415,290.51812809447415,5.0
5,176.87350933275118,290.51812809447415,290.51812809447415,4.0
