,distance,penalties,simple penalties
0,138.0848001247317,81.8681595541729,252111.486
1,139.66357021474565,83.39609179269317,252390.891
2,134.4522784345599,78.27906877213536,251786.477
3,136.6621907208575,80.55129660341441,255288.514
4,140.03693084667455,83.79537528425806,252297.914
5,138.93348386117844,82.9787821888458,254775.826
6,137.47104862170883,81.1867447270499,252485.55599999998
7,135.36144279112767,79.82408068257978,255136.85900000003
8,137.92758826028316,81.86080613044237,252975.24000000002
9,136.29963221326167,80.16688722188402,251693.53199999998
10,134.83446667308579,78.63641979088553,254128.53100000002
11,136.21038224022783,80.04270214518081,252678.573
12,134.69992339041934,78.79683998520083,252531.67
13,138.26069597901886,82.32276807002609,253091.40399999998
14,134.29141602973638,78.54674075059069,252417.228
15,137.463453972107,81.38873335732131,252994.286
16,136.00838150575424,79.97907229310827,255003.58800000002
17,137.01277606511846,80.81941495759999,253176.07099999997
18,136.04747903237234,79.69185274377534,251587.568
19,137.93422551303888,81.90009201736254,252819.478
20,142.1616870795599,85.65170629827806,250947.848
21,136.29289532473047,80.13318881548904,252254.22699999996
22,134.83470742281798,78.65249346726512,251041.084
23,133.348108465524,77.32553096429905,254551.821
24,137.15015196534986,81.05577095650425,252734.10199999998
25,137.13263470776332,81.3205797504749,252785.255
26,134.8328828036227,78.57467150627716,252482.99399999998
27,136.78043222108755,80.81943188697963,253277.67
28,137.47208454419712,81.33297190588623,252653.335
29,134.4372247367655,78.46718625786721,252853.433
30,134.94968799171838,78.88912319317967,252685.338
31,137.0152757065721,80.73521951423622,253232.50499999998
32,136.9911785935301,81.02155156246664,251040.35300000003
33,137.47949726152228,81.18071552790151,252944.375
34,137.04642333761151,80.82448205111531,252549.458
35,137.83501928865442,81.66788867209992,254012.465
36,136.24521878740086,80.32327134525372,253558.984
37,137.55103800860005,81.32513235322793,249656.266
38,138.6141393162505,82.3063062869837,250065.09499999997
39,137.68632526431216,81.70780878552263,251031.82299999997
40,133.5955036873725,77.78578497466644,252671.313
41,136.16923094494035,80.18604357898644,253043.06299999997
42,137.1447310281902,80.95786179201843,253985.273
43,136.5132649005726,80.32444028857724,251136.81300000002
44,137.3421495488842,81.57985254121282,253328.70699999997
45,134.70520938942278,78.43868653656963,250923.07499999998
46,136.52670763999728,80.27210133428581,251586.762
47,139.0635156261962,82.63525872495106,251880.717
48,135.91262441125178,79.81126839997867,252324.38399999996
49,135.91743264709737,79.3602953437083,249903.786
50,137.63166993927587,81.62372306806051,250917.52500000002
51,138.68749197119828,82.74674078754788,251760.987
52,135.41408496526807,79.05329943225519,249772.808
53,138.46162297014354,81.99864239474815,254086.61499999996
54,137.95837036057495,81.87431898638323,253675.206
55,135.5697527247409,79.55291277187732,251960.38599999997
56,135.4498506061569,79.39643076993981,252491.441
57,136.117474315529,80.12785797928014,251467.717
58,137.6350967904535,81.67966309589195,253643.071
59,135.3726268134997,79.33900913333575,251638.149
60,135.26166290571794,79.46221146076655,251190.793
61,135.76431749669524,79.45755802050512,252693.88600000003
62,135.85077647671596,79.51365208903712,254315.907
63,135.1340918606231,79.21313201505231,251730.295
64,134.77912312671603,78.73038807442298,253373.97499999998
65,139.45871724311104,82.93152547413521,252838.094
66,138.67870186346536,82.4416375746257,250489.95299999998
67,137.21772180613138,81.1238657291361,251047.99899999998
68,137.48097682528595,81.38140122346141,252707.41
69,138.6513413090118,82.34931089649633,252147.25999999998
70,135.2056317812407,79.04136206148299,251093.11400000003
71,137.31110370151433,81.00991883457324,253166.97699999998
72,133.90704766825652,78.14538933294195,252440.567
