,avg_distance,penalties,best,amount of modifications
0,249.6004611676881,308.1859662117452,308.1859662117452,
1,249.69014538278873,307.98396052522736,308.1859662117452,3.0
2,250.81086732905248,310.04885791976835,307.98396052522736,3.0
3,250.25158228071885,309.26148031105225,307.98396052522736,4.0
4,250.03772195204803,310.37485012406944,307.98396052522736,3.0
5,249.39575573564116,308.96589057071964,307.98396052522736,4.0
6,249.87944279658183,308.35157655086846,307.98396052522736,3.0
7,251.92583796000457,310.1289634232074,307.98396052522736,4.0
8,249.09021476024515,309.87015171629446,307.98396052522736,2.0
9,250.2639649977869,311.152382133995,307.98396052522736,3.0
10,249.15790333908177,309.2937576302729,307.98396052522736,4.0
