,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal
13,124703,481454,12851.0,124703.030~481453.586~afval_cluster~124703.030|481453.586,496060.0,4467.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f2f8aeaa-eba7-9bf1-ef3b-e328be999914,False,357.0,afval_cluster,124703.030|481453.586,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Boeninlaan,T93a,T93,T,0,1,2,1,0,4
14,124710,481233,117836.0,124710.178~481232.665~afval_cluster~124710.178|481232.665,601102.0,37130.0,2020-04-01 13:57:12,2020-04-01 13:57:12,efd8c306-1952-79fb-d6a8-3bbd4bc92d78,False,357.0,afval_cluster,124710.178|481232.665,['Rest:1'],['Rest:5 m3'],Boris Pasternakstraat,T93a,T93,T,1,0,0,0,0,1
15,124742,481697,452398.0,124741.603~481696.695~afval_cluster~124741.603|481696.695,935859.0,52582.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a2461c83-39b2-9229-7042-8080c1b8af5d,False,357.0,afval_cluster,124741.603|481696.695,['Rest:1'],['Rest:5 m3'],Agatha Christiesingel,T93a,T93,T,1,0,0,0,0,1
16,124744,481932,406203.0,124744.260~481931.953~afval_cluster~124744.260|481931.953,889637.0,17838.0,2020-04-01 13:57:12,2020-04-01 13:57:12,eddd59d3-0c58-3ff4-2c90-d889ffeae590,False,357.0,afval_cluster,124744.260|481931.953,['Plastic:1'],['Plastic:4 m3'],Dolingadreef,T93a,T93,T,0,1,0,0,0,1
17,124746,481947,58630.0,124745.626~481946.887~afval_cluster~124745.626|481946.887,541868.0,25061.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4890cdb7-4637-35de-5cd7-ccefdeaec90b,False,357.0,afval_cluster,124745.626|481946.887,['Rest:1'],['Rest:5 m3'],Dolingadreef,T93b,T93,T,1,0,0,0,0,1
18,124753,482013,381299.0,124752.685~482013.443~afval_cluster~124752.685|482013.443,864719.0,90988.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d1a467fb-658b-9527-ae44-77ca3cdf2827,False,357.0,afval_cluster,124752.685|482013.443,['Rest:1'],['Rest:5 m3'],Dalsteindreef,T93b,T93,T,1,0,0,0,0,1
19,124758,481768,349296.0,124757.692~481768.453~afval_cluster~124757.692|481768.453,832692.0,99002.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4c35ff03-cfdc-c7f7-793a-f094e75e8ee3,False,357.0,afval_cluster,124757.692|481768.453,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Anatole Francesingel,T93a,T93,T,1,1,1,1,0,4
20,124781,481317,80200.0,124781.476~481317.080~afval_cluster~124781.476|481317.080,563448.0,48164.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e565d9c5-73ae-f796-04a8-b29ec88d5920,False,357.0,afval_cluster,124781.476|481317.080,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Boeninlaan,T93a,T93,T,0,1,1,1,0,3
21,124781,481398,240743.0,124780.765~481398.317~afval_cluster~124780.765|481398.317,724075.0,86419.0,2020-04-01 13:57:12,2020-04-01 13:57:12,26619858-33e0-4dac-4e99-545e5f7804f5,False,357.0,afval_cluster,124780.765|481398.317,['Rest:1'],['Rest:5 m3'],Alfred Döblinstraat,T93a,T93,T,1,0,0,0,0,1
22,124786,481507,292912.0,124785.655~481506.516~afval_cluster~124785.655|481506.516,776270.0,116086.0,2020-04-01 13:57:12,2020-04-01 13:57:12,51d21032-755e-ad66-c781-f439caa1e1c0,False,357.0,afval_cluster,124785.655|481506.516,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Barbusselaan,T93a,T93,T,1,1,1,1,0,4
23,124789,481630,259160.0,124789.174~481630.282~afval_cluster~124789.174|481630.282,742503.0,111456.0,2020-04-01 13:57:12,2020-04-01 13:57:12,eacc7828-f68f-a600-f4b2-d89bd664eed0,False,357.0,afval_cluster,124789.174|481630.282,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Andersensingel,T93a,T93,T,1,1,1,1,0,4
24,124793,481084,22014.0,124792.878~481083.667~afval_cluster~124792.878|481083.667,505226.0,123253.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d8d1dd4e-bbee-fe1b-f3db-537aebca4a19,False,357.0,afval_cluster,124792.878|481083.667,['Rest:1'],['Rest:5 m3'],Boris Pasternakstraat,T93a,T93,T,1,0,0,0,0,1
25,124795,481280,205904.0,124795.440~481279.800~afval_cluster~124795.440|481279.800,689217.0,101862.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9a667203-abf2-39a0-9023-bf217e801d01,False,357.0,afval_cluster,124795.440|481279.800,['Rest:1'],['Rest:5 m3'],Boeninlaan,T93a,T93,T,1,0,0,0,0,1
26,124798,481187,188081.0,124797.828~481187.188~afval_cluster~124797.828|481187.188,671386.0,12472.0,2020-04-01 13:57:12,2020-04-01 13:57:12,dfa7eccd-7256-b23d-cf44-79c7f27f232c,False,357.0,afval_cluster,124797.828|481187.188,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3', 'Textiel:3 m3']",Berthold Brechtstraat,T93a,T93,T,1,1,1,1,1,5
27,124815,481820,189760.0,124815.437~481820.213~afval_cluster~124815.437|481820.213,673066.0,140390.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1637f1c3-c2b6-0073-b4d4-9af246d96265,False,357.0,afval_cluster,124815.437|481820.213,['Rest:1'],['Rest:5 m3'],Dolingadreef,T93b,T93,T,1,0,0,0,0,1
28,124818,481890,49191.0,124817.834~481889.599~afval_cluster~124817.834|481889.599,532422.0,106181.0,2020-04-01 13:57:12,2020-04-01 13:57:12,28b3f7db-1f23-f15b-d49e-61e4cb6e2cd7,False,357.0,afval_cluster,124817.834|481889.599,"['Rest:2', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:10 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Charlotte Brontéstraat,T93b,T93,T,2,1,1,1,0,5
29,124838,481980,316050.0,124837.510~481979.882~afval_cluster~124837.510|481979.882,799423.0,1195.0,2020-04-01 13:57:12,2020-04-01 13:57:12,35202092-1f19-4b99-58ca-eb818d3aa1fe,False,357.0,afval_cluster,124837.510|481979.882,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Dickenslaan,T93b,T93,T,1,1,1,1,0,4
30,124847,482065,181423.0,124846.820~482065.428~afval_cluster~124846.820|482065.428,664722.0,156955.0,2020-04-01 13:57:12,2020-04-01 13:57:12,2bf0f1da-9dc0-d090-d738-e04fe8129697,False,357.0,afval_cluster,124846.820|482065.428,['Rest:1'],['Rest:5 m3'],Dalsteindreef,T93b,T93,T,1,0,0,0,0,1
31,124870,481448,238866.0,124870.293~481448.255~afval_cluster~124870.293|481448.255,722197.0,556.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b52a271a-14fb-a7bb-51ad-a26fca6f51c6,False,357.0,afval_cluster,124870.293|481448.255,['Rest:1'],['Rest:5 m3'],Alfred Döblinstraat,T93a,T93,T,1,0,0,0,0,1
32,124870,481563,191645.0,124869.666~481562.955~afval_cluster~124869.666|481562.955,674952.0,93599.0,2020-04-01 13:57:12,2020-04-01 13:57:12,86a58057-8bb1-2dbb-b755-60f2785da8e7,False,357.0,afval_cluster,124869.666|481562.955,['Rest:1'],['Rest:5 m3'],Bernard Shawsingel,T93a,T93,T,1,0,0,0,0,1
33,124882,481025,250557.0,124882.438~481025.312~afval_cluster~124882.438|481025.312,733894.0,75465.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3983c130-662d-1e0e-aad5-ef20a0380fcc,False,357.0,afval_cluster,124882.438|481025.312,['Rest:1'],['Rest:5 m3'],Brentanostraat,T93a,T93,T,1,0,0,0,0,1
34,124883,481327,419995.0,124883.339~481327.054~afval_cluster~124883.339|481327.054,903440.0,41620.0,2020-04-01 13:57:12,2020-04-01 13:57:12,101b6cc0-52a0-4098-3c00-f0c2e79d858b,False,357.0,afval_cluster,124883.339|481327.054,['Rest:1'],['Rest:5 m3'],Barbusselaan,T93a,T93,T,1,0,0,0,0,1
35,124884,481119,237605.0,124883.902~481119.296~afval_cluster~124883.902|481119.296,720936.0,44395.0,2020-04-01 13:57:12,2020-04-01 13:57:12,244ffd61-3098-25e0-b635-a86c22488f90,False,357.0,afval_cluster,124883.902|481119.296,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Brentanostraat,T93a,T93,T,1,1,1,1,0,4
36,124885,481776,406449.0,124884.576~481775.744~afval_cluster~124884.576|481775.744,889883.0,145140.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a75423c9-b828-8fc3-5fcf-51d864cc2f9a,False,357.0,afval_cluster,124884.576|481775.744,['Rest:1'],['Rest:5 m3'],Dostojevskisingel,T93b,T93,T,1,0,0,0,0,1
37,124889,481237,345451.0,124889.052~481236.688~afval_cluster~124889.052|481236.688,828841.0,49000.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ce871371-bf15-dd4f-aaed-83f67b3202f2,False,357.0,afval_cluster,124889.052|481236.688,['Rest:1'],['Rest:5 m3'],Berthold Brechtstraat,T93a,T93,T,1,0,0,0,0,1
38,124893,481768,215053.0,124892.561~481768.024~afval_cluster~124892.561|481768.024,698371.0,97916.0,2020-04-01 13:57:12,2020-04-01 13:57:12,efcd135d-57d7-8e0e-005f-cbaba0b13f9d,False,357.0,afval_cluster,124892.561|481768.024,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Dostojevskisingel,T93b,T93,T,0,1,1,1,0,3
39,124905,480903,354395.0,124904.813~480902.670~afval_cluster~124904.813|480902.670,837801.0,32837.0,2020-04-01 13:57:12,2020-04-01 13:57:12,a6521df0-e854-727b-fe2c-9e6c82892d01,False,357.0,afval_cluster,124904.813|480902.670,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:4 m3', 'Papier:4 m3']",Fraijlemaborg,T93e,T93,T,1,0,1,1,0,3
40,124905,481856,293119.0,124904.811~481856.066~afval_cluster~124904.811|481856.066,776479.0,145958.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1bdd1968-94c1-54d5-b125-365aca7dc1f7,False,357.0,afval_cluster,124904.811|481856.066,['Rest:1'],['Rest:5 m3'],Dickenslaan,T93b,T93,T,1,0,0,0,0,1
41,124911,482091,247153.0,124910.553~482090.561~afval_cluster~124910.553|482090.561,730485.0,2920.0,2020-04-01 13:57:12,2020-04-01 13:57:12,de436c70-c079-3912-9524-0fb1c4fcf532,False,357.0,afval_cluster,124910.553|482090.561,"['Glas:1', 'Papier:2', 'Plastic:1']","['Glas:5 m3', 'Papier:9 m3', 'Plastic:5 m3']",Dalsteindreef,T93b,T93,T,0,1,2,1,0,4
42,124917,481486,334826.0,124916.535~481486.214~afval_cluster~124916.535|481486.214,818208.0,146329.0,2020-04-01 13:57:12,2020-04-01 13:57:12,15fd526c-f4e7-855d-4a5a-2e3085101410,False,357.0,afval_cluster,124916.535|481486.214,"['Papier:1', 'Plastic:1']","['Papier:5 m3', 'Plastic:5 m3']",Bernard Shawsingel,T93a,T93,T,1,1,-1,0,0,2
43,124918,481005,438181.0,124918.435~481004.774~afval_cluster~124918.435|481004.774,921630.0,137929.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1b64b773-d67d-cce8-47f6-6d28fadc378b,False,357.0,afval_cluster,124918.435|481004.774,['Rest:1'],['Rest:5 m3'],Anna Blamansingel,T93a,T93,T,1,0,0,0,0,1
44,124922,481047,254587.0,124921.935~481047.037~afval_cluster~124921.935|481047.037,737928.0,88526.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3f6c830f-61e1-901c-f2b1-81d215b366fd,False,357.0,afval_cluster,124921.935|481047.037,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Brentanostraat,T93a,T93,T,0,1,1,1,0,3
45,124925,481259,633.0,124924.987~481258.754~afval_cluster~124924.425|481257.636,483837.0,58065.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f526bde6-616a-f305-8bd6-05a3d2ce1d38,False,357.0,afval_cluster,124924.425|481257.636,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Barbusselaan,T93a,T93,T,1,1,1,1,0,4
46,124928,481950,42539.0,124927.945~481950.327~afval_cluster~124927.945|481950.327,525767.0,88756.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c2056b8c-e48c-a953-6c23-a5a65bbdae44,False,357.0,afval_cluster,124927.945|481950.327,['Rest:1'],['Rest:5 m3'],Charlotte Brontéstraat,T93b,T93,T,1,0,0,0,0,1
