,distance,penalties
0,159.8180699489823,109.80032057664032
1,156.84873845968826,108.06986319794461
2,159.66845255898252,109.71450905478154
3,158.36819134561853,108.67383304692397
4,158.5284029662002,108.95203837454936
5,158.9240770084474,108.29088997273301
6,158.89582561600446,110.00308173225756
7,161.3667616622361,109.42311299772915
8,161.20617116858796,109.51166229859922
9,159.42099699161278,110.0741213671983
10,158.31886929608967,108.91485181326394
11,158.7233866783667,109.49132076107107
12,160.58343533833056,109.8847459682156
13,159.68312681617718,108.30943625723538
14,158.21476921118426,108.53243225494185
15,159.8100485189046,109.86455740246926
16,159.53516226010618,109.87427907273575
17,159.84055921225288,110.89834837120867
18,159.7043578314559,110.19391118403317
19,160.0088777462151,110.50109240816295
20,159.07523985277828,108.98238738551413
21,159.22203747651903,111.62456207460235
22,158.50484823141673,108.04674253143483
23,158.64149406356012,109.19696161263919
24,158.25009618335798,109.01079668624676
25,158.71393347735852,110.99809752567172
26,158.81189791821095,109.5621128312926
27,158.57255350813602,109.84903031385906
28,159.06663883461582,109.76411242993943
29,158.60452191975125,108.82535273630862
30,157.99951079147877,109.69847497369686
31,159.2150639746537,110.44521147645209
32,158.7159935453274,109.20691695921963
33,159.58656131431553,108.68942226135056
34,159.06373740451602,111.1776284095382
35,156.9500353400075,110.0259532389249
36,157.33931267029794,108.8442478188999
37,159.57915359530529,108.60358891484917
38,161.81365373069616,110.44117744741784
39,158.55124411784288,111.96775496698619
40,159.32319966311763,109.98418793337466
41,158.35294728899862,109.05926354173836
42,160.94867830072,111.02566986046725
43,160.42319214303683,111.74961258013049
44,159.32084639692889,109.37646680574082
45,159.83868104817213,108.88650728626894
46,159.09966399421765,110.40980730724854
47,158.4250272982084,110.24071480884147
48,158.05991194710083,108.10162638678646
49,158.23199162353288,108.02119759758058
50,160.45960078603852,109.1229987067156
51,159.50162084646846,109.91010051072395
52,160.17223832087598,107.88016009158308
53,158.70031253998584,108.81492145579125
54,158.15720743215113,109.5338541126745
55,158.79412563999372,109.93549865500523
56,157.49886016217047,108.22961014288632
57,159.0038737226034,110.12903182982775
58,158.15362315588283,107.52036353581826
59,159.23295876816985,109.58913525955265
60,160.2790422872415,109.5847682935019
61,159.402245409141,110.23894790387658
62,158.1577164388748,108.70487712604746
63,159.3068292781731,110.41880309766724
64,158.62336601834647,110.19020962567654
65,160.2520979176951,109.71302731853919
66,160.77519289259234,109.26978475876783
67,160.32973905571535,110.05127826149352
68,158.64531933472577,109.22949710399558
69,158.41748074630397,108.12179653629646
70,159.87774758566064,109.85779941647931
71,160.2764397363916,111.67971167098437
72,159.99274108723492,110.22899582076731
73,160.48920533288504,110.18289979108982
74,159.85251691716402,110.0280159290457
75,159.9800965051991,109.86821465151831
76,157.9678384623365,110.37387054011296
77,159.21981650924994,108.7981830329763
78,160.46342865801893,111.69690750892138
79,160.02471622015068,109.66322812558748
80,159.29944357044926,110.32784835879846
81,160.40825837520674,109.97030437991172
82,160.24797921183603,111.25182712694145
83,159.3407914898175,109.25677603404166
84,161.29164520366703,110.6034634830479
85,159.2207363776078,108.09090764969086
86,159.4994726113327,110.11550612743743
87,158.6493473780983,108.08134452213065
88,159.24457103731007,109.82255641086239
89,159.6680240075767,108.71710240363015
90,161.10885172415914,108.917185463159
91,159.15817040141758,107.49949387768127
92,160.2460074507465,110.478275165746
93,158.65987253684378,110.31459954149447
94,159.23623974771763,111.17488333871785
95,159.06965680325376,109.85026536623556
96,158.4767340128247,107.59799660777854
97,160.23745082977513,111.24733677358914
98,157.61694093408033,108.77319410836417
99,160.2774021600777,109.14919495248787
100,159.79870235445378,111.0912275302139
101,159.02468525802436,110.47062092764384
102,158.57610040573337,110.31333256191681
103,161.0778803794675,110.29438941495674
104,158.15715857885655,109.14205849019079
105,159.02810760549448,110.17768268083283
106,158.53709433556236,110.57504201141565
107,158.57480521212835,109.03278200156247
108,159.54073131226932,108.1227275610931
109,160.5442672387593,107.88517284204073
110,158.70892488285492,108.2464162338283
111,160.3440291987489,110.67953004859099
112,158.4977234695636,109.8041794086905
113,159.59275305495635,110.07408470301176
114,159.20362803197443,110.43989020732015
115,160.82355151378295,111.22608114332978
116,159.20573557273383,109.32752652489125
117,159.18493614186917,109.07147112365026
118,159.71410064837463,111.4235031556981
119,159.0346891270397,109.0863776455273
120,158.4563303961283,111.01189206333247
121,158.8120632485588,108.88684430049707
122,159.3547309946535,108.96381866025465
123,158.62585684838206,109.11003507423855
124,160.17315622786117,109.54768320455165
125,160.27402581582137,110.40789197319677
126,159.78329440228697,108.65579145375233
127,159.62266886218976,109.32343571588714
128,159.7110512901566,108.64687616294408
129,158.44053509846637,110.9137440701277
130,160.09557393421403,110.07182631375278
131,160.9319698560011,110.06009113849765
132,160.44618110191465,110.95490765259399
133,158.66561016457422,108.92803994842727
134,159.06286031644117,108.53105711598094
135,157.75885769137074,109.48791180568038
136,159.79446233480002,110.12231589396931
137,158.47779093885754,110.05045508300344
138,158.29057880520537,109.27283627244782
139,159.68890434277188,108.55797328855904
140,160.68366721628496,108.74056732213519
141,159.68246385679635,109.23647356111755
142,158.54597793271844,107.74548232300998
143,160.12927580112373,110.08182934207922
144,159.09243174747402,109.2113191223313
145,159.3651907190449,108.68956381458257
146,159.49030915672935,110.68513688401103
147,160.7015347433297,109.90493942549027
148,159.14285276788658,107.65585049810205
149,158.68902624233618,109.12552897205025
150,160.13505993315937,109.45859194138487
151,159.61484320150868,108.26665728189506
152,159.9943928871486,112.26475791932084
153,157.7993137243568,109.61415127702205
154,159.82521564184745,109.76330886202034
155,159.94829631490984,108.58952113948402
156,158.8928168371969,110.36100112410423
157,158.24905649418207,109.6901591660692
158,160.7843380909305,110.01951708770495
159,158.44508552111648,108.16331087022543
160,159.00298821470648,108.5428886701759
161,158.74658218429198,108.89215039798572
162,158.12451012028743,108.43265549211495
163,158.48928891242585,110.4817885166435
164,159.79196267740667,110.24643082874098
165,158.44480907049902,108.97306831694107
166,159.29026482102313,109.49449938699085
167,158.26728921951542,108.37388109262179
168,159.6552653054297,109.63745416092637
169,158.5751420741364,110.43722420213811
170,159.72572865873144,108.31913021058027
171,161.1975212620375,110.88643714588765
172,158.47814076570225,109.9538289378545
173,160.24499030934646,111.91041480558488
174,158.37477539032997,109.14024472183618
175,159.96457224269233,110.36415766459925
176,159.02572346981236,110.14418319794795
177,158.53749281242642,109.11919941188434
178,159.10187127185995,108.45479751573956
179,160.48548762924025,112.06690939734058
180,158.64470671228713,108.55597408527184
181,159.85181643627558,109.91398078721666
182,158.83528509264636,109.29137604241022
183,160.45783928181928,109.31140049629671
184,158.08862894211526,109.66245845973411
185,159.34561260830708,109.38019457242896
186,157.64622932399442,109.07697790570143
187,158.32639221567197,109.09407547889941
188,159.18090512716606,110.08530819575296
189,158.59845469300606,109.3777807475725
190,160.87643513475476,109.56778277109393
191,159.38682061038116,109.01303047413144
192,160.1493336889368,109.94904831765625
193,159.59015837103738,109.32596499777289
194,158.2647370055563,108.48841114782583
195,157.85701161913246,108.83673341507586
196,160.98855803451124,111.22367803069154
