,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest
28,113432,484931,645671.0,26497.0,afval_cluster,113432.147|484930.673,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Brenner,F84b,F84,F,2,0,1,0,0,3,True
29,113437,485151,798015.0,136384.0,afval_cluster,113437.470|485150.927,['Rest:2'],['Rest:8 m3'],Akersingel,F84b,F84,F,2,0,0,0,0,2,True
30,113437,485193,679668.0,57428.0,afval_cluster,113437.136|485193.385,['Rest:2'],['Rest:8 m3'],Anielewiczsingel,F84a,F84,F,2,0,0,0,0,2,True
31,113439,485323,942122.0,132943.0,afval_cluster,113439.140|485322.697,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:3 m3']",Seifertplein,F84a,F84,F,1,0,1,0,0,2,True
32,113447,484691,667740.0,97500.0,afval_cluster,113447.145|484690.574,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Fluessenlaan,F84b,F84,F,2,0,0,0,0,2,True
33,113452,485352,938685.0,148469.0,afval_cluster,113451.838|485351.959,['Rest:1'],['Rest:5 m3'],Marianellastraat,F84a,F84,F,1,0,0,0,0,1,True
34,113465,485367,696624.0,679.0,afval_cluster,113465.181|485366.952,['Rest:2'],['Rest:8 m3'],M. Gandhilaan,F84a,F84,F,2,0,0,0,0,2,True
35,113470,484983,680692.0,108178.0,afval_cluster,113469.618|484983.079,['Rest:2'],['Rest:8 m3'],Ortler,F84b,F84,F,2,0,0,0,0,2,True
36,113486,485117,688278.0,131100.0,afval_cluster,113486.171|485117.122,['Textiel:1'],['Textiel:3 m3'],Akersingel,F84b,F84,F,0,0,0,0,1,1,True
37,113490,485160,629453.0,125315.0,afval_cluster,113489.607|485159.552,['Rest:2'],['Rest:8 m3'],Letelierstraat,F84a,F84,F,2,0,0,0,0,2,True
38,113492,485548,845327.0,72769.0,afval_cluster,113491.888|485547.580,['Rest:2'],['Rest:8 m3'],Bonhoeffersingel,F84a,F84,F,2,0,0,0,0,2,True
39,113496,484746,920575.0,139651.0,afval_cluster,113496.029|484746.173,['Rest:1'],['Rest:5 m3'],Gileppehof,F84b,F84,F,1,0,0,0,0,1,True
40,113512,485330,637346.0,150262.0,afval_cluster,113512.037|485329.863,['Rest:3'],['Rest:13 m3'],M. Gandhilaan,F84a,F84,F,3,0,0,0,0,3,True
41,113516,484631,879230.0,33060.0,afval_cluster,113515.692|484631.464,['Rest:2'],['Rest:8 m3'],Pracanalaan,F84b,F84,F,2,0,0,0,0,2,True
