,0
-1,135.60454721877497
0,137.07001205439516
1,136.97213323662783
2,136.97213323662783
3,136.97213323662783
4,136.97213323662783
5,136.86293741455142
6,136.86293741455142
7,136.86293741455142
8,136.86293741455142
9,136.86293741455142
10,136.86293741455142
11,136.86293741455142
12,136.85072098836218
13,136.85072098836218
14,136.85072098836218
15,136.85072098836218
16,136.85072098836218
17,136.85072098836218
18,136.85072098836218
19,136.85072098836218
20,136.85072098836218
21,136.85072098836218
22,136.85072098836218
23,136.85072098836218
24,136.85072098836218
25,136.74826983606152
26,136.74826983606152
27,136.74826983606152
28,136.74826983606152
29,136.74826983606152
30,136.7078918279
31,136.7078918279
32,136.70393578847117
33,136.70393578847117
34,136.70393578847117
35,136.70393578847117
36,136.70393578847117
37,136.70393578847117
38,136.70393578847117
39,136.70132989277664
40,136.67613458273757
41,136.67613458273757
42,136.663142591343
43,136.663142591343
44,136.5824144555785
45,136.5824144555785
46,136.5824144555785
47,136.5824144555785
48,136.5824144555785
49,136.5824144555785
50,136.5824144555785
51,136.5824144555785
52,136.5824144555785
53,136.5824144555785
54,136.5824144555785
55,136.5824144555785
56,136.5824144555785
57,136.5824144555785
58,136.5824144555785
59,136.5824144555785
60,136.5824144555785
61,136.5824144555785
62,136.5824144555785
63,136.5824144555785
64,136.5824144555785
65,136.5824144555785
66,136.5824144555785
67,136.5824144555785
68,136.5824144555785
69,136.5824144555785
70,136.5824144555785
71,136.5824144555785
72,136.5824144555785
73,136.5824144555785
74,136.5824144555785
75,136.5824144555785
76,136.49642604889522
77,136.49642604889522
78,136.49642604889522
79,136.49642604889522
80,136.49642604889522
81,136.49642604889522
82,136.49642604889522
83,136.49642604889522
84,136.49642604889522
85,136.49642604889522
86,136.2859186376308
87,136.2859186376308
88,136.2859186376308
89,136.0069766178406
90,136.0069766178406
91,136.0069766178406
92,136.0069766178406
93,136.0069766178406
94,136.0069766178406
95,136.0069766178406
96,136.0069766178406
97,136.0069766178406
98,136.0069766178406
99,135.95639511642432
100,135.95639511642432
101,135.95639511642432
102,135.93230209417734
103,135.69626197865466
104,135.69626197865466
105,135.69626197865466
106,135.69626197865466
107,135.69626197865466
108,135.69626197865466
109,135.69626197865466
110,135.69626197865466
111,135.69626197865466
112,135.69626197865466
113,135.69626197865466
114,135.69626197865466
115,135.69626197865466
116,135.69626197865466
117,135.61799191208016
118,135.61799191208016
119,135.61799191208016
120,135.61799191208016
121,135.61799191208016
122,135.61799191208016
123,135.61054634515745
124,135.61054634515745
125,135.61054634515745
126,135.61054634515745
127,135.61054634515745
128,135.61054634515745
129,135.61054634515745
