"ligtin_bag_pnd_identificatie","aantal_woonfunctie","aantal_niet_woonfunctie","min_verdiepingtoegang"
"0363100012061373","2","0","0"
"0363100012061374","2","1","1"
"0363100012061375","2","0","0"
"0363100012061376","6","0","0"
"0363100012061377","2","0","0"
"0363100012061378","0","11","0"
"0363100012061379","3","1","1"
"0363100012061380","1","0","0"
"0363100012061381","1","0","0"
"0363100012061382","4","0","0"
"0363100012061383","6","0","0"
"0363100012061384","1","0","0"
"0363100012061385","6","2","1"
"0363100012061386","4","0","0"
"0363100012061387","4","0","0"
"0363100012061388","0","3","0"
"0363100012061389","3","0","1"
"0363100012061391","1","0","0"
"0363100012061392","4","0","0"
"0363100012061393","4","0","0"
"0363100012061394","3","0","0"
"0363100012061395","1","0","0"
"0363100012061396","1","0","0"
"0363100012061397","1","0","0"
"0363100012061398","1","0","0"
"0363100012061399","0","1","0"
"0363100012061400","1","0","0"
"0363100012061401","1","0","0"
"0363100012061402","1","0","0"
"0363100012061403","3","0","0"
"0363100012061404","3","0","0"
"0363100012061405","1","0","0"
"0363100012061406","10","0","0"
"0363100012061407","0","2","0"
"0363100012061408","1","0","0"
"0363100012061409","3","1","1"
"0363100012061410","3","1","1"
"0363100012061411","29","0",NULL
"0363100012061412","2","1","0"
"0363100012061413","1","0","0"
"0363100012061414","1","1","0"
"0363100012061415","7","0","1"
"0363100012061416","1","0","0"
"0363100012061417","9","0","0"
"0363100012061418","4","0","0"
"0363100012061419","0","2",NULL
"0363100012061420","4","0","0"
"0363100012061421","1","0","0"
"0363100012061422","3","0","0"
"0363100012061423","1","0","0"
"0363100012061424","1","0","0"
"0363100012061425","6","0","0"
"0363100012061426","1","0","0"
"0363100012061427","7","1","0"
"0363100012061428","1","0","0"
"0363100012061429","2","0",NULL
"0363100012061430","14","0","0"
"0363100012061431","1","0","0"
"0363100012061432","1","0","0"
"0363100012061433","1","0","0"
"0363100012061434","2","0","0"
"0363100012061435","1","0","0"
"0363100012061436","0","1",NULL
"0363100012061437","2","0","0"
"0363100012061438","1","0","0"
"0363100012061439","6","1","0"
"0363100012061440","5","0","0"
"0363100012061441","5","0","0"
"0363100012061442","1","0","0"
"0363100012061443","1","0","0"
"0363100012061444","2","0","0"
"0363100012061445","0","1","0"
"0363100012061446","2","0","0"
"0363100012061447","1","1","0"
"0363100012061448","9","0","1"
"0363100012061449","0","1",NULL
"0363100012061450","1","0","0"
"0363100012061451","0","1","0"
"0363100012061452","30","1","1"
"0363100012061453","1","0","0"
"0363100012061454","1","0","0"
"0363100012061455","4","0","0"
"0363100012061456","1","0","0"
"0363100012061457","0","1",NULL
"0363100012061458","1","0","0"
"0363100012061459","4","0","0"
"0363100012061460","1","0","0"
"0363100012061461","1","0","0"
"0363100012061462","3","1","1"
"0363100012061463","0","1",NULL
"0363100012061464","2","0","0"
"0363100012061465","4","0","0"
"0363100012061466","2","0","0"
"0363100012061467","0","2","0"
"0363100012061468","1","0","0"
"0363100012061469","1","0","0"
"0363100012061470","1","0","0"
"0363100012061471","1","0","0"
"0363100012061472","4","0",NULL
"0363100012061473","8","1","1"
"0363100012061474","0","1",NULL
"0363100012061475","1","0","0"
"0363100012061476","41","0","0"
"0363100012061477","0","1","0"
"0363100012061478","1","0","0"
"0363100012061479","1","0","0"
"0363100012061480","4","0","0"
"0363100012061481","1","0","0"
"0363100012061482","8","0","0"
"0363100012061483","7","0","0"
"0363100012061484","1","0","0"
"0363100012061485","1","0","0"
"0363100012061486","1","0","0"
"0363100012061488","1","0","0"
"0363100012061489","1","0","0"
"0363100012061490","5","0","0"
"0363100012061491","2","0","0"
"0363100012061492","1","0","0"
"0363100012061493","1","0","0"
"0363100012061494","2","0","0"
"0363100012061495","1","0","0"
"0363100012061496","1","0","0"
