"ligtin_bag_pnd_identificatie","aantal_woonfunctie","aantal_niet_woonfunctie","min_verdiepingtoegang"
"0363100012083801","1","0","0"
"0363100012083802","1","0","0"
"0363100012083803","1","0","0"
"0363100012083804","1","0","0"
"0363100012083805","7","0","0"
"0363100012083806","0","1","0"
"0363100012083807","4","0","0"
"0363100012083808","1","0","0"
"0363100012083809","1","0","0"
"0363100012083810","4","0","0"
"0363100012083811","1","0","0"
"0363100012083812","5","0","0"
"0363100012083813","1","0","0"
"0363100012083814","0","1","0"
"0363100012083815","1","0","0"
"0363100012083816","2","0","0"
"0363100012083817","8","1","0"
"0363100012083818","1","0","0"
"0363100012083819","3","0","0"
"0363100012083820","8","0","0"
"0363100012083821","3","0","0"
"0363100012083822","2","1","1"
"0363100012083823","8","0","0"
"0363100012083824","1","0","0"
"0363100012083825","4","0","0"
"0363100012083826","1","0","0"
"0363100012083827","1","0","0"
"0363100012083828","1","0","0"
"0363100012083829","1","0","0"
"0363100012083830","4","0","0"
"0363100012083831","2","0","0"
"0363100012083832","0","1","0"
"0363100012083833","1","0","0"
"0363100012083834","0","1",NULL
"0363100012083835","4","0","0"
"0363100012083836","1","0","0"
"0363100012083837","0","1","0"
"0363100012083838","1","0","0"
"0363100012083839","1","0","0"
"0363100012083840","1","0","0"
"0363100012083841","1","0","0"
"0363100012083842","2","0","0"
"0363100012083843","1","0","0"
"0363100012083844","5","0","0"
"0363100012083845","2","0","0"
"0363100012083846","1","0","0"
"0363100012083847","4","0","0"
"0363100012083848","4","0","0"
"0363100012083849","4","0","0"
"0363100012083850","1","0","0"
"0363100012083851","1","0","0"
"0363100012083852","4","0","0"
"0363100012083853","1","0","0"
"0363100012083854","1","0","0"
"0363100012083855","8","0","0"
"0363100012083856","1","0","0"
"0363100012083857","1","0","0"
"0363100012083859","3","0","0"
"0363100012083860","1","0","0"
"0363100012083861","1","0","0"
"0363100012083862","1","0","0"
"0363100012083863","2","0","0"
"0363100012083864","2","0","0"
"0363100012083865","1","0","0"
"0363100012083866","2","0","0"
"0363100012083867","1","0","0"
"0363100012083868","1","0","0"
"0363100012083869","1","0","0"
"0363100012083870","1","0","0"
"0363100012083871","1","0","0"
"0363100012083872","170","1","0"
"0363100012083873","1","0","0"
"0363100012083874","8","0","0"
"0363100012083875","0","2",NULL
"0363100012083876","0","1","0"
"0363100012083877","1","0","0"
"0363100012083879","4","0","0"
"0363100012083880","7","0","0"
"0363100012083881","0","1",NULL
"0363100012083883","1","0","0"
"0363100012083884","2","0","0"
"0363100012083885","0","1",NULL
"0363100012083886","1","0","0"
"0363100012083887","1","0","0"
"0363100012083888","0","1","0"
"0363100012083889","16","0","0"
"0363100012083890","1","0","0"
"0363100012083891","1","0","0"
"0363100012083892","1","1","0"
"0363100012083893","4","0","0"
"0363100012083894","1","0","0"
"0363100012083895","4","0","0"
"0363100012083896","0","1","0"
"0363100012083898","1","0","0"
"0363100012083899","1","0","0"
"0363100012083900","1","0","0"
"0363100012083901","1","0","0"
"0363100012083902","1","0","0"
"0363100012083903","1","0","0"
"0363100012083904","0","1","0"
"0363100012083905","1","0","0"
"0363100012083906","1","0","0"
"0363100012083907","0","1",NULL
"0363100012083908","1","0","0"
"0363100012083909","5","0","0"
"0363100012083910","1","0","0"
"0363100012083911","0","1",NULL
"0363100012083912","0","1",NULL
"0363100012083913","4","0","0"
"0363100012083914","1","0","0"
"0363100012083915","1","0","0"
"0363100012083916","1","0","0"
"0363100012083917","1","0","0"
"0363100012083918","1","0","0"
"0363100012083919","1","0","0"
"0363100012083920","0","1",NULL
"0363100012083921","4","0","0"
"0363100012083922","1","0","0"
"0363100012083923","1","0","0"
"0363100012083924","0","1","0"
"0363100012083925","4","0","0"
"0363100012083926","4","0","0"
"0363100012083927","1","0","0"
"0363100012083928","1","0","0"
"0363100012083929","1","0","0"
"0363100012083931","0","2",NULL
"0363100012083932","0","10","0"
"0363100012083933","1","0","0"
"0363100012083934","4","0","0"
"0363100012083935","2","0","0"
"0363100012083936","1","0","0"
"0363100012083937","1","0","0"
"0363100012083938","1","0","0"
"0363100012083939","1","0","0"
"0363100012083940","1","0","0"
"0363100012083941","3","1","1"
"0363100012083942","6","1","1"
"0363100012083943","1","0","0"
"0363100012083944","11","0","0"
"0363100012083945","0","1","0"
"0363100012083946","1","0","0"
"0363100012083947","3","1","1"
"0363100012083948","1","0","0"
"0363100012083949","1","0","0"
"0363100012083950","0","1",NULL
"0363100012083951","1","0","0"
"0363100012083952","1","0","0"
"0363100012083953","2","0","0"
"0363100012083953|0363100012099162","1","0","2"
"0363100012083954","4","0","0"
"0363100012083955","4","0","0"
"0363100012083956","0","1","0"
"0363100012083957","4","0","0"
"0363100012083958","1","0","0"
"0363100012083959","3","0","0"
"0363100012083961","1","0","0"
"0363100012083962","1","0","0"
"0363100012083963","1","0","0"
"0363100012083964","1","0","0"
"0363100012083965","4","0","0"
"0363100012083966","1","0","0"
"0363100012083967","8","0","0"
"0363100012083968","1","0","0"
"0363100012083969","1","0","0"
"0363100012083970","8","2","0"
"0363100012083971","3","1","1"
"0363100012083972","3","0","0"
"0363100012083973","1","0","0"
"0363100012083974","2","0","0"
"0363100012083975","8","0","0"
"0363100012083976","1","0","0"
"0363100012083977","1","0","0"
"0363100012083978","2","0","0"
"0363100012083979","3","0","0"
"0363100012083980","1","0","0"
"0363100012083981","3","1","0"
"0363100012083982","0","1","0"
"0363100012083983","0","1","0"
"0363100012083984","2","0","0"
"0363100012083985","8","0","0"
"0363100012083986","1","0","0"
"0363100012083987","4","0","0"
"0363100012083988","1","0","0"
"0363100012083989","0","1",NULL
"0363100012083990","1","0","0"
"0363100012083991","1","0","0"
"0363100012083992","3","0","0"
"0363100012083993","1","0","0"
"0363100012083994","2","0","0"
"0363100012083995","1","0","0"
"0363100012083996","1","0","0"
"0363100012083997","4","0","0"
"0363100012083998","3","0","0"
"0363100012083999","8","0","0"
"0363100012084001","1","0","0"
"0363100012084002","1","0","0"
"0363100012084003","1","0","0"
"0363100012084004","1","0","0"
"0363100012084005","1","0","0"
"0363100012084006","1","0","0"
"0363100012084007","1","0","0"
"0363100012084008","1","0","0"
"0363100012084009","1","0","0"
"0363100012084010","1","0","0"
"0363100012084011","1","0","0"
"0363100012084012","1","0","0"
"0363100012084013","0","1",NULL
"0363100012084014","1","0","0"
"0363100012084015","1","0","0"
"0363100012084016","1","0","0"
"0363100012084017","1","0","0"
"0363100012084018","2","0","0"
"0363100012084019","4","0","0"
"0363100012084020","1","0","0"
"0363100012084021","1","0","0"
"0363100012084022","8","1","1"
"0363100012084023","65","1","0"
"0363100012084024","2","0","0"
"0363100012084025","4","0","0"
"0363100012084026","4","0","0"
"0363100012084027","1","0","0"
"0363100012084028","1","0","0"
"0363100012084030","1","0","0"
"0363100012084031","6","0","0"
"0363100012084032","8","0","1"
"0363100012084033","4","0","0"
"0363100012084034","1","0","0"
"0363100012084035","3","0","0"
"0363100012084036","1","0","0"
"0363100012084037","4","0","0"
"0363100012084038","12","2","1"
"0363100012084039","0","1","0"
"0363100012084040","1","0","0"
"0363100012084041","1","0","0"
"0363100012084042","1","0","0"
"0363100012084043","1","0","0"
"0363100012084044","12","0",NULL
"0363100012084045","7","1","0"
"0363100012084046","1","0","0"
"0363100012084047","1","0","0"
"0363100012084048","6","2","1"
"0363100012084049","4","0","0"
"0363100012084050","3","0","1"
"0363100012084051","1","0","0"
"0363100012084052","0","1","0"
"0363100012084053","1","0","0"
"0363100012084054","1","0","0"
"0363100012084055","9","0","0"
"0363100012084056","3","1","1"
"0363100012084057","1","0","0"
"0363100012084058","4","0","0"
"0363100012084059","9","1","0"
"0363100012084060","1","0","0"
"0363100012084061","1","0","0"
"0363100012084062","1","0","0"
"0363100012084063","4","0","0"
"0363100012084064","2","0","0"
"0363100012084065","0","1",NULL
"0363100012084066","2","0","0"
"0363100012084067","1","0","0"
"0363100012084068","4","0","0"
"0363100012084069","2","0","0"
"0363100012084070","3","0","0"
"0363100012084071","1","0","0"
"0363100012084072","1","0","0"
"0363100012084073","1","0","0"
"0363100012084074","5","0","0"
"0363100012084075","1","0","0"
"0363100012084076","5","0","0"
"0363100012084077","1","0","0"
"0363100012084078","1","0","0"
"0363100012084079","1","0","0"
"0363100012084080","1","0","0"
"0363100012084081","2","0","0"
"0363100012084082","1","0","0"
"0363100012084083","8","0","0"
"0363100012084084","1","0","0"
"0363100012084085","0","1",NULL
"0363100012084086","10","0","1"
"0363100012084087","1","0","0"
"0363100012084088","1","0","0"
"0363100012084089","1","0","0"
"0363100012084090","1","0","0"
"0363100012084091","1","0","0"
"0363100012084092","0","1",NULL
"0363100012084093","1","0","0"
"0363100012084094","3","1","0"
"0363100012084095","1","0","0"
"0363100012084096","1","0",NULL
"0363100012084097","1","0","0"
"0363100012084098","1","0",NULL
"0363100012084099","1","0","0"
"0363100012084100","2","0","0"
"0363100012084101","24","0","1"
"0363100012084102","0","1",NULL
"0363100012084103","1","0","0"
"0363100012084104","4","0","0"
"0363100012084105","1","0","0"
"0363100012084106","1","0","0"
"0363100012084107","3","0","0"
"0363100012084108","1","1","1"
"0363100012084109","3","0","0"
"0363100012084110","0","1",NULL
"0363100012084111","1","0","0"
"0363100012084112","1","0","0"
"0363100012084113","1","0","0"
"0363100012084114","4","0","0"
"0363100012084115","1","0","0"
"0363100012084116","4","0","0"
"0363100012084117","10","0","0"
"0363100012084118","1","0","0"
"0363100012084119","1","0","0"
"0363100012084120","1","0","0"
"0363100012084121","2","0","0"
"0363100012084122","2","0","0"
"0363100012084123","1","0","0"
"0363100012084124","1","0","0"
"0363100012084125","1","0","0"
"0363100012084126","1","0","0"
"0363100012084127","1","0","0"
"0363100012084128","4","0","0"
"0363100012084129","1","0","0"
"0363100012084130","4","0","0"
"0363100012084131","1","0","0"
"0363100012084132","6","1","0"
"0363100012084133","1","0","0"
"0363100012084134","1","0","0"
"0363100012084135","5","0","0"
"0363100012084136","1","0","0"
"0363100012084137","2","0","0"
"0363100012084138","3","0","0"
"0363100012084139","4","1","0"
"0363100012084140","0","1","0"
"0363100012084141","1","0","0"
"0363100012084142","1","0","0"
"0363100012084143","1","0","0"
"0363100012084144","0","1",NULL
"0363100012084145","1","0","0"
"0363100012084146","1","0","1"
"0363100012084147","1","0","0"
"0363100012084148","0","1","0"
"0363100012084149","4","0","0"
"0363100012084150","1","0","0"
"0363100012084151","8","0","0"
"0363100012084152","1","0","0"
"0363100012084153","1","0","0"
"0363100012084154","4","1","0"
"0363100012084155","1","0","0"
"0363100012084156","1","0","0"
"0363100012084157","2","0","0"
"0363100012084158","1","0","0"
"0363100012084159","1","0","0"
"0363100012084160","1","0","0"
"0363100012084161","3","0","0"
"0363100012084162","1","0","0"
"0363100012084163","1","0","0"
"0363100012084164","4","0","1"
"0363100012084165","0","1",NULL
"0363100012084166","1","0","0"
"0363100012084167","1","0","0"
"0363100012084168","0","1",NULL
"0363100012084169","8","0","0"
"0363100012084170","1","0","0"
"0363100012084171","1","0","0"
"0363100012084172","1","0","0"
"0363100012084173","1","0","0"
"0363100012084174","8","0","0"
"0363100012084175","3","0","1"
"0363100012084176","4","0",NULL
"0363100012084177","1","0","0"
"0363100012084178","1","0","0"
"0363100012084179","5","0","0"
"0363100012084180","0","1","0"
"0363100012084181","1","0","0"
"0363100012084182","1","0","0"
"0363100012084183","2","1","1"
"0363100012084184","2","0","0"
"0363100012084185","3","0","2"
"0363100012084186","2","0","0"
"0363100012084187","1","0","0"
"0363100012084188","1","0","0"
"0363100012084190","0","1","0"
"0363100012084191","10","0","0"
"0363100012084192","32","4","1"
"0363100012084193","4","0","0"
"0363100012084194","10","0","0"
"0363100012084195","1","0","0"
"0363100012084196","1","0","0"
"0363100012084197","3","0","0"
"0363100012084198","1","0","0"
"0363100012084199","3","0","0"
"0363100012084201","6","0","0"
"0363100012084202","1","0","0"
"0363100012084203","5","0","0"
"0363100012084204","3","0","0"
"0363100012084205","1","0","0"
"0363100012084206","6","0","0"
"0363100012084207","1","0","0"
"0363100012084208","3","0","0"
"0363100012084209","17","0","0"
"0363100012084210","4","0","0"
"0363100012084211","1","0","0"
"0363100012084212","3","1","1"
"0363100012084213","1","0","0"
"0363100012084214","1","0","0"
"0363100012084215","1","0","0"
"0363100012084216","2","0","0"
"0363100012084217","1","0","0"
"0363100012084218","1","0","0"
"0363100012084219","1","0","0"
"0363100012084220","4","0","0"
"0363100012084221","21","0","0"
"0363100012084222","1","0","0"
"0363100012084223","1","0","0"
"0363100012084224","4","0","0"
"0363100012084225","0","1","0"
"0363100012084226","9","0","1"
"0363100012084227","1","0","0"
"0363100012084228","0","1",NULL
"0363100012084229","5","0","0"
"0363100012084230","1","0","0"
"0363100012084231","3","0","0"
"0363100012084232","1","0","0"
"0363100012084233","1","0","0"
"0363100012084234","4","0","0"
"0363100012084235","1","0","0"
"0363100012084236","3","0","0"
"0363100012084237","11","0","0"
"0363100012084238","4","0","0"
"0363100012084239","4","0","0"
"0363100012084240","8","0","1"
"0363100012084241","0","1",NULL
"0363100012084242","1","0",NULL
"0363100012084243","4","0","0"
"0363100012084244","4","0","0"
"0363100012084245","8","0","0"
"0363100012084246","4","0","0"
"0363100012084247","1","0","0"
"0363100012084248","6","1","0"
"0363100012084249","1","0","0"
"0363100012084250","1","0","0"
"0363100012084251","4","0","0"
"0363100012084252","0","1",NULL
"0363100012084253","1","0",NULL
"0363100012084254","1","0","0"
"0363100012084255","4","0","0"
"0363100012084256","1","0","0"
"0363100012084257","1","0","0"
"0363100012084258","1","0",NULL
"0363100012084259","4","0",NULL
"0363100012084261","1","0","0"
"0363100012084262","2","0","0"
"0363100012084263","2","0","0"
"0363100012084264","8","0","0"
"0363100012084265","1","0","0"
"0363100012084266","2","1","0"
"0363100012084267","1","0","0"
"0363100012084268","2","0","0"
"0363100012084269","2","0","0"
"0363100012084270","1","0","0"
"0363100012084271","1","0","0"
"0363100012084272","4","0","0"
"0363100012084273","1","0","0"
"0363100012084274","1","0","0"
"0363100012084275","1","0","0"
"0363100012084276","1","0","0"
"0363100012084277","8","0","0"
"0363100012084278","8","0","1"
"0363100012084279","4","0","0"
"0363100012084280","1","0","0"
"0363100012084281","2","1","1"
"0363100012084282","4","0","0"
"0363100012084283","1","0","0"
"0363100012084284","2","0",NULL
"0363100012084285","4","0","0"
"0363100012084286","0","7","0"
"0363100012084287","2","0","0"
"0363100012084288","1","0","0"
"0363100012084289","2","0","0"
"0363100012084290","0","2","0"
"0363100012084291","1","0","0"
"0363100012084292","2","0","0"
"0363100012084293","1","0","0"
"0363100012084294","4","0","0"
"0363100012084295","2","0","0"
"0363100012084296","1","0","0"
"0363100012084297","2","0","0"
"0363100012084299","4","0","0"
"0363100012084300","1","0","0"
"0363100012084302","1","0","0"
"0363100012084303","1","0","0"
"0363100012084304","1","0","0"
"0363100012084305","4","0","0"
"0363100012084306","1","0","0"
"0363100012084307","1","0","0"
"0363100012084308","1","0","0"
"0363100012084309","2","1","1"
"0363100012084310","3","1","0"
"0363100012084311","0","2","0"
"0363100012084312","4","0","0"
"0363100012084313","3","0","0"
"0363100012084314","3","0","0"
"0363100012084315","1","0","0"
"0363100012084316","0","1",NULL
"0363100012084317","2","1","0"
"0363100012084318","1","0","0"
"0363100012084319","2","0","0"
"0363100012084320","3","0","0"
"0363100012084321","1","0","0"
"0363100012084322","1","0","0"
"0363100012084323","7","0","0"
"0363100012084324","4","0","0"
"0363100012084325","8","0","0"
"0363100012084326","5","0","0"
"0363100012084327","1","0","0"
"0363100012084328","1","0","0"
"0363100012084329","6","0","0"
"0363100012084330","8","0","0"
"0363100012084331","4","0","0"
"0363100012084332","6","0","0"
"0363100012084333","5","0","0"
"0363100012084334","3","0","0"
"0363100012084335","12","0","0"
"0363100012084336","20","0","0"
"0363100012084337","1","0","0"
"0363100012084338","1","0","0"
"0363100012084339","1","0","0"
"0363100012084340","5","0","0"
"0363100012084341","1","0","0"
"0363100012084342","0","2","0"
"0363100012084343","4","0","1"
"0363100012084344","1","0","0"
"0363100012084345","1","0","0"
"0363100012084346","1","0","0"
"0363100012084347","0","1",NULL
"0363100012084348","2","0","0"
"0363100012084349","4","0",NULL
"0363100012084350","4","0","0"
"0363100012084351","1","0","0"
"0363100012084352","0","1","0"
"0363100012084353","1","0","0"
"0363100012084354","1","0","0"
"0363100012084355","8","0",NULL
"0363100012084356","4","0","0"
"0363100012084357","1","0","0"
"0363100012084358","4","0","0"
"0363100012084359","4","0","0"
"0363100012084360","1","0","0"
"0363100012084361","4","0","0"
"0363100012084362","1","0","0"
"0363100012084363","3","1","1"
"0363100012084364","1","1","0"
"0363100012084365","1","0","0"
"0363100012084366","4","1","0"
"0363100012084367","1","0","0"
"0363100012084368","4","0","0"
"0363100012084369","1","0","0"
"0363100012084370","1","0","0"
"0363100012084371","1","0","0"
"0363100012084372","1","0","0"
"0363100012084373","2","0","0"
"0363100012084374","1","0","0"
"0363100012084375","1","0","0"
"0363100012084376","1","0","0"
"0363100012084377","2","0","0"
"0363100012084378","3","0","0"
"0363100012084379","0","1","0"
"0363100012084380","1","0","0"
"0363100012084381","0","1","0"
"0363100012084383","5","0","0"
"0363100012084384","5","0","0"
"0363100012084385","1","0","0"
"0363100012084386","1","0","0"
"0363100012084387","0","1","0"
"0363100012084388","1","0","0"
"0363100012084389","0","1",NULL
"0363100012084390","1","0","0"
"0363100012084391","1","0","0"
"0363100012084392","1","0","0"
"0363100012084393","1","0","0"
"0363100012084394","0","1","0"
"0363100012084395","3","0","0"
"0363100012084396","5","0","0"
"0363100012084397","0","1",NULL
"0363100012084399","1","0","0"
"0363100012084400","1","0","0"
"0363100012084401","4","0","0"
"0363100012084402","1","0","0"
"0363100012084403","0","1","0"
"0363100012084404","1","0","0"
"0363100012084405","4","0","0"
"0363100012084406","1","0","0"
"0363100012084407","1","0","0"
"0363100012084408","1","0","0"
"0363100012084409","0","1","0"
"0363100012084410","1","0","0"
"0363100012084411","2","0","0"
"0363100012084412","3","0","1"
"0363100012084413","1","0","0"
"0363100012084415","1","0","0"
"0363100012084416","1","0","0"
"0363100012084417","8","0","0"
"0363100012084418","0","1","0"
"0363100012084419","0","1","0"
"0363100012084420","2","0","0"
"0363100012084421","1","0","0"
"0363100012084422","1","0","0"
"0363100012084423","1","0","0"
"0363100012084424","0","1",NULL
"0363100012084425","4","0","0"
"0363100012084426","6","2","0"
"0363100012084427","1","0","0"
"0363100012084428","1","0","0"
"0363100012084429","4","0","0"
"0363100012084430","1","0","0"
"0363100012084431","4","0","0"
"0363100012084432","1","0","0"
"0363100012084433","1","0","0"
"0363100012084434","1","0","0"
"0363100012084435","0","1","0"
"0363100012084436","1","0","0"
"0363100012084437","1","0","0"
"0363100012084438","1","0","0"
"0363100012084439","1","0","0"
"0363100012084440","4","0","0"
"0363100012084441","1","0","0"
"0363100012084442","1","0","0"
"0363100012084443","2","0","0"
"0363100012084444","1","0","0"
"0363100012084445","1","0",NULL
"0363100012084446","3","0","0"
"0363100012084447","1","0","0"
"0363100012084448","2","0","0"
"0363100012084449","5","0","3"
"0363100012084450","4","0","0"
"0363100012084451","2","0","0"
"0363100012084452","1","0","0"
"0363100012084453","1","0","0"
"0363100012084454","4","0","0"
"0363100012084455","1","0","3"
"0363100012084456","4","0","0"
"0363100012084457","10","0","0"
"0363100012084458","1","0","0"
"0363100012084459","8","0","1"
"0363100012084460","3","0","0"
"0363100012084461","0","1",NULL
"0363100012084462","1","0","0"
"0363100012084463","1","1","0"
"0363100012084464","1","0","0"
"0363100012084465","1","0","0"
"0363100012084466","1","0","0"
"0363100012084467","14","0","0"
"0363100012084468","5","0","0"
"0363100012084469","1","0","0"
"0363100012084470","2","0","0"
"0363100012084471","3","1","1"
"0363100012084473","8","0","0"
"0363100012084474","1","0","0"
"0363100012084475","6","2","1"
"0363100012084476","4","0","0"
"0363100012084477","1","3","0"
"0363100012084478","2","0","0"
"0363100012084479","1","0","0"
"0363100012084480","1","0","0"
"0363100012084481","1","0","0"
"0363100012084482","1","0","0"
"0363100012084483","1","0","0"
"0363100012084484","0","1",NULL
"0363100012084485","1","0","0"
"0363100012084486","1","0","0"
"0363100012084487","1","0","0"
"0363100012084488","2","1","0"
"0363100012084489","3","1","1"
"0363100012084490","1","0","0"
"0363100012084491","7","0","0"
"0363100012084493","3","0","0"
"0363100012084494","1","0","0"
"0363100012084495","1","0","0"
"0363100012084496","1","0","0"
"0363100012084497","1","0","0"
"0363100012084498","1","0","0"
"0363100012084499","6","1","0"
"0363100012084500","1","0","0"
"0363100012084501","4","0","0"
"0363100012084502","0","1","0"
"0363100012084503","1","0","0"
"0363100012084504","0","1","0"
"0363100012084505","1","0","0"
"0363100012084506","1","0","0"
"0363100012084507","5","0","0"
"0363100012084508","1","0","0"
"0363100012084509","1","0","0"
"0363100012084510","4","0","0"
"0363100012084511","9","1","1"
"0363100012084512","16","1","0"
"0363100012084513","3","0","0"
"0363100012084514","0","1","0"
"0363100012084515","4","0","0"
"0363100012084516","1","0","0"
"0363100012084517","1","0","0"
"0363100012084518","7","0","0"
"0363100012084519","1","0","0"
"0363100012084520","1","0","0"
"0363100012084521","1","0","0"
"0363100012084522","1","0","0"
"0363100012084523","1","1","0"
"0363100012084524","3","0","0"
"0363100012084525","1","0","0"
"0363100012084526","1","0","0"
"0363100012084527","0","1",NULL
"0363100012084528","4","0","0"
"0363100012084529","1","0","0"
"0363100012084530","1","0","0"
"0363100012084531","1","0","0"
"0363100012084532","7","0","0"
"0363100012084533","3","0","0"
"0363100012084534","1","0","0"
"0363100012084535","1","0","0"
"0363100012084536","4","0","0"
"0363100012084537","1","0","0"
"0363100012084538","1","0","0"
"0363100012084539","1","0","0"
"0363100012084540","0","1",NULL
"0363100012084541","4","0","0"
"0363100012084542","1","0","0"
"0363100012084543","1","0","0"
"0363100012084544","1","0","0"
"0363100012084545","1","0","0"
"0363100012084546","1","0","0"
"0363100012084547","1","0","0"
"0363100012084548","10","1","0"
"0363100012084549","1","0","0"
"0363100012084550","1","0","0"
"0363100012084551","9","0","0"
"0363100012084552","1","0","0"
"0363100012084553","1","0","0"
"0363100012084554","1","0","0"
"0363100012084555","1","0","0"
"0363100012084556","3","0","0"
"0363100012084557","1","0","0"
"0363100012084558","1","0","0"
"0363100012084559","4","0","0"
"0363100012084560","1","0","0"
"0363100012084561","1","0","0"
"0363100012084562","1","0","0"
"0363100012084563","1","0","0"
"0363100012084564","1","0","0"
"0363100012084565","1","0","0"
"0363100012084566","1","0","0"
"0363100012084567","1","0","0"
"0363100012084568","1","0","0"
"0363100012084569","1","0","0"
"0363100012084570","1","0","0"
"0363100012084571","4","0","0"
"0363100012084572","1","0","0"
"0363100012084573","0","1",NULL
"0363100012084574","1","0","0"
"0363100012084575","2","0","0"
"0363100012084576","2","0","0"
"0363100012084577","0","1",NULL
"0363100012084578","1","0","0"
"0363100012084579","0","1","0"
"0363100012084580","1","0","0"
"0363100012084581","0","1","0"
"0363100012084582","1","0","0"
"0363100012084583","1","1","0"
"0363100012084584","0","1",NULL
"0363100012084586","8","0","0"
"0363100012084587","3","1","1"
"0363100012084588","4","0","0"
"0363100012084589","1","0","0"
"0363100012084590","1","0","0"
"0363100012084591","1","0","0"
"0363100012084592","1","0",NULL
"0363100012084593","0","1",NULL
"0363100012084594","0","1",NULL
"0363100012084595","1","0","0"
"0363100012084596","1","0","0"
"0363100012084597","4","0","0"
"0363100012084598","2","0","0"
"0363100012084599","1","0","0"
"0363100012084600","10","1","0"
"0363100012084601","1","0","0"
"0363100012084602","1","0","0"
"0363100012084603","11","0","0"
"0363100012084604","1","0","0"
"0363100012084605","1","0","0"
"0363100012084606","2","0","0"
"0363100012084607","1","0","0"
"0363100012084608","4","0","0"
"0363100012084609","1","0","0"
"0363100012084610","0","1","0"
"0363100012084611","1","0","0"
"0363100012084612","1","0","0"
"0363100012084613","1","0","0"
"0363100012084614","0","1",NULL
"0363100012084615","1","0","0"
"0363100012084616","1","0","0"
"0363100012084617","1","0","0"
"0363100012084618","3","0","0"
"0363100012084619","1","0","0"
"0363100012084620","1","0","0"
"0363100012084621","4","0","0"
"0363100012084622","5","0","0"
"0363100012084623","4","1","0"
"0363100012084624","2","0","0"
"0363100012084625","6","0","0"
"0363100012084626","0","1","0"
"0363100012084627","1","0","0"
"0363100012084628","1","0","0"
"0363100012084629","1","0","0"
"0363100012084630","1","0","0"
"0363100012084631","0","1","0"
"0363100012084632","1","0","0"
"0363100012084633","4","0","0"
"0363100012084634","1","0","0"
"0363100012084635","4","0","0"
"0363100012084636","6","1","1"
"0363100012084637","1","0","0"
"0363100012084638","2","0","0"
"0363100012084639","3","0","0"
"0363100012084640","1","0","0"
"0363100012084641","1","0","0"
"0363100012084642","4","0","0"
"0363100012084643","1","0","0"
"0363100012084644","1","0","0"
"0363100012084645","1","0","0"
"0363100012084646","1","0","0"
"0363100012084647","2","0","0"
"0363100012084648","4","0","0"
"0363100012084649","1","0","0"
"0363100012084650","0","1","0"
"0363100012084651","1","0","0"
"0363100012084652","4","0","0"
"0363100012084653","0","1",NULL
"0363100012084654","1","0","0"
"0363100012084655","2","0","0"
"0363100012084656","2","0","0"
"0363100012084657","3","1","0"
"0363100012084658","1","1","1"
"0363100012084659","5","0","0"
"0363100012084660","1","0","0"
"0363100012084661","1","0","0"
"0363100012084662","1","0","0"
"0363100012084663","1","0","0"
"0363100012084664","2","0","0"
"0363100012084665","1","0","0"
"0363100012084666","8","2","0"
"0363100012084667","1","0","0"
"0363100012084668","1","0","0"
"0363100012084669","8","0","0"
"0363100012084670","4","0","0"
"0363100012084671","1","0","0"
"0363100012084672","0","1","0"
"0363100012084673","1","0","0"
"0363100012084674","0","1",NULL
"0363100012084675","7","0","0"
"0363100012084676","1","0","0"
"0363100012084677","1","0","0"
"0363100012084678","0","1","0"
"0363100012084679","1","0","0"
"0363100012084680","3","0","0"
"0363100012084681","3","0","0"
"0363100012084682","57","26","0"
"0363100012084683","0","1",NULL
"0363100012084684","1","0","0"
"0363100012084685","1","0","0"
"0363100012084686","4","0","0"
"0363100012084687","1","0","0"
"0363100012084688","1","0","0"
"0363100012084689","7","0","0"
"0363100012084690","3","0","0"
"0363100012084691","8","0","0"
"0363100012084692","4","0","0"
"0363100012084693","1","0","0"
"0363100012084694","1","0","0"
"0363100012084696","3","0","0"
"0363100012084697","1","0","0"
"0363100012084698","4","0","0"
"0363100012084699","1","0","0"
"0363100012084700","1","0","0"
"0363100012084701","1","0","0"
"0363100012084702","6","0","0"
"0363100012084703","1","0","0"
"0363100012084704","2","0","0"
"0363100012084705","1","0","0"
"0363100012084706","1","0","0"
"0363100012084707","4","0","0"
"0363100012084708","3","0","0"
"0363100012084709","1","0","0"
"0363100012084711","4","0","0"
"0363100012084713","1","0","0"
"0363100012084714","3","0","0"
"0363100012084715","7","0","0"
"0363100012084716","11","0","0"
"0363100012084717","1","0","0"
"0363100012084718","1","0","0"
"0363100012084719","2","0","0"
"0363100012084720","1","0","0"
"0363100012084721","4","0","0"
"0363100012084722","1","0","0"
"0363100012084723","1","0","0"
"0363100012084724","1","0","0"
"0363100012084725","1","0","0"
"0363100012084726","4","0","0"
"0363100012084727","1","0","0"
"0363100012084728","5","0","0"
"0363100012084729","4","0","0"
"0363100012084730","1","0","0"
"0363100012084731","1","0","0"
"0363100012084732","2","0","0"
"0363100012084733","1","0","0"
"0363100012084734","1","0","0"
"0363100012084735","2","0","0"
"0363100012084736","1","0","0"
"0363100012084737","16","0","0"
"0363100012084738","1","0","0"
"0363100012084739","1","0","0"
"0363100012084740","1","0","0"
"0363100012084741","4","0","0"
"0363100012084743","1","0","0"
"0363100012084744","1","0","0"
"0363100012084745|0363100012112477","1","0","0"
"0363100012084746","1","0","0"
"0363100012084747","1","0","0"
