,0,1,2
0,177.99436748024678,129.55702576842512,307.5513932486719
1,178.15677445509996,129.42696054849236,307.5837350035923
2,179.11578532403416,130.09355868771007,309.20934401174424
3,180.11728178836356,131.25427021774075,311.3715520061043
4,177.84314135844332,129.23837445077694,307.08151580922026
5,179.3643865561407,130.84446273564225,310.20884929178294
6,178.38040781969408,130.07758765648595,308.45799547618003
7,179.06569787263427,130.51269265916508,309.57839053179936
8,178.30934741986945,129.7074316138146,308.0167790336841
9,176.86504327880243,128.1158964976375,304.9809397764399
10,178.63685960945895,130.01929355545812,308.6561531649171
11,178.41043624389582,129.62269392079494,308.03313016469076
12,176.5014359624611,128.2635604997808,304.7649964622419
13,179.39272051717677,130.77553806809877,310.16825858527557
14,178.64405889992094,129.8977209849481,308.541779884869
15,177.79398268160529,129.3191541283063,307.11313680991157
16,180.13322180849164,131.48807832334745,311.6213001318391
17,179.03643025929048,130.56202862292366,309.5984588822141
18,174.966084506548,126.7829140484193,301.7489985549673
19,181.00048911593927,132.21723266111354,313.2177217770528
20,178.1620256304556,129.53957103609525,307.7015966665508
21,179.68674609904053,131.28829012129182,310.97503622033236
22,177.61702868841778,128.9935210677578,306.6105497561756
23,178.15400125917634,129.52908517706658,307.6830864362429
24,178.79467463359128,130.1521379365775,308.9468125701688
25,178.87550443175755,130.24369498270738,309.1191994144649
26,178.10265060660163,129.47438519168006,307.5770357982817
27,180.8520363955347,131.95126018315554,312.80329657869027
28,176.93945891585906,128.57306893662624,305.5125278524853
29,179.59382399513086,131.08590700472502,310.6797309998559
30,176.7071128859554,128.12325106921915,304.83036395517456
31,179.9279557287342,131.20431321058012,311.1322689393143
32,178.6643665362829,130.21938552778994,308.88375206407284
33,180.17293536948839,131.56380388718398,311.73673925667237
34,179.94625982132658,131.1228286180525,311.0690884393791
35,179.7717843949968,131.1592343075649,310.9310187025617
36,180.53239463835754,131.93633290954259,312.46872754790013
37,180.8576207060171,132.30075430853913,313.1583750145562
38,178.76249275446423,130.1643033854547,308.9267961399189
39,179.93449550455315,131.36286419698962,311.29735970154275
40,177.6238996119859,128.94816111841783,306.57206073040373
41,180.70548291103654,131.9108057138682,312.61628862490477
42,179.73537670702328,130.72606296458665,310.4614396716099
43,180.01317039400178,131.62217524477566,311.63534563877744
44,178.4818143513067,130.00731741438938,308.4891317656961
45,177.43611654049812,128.88052285547275,306.31663939597087
46,178.34748793428628,129.8652575381168,308.21274547240307
47,179.1587632456715,130.4635057430951,309.6222689887666
48,178.28865849107765,129.4272000097423,307.71585850082
49,178.08395405195327,129.67537736372935,307.7593314156826
50,179.64987542084305,130.98024138048615,310.6301168013292
51,181.4440320041613,132.37577859126114,313.81981059542244
52,178.12297720434037,129.43334055726044,307.5563177616008
53,178.23979745585262,129.70357017390032,307.94336762975297
54,177.9258031647507,129.71894616396315,307.64474932871383
55,179.4010689033879,130.92430951337133,310.32537841675924
