cluster_id;cluster_subcluster_indicatie;cluster_geometrie;cluster_wgs84_lat;cluster_wgs84_lon;cluster_datum_opvoer_cluster;cluster_datum_wijziging;cluster_datum_ontstaan_cluster;cluster_datum_einde_cluster;cluster_status;cluster_fractie_volume;cluster_fractie_aantal;gbd_buurt_identificatie;gbd_buurt_volgnummer;gbd_buurt_naam;gbd_buurt_code;gbd_buurt_begingeldigheid;gbd_buurt_cbs_code;gbd_wijk_identificatie;gbd_wijk_volgnummer;gbd_wijk_naam;gbd_wijk_code;gbd_wijk_begingeldigheid;gbd_wijk_cbs_code;gbd_stadsdeel_identificatie;gbd_stadsdeel_volgnummer;gbd_stadsdeel_naam;gbd_stadsdeel_code;gbd_stadsdeel_begingeldigheid;gbd_ggwgebied_identificatie;gbd_ggwgebied_volgnummer;gbd_ggwgebied_naam;gbd_ggwgebied_code;gbd_ggwgebied_begingeldigheid;woonplaats_naam;woonplaats_begingeldigheid;bag_openbareruimte_identificatie;bag_openbareruimte_volgnummer;bag_openbareruimte_naam;bag_openbareruimte_type;bag_openbareruimte_begingeldigheid;bag_adres_identificatie_verblijfsobject;bag_adres_identificatie_nummeraanduiding;bag_adres_identificatie_openbare_ruimte;bag_adres_identificatie_woonplaats;bag_adres_volgnummer_verblijfsobject;bag_adres_volgnummer_nummeraanduiding;bag_adres_volgnummer_openbare_ruimte;bag_adres_volgnummer_woonplaats;bag_adres_openbare_ruimte_naam;bag_adres_nummeraanduiding_huisnummer;bag_adres_nummeraanduiding_huisletter;bag_adres_nummeraanduiding_huisnummertoevoeging;bag_adres_nummeraanduiding_postcode;bag_adres_woonplaatsnaam;bag_adres_begingeldigheid
119584.819|486257.265;false;POINT(119584.818536153 486257.264780996);52.36306161;4.86727028;2020-01-28 15:15:20.500395;2016-10-13 00:00:00;2016-10-13;;1;"{""Papier:15 m3"",""Plastic:5 m3""}";{Papier:3,Plastic:1};3630000000569;2;WG-terrein;E20b;2010-05-01;BU03632001;3630012052051;2;Helmersbuurt;E20;2010-05-01;WK036320;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000003855;8;Nicolaas Beetsstraat;Weg;2014-01-10;0363010000750392;0363200000210951;0363300000003855;3594;9;3;8;3;Nicolaas Beetsstraat;116;;2;1054XT;Amsterdam;2013-02-09
119585.362|484672.248;false;POINT(119585.361697609 484672.247858002);52.34881663;4.86744512;2020-01-28 15:15:20.500395;2015-12-31 00:00:00;2015-12-31;;1;"{""Rest:5 m3"",""Glas:3 m3"",""Papier:5 m3"",""Plastic:10 m3""}";{Rest:1,Glas:1,Papier:1,Plastic:2};3630000000825;2;Minervabuurt Noord;K49d;2010-05-01;BU03634903;3630012052057;2;Apollobuurt;K49;2010-05-01;WK036349;3630011872038;3;Zuid;K;2015-01-01;3630950000009;2;Oud-Zuid;DX10;2019-10-03;Amsterdam;2014-01-10;0363300000004712;8;Olympiaplein;Weg;2014-01-10;0363010000645119;0363200000107401;0363300000003705;3594;10;3;7;3;Gerrit van der Veenstraat;134;;2;1077ES;Amsterdam;2013-02-09
119585.753|482303.077;false;POINT(119585.752750695 482303.077218136);52.32752415;4.86770005;2020-01-28 15:15:20.500395;2001-01-01 00:00:00;2001-01-01;;1;"{""Rest:8 m3""}";{Rest:2};3630000000848;2;Buitenveldert Zuidwest;K90d;2010-05-01;BU03639003;3630012052010;4;Buitenveldert-West;K90;2015-01-01;WK036390;3630011872038;3;Zuid;K;2015-01-01;3630950000010;2;Buitenveldert, Zuidas;DX11;2019-10-03;Amsterdam;2014-01-10;0363300000004611;7;Radboud;Weg;2014-01-10;0363010012139180;0363200012141144;0363300000003045;3594;4;3;7;3;Buitenveldertselaan;60;;;1081AB;Amsterdam;2018-09-28
119585.965|486856.106;false;POINT(119585.934593266 486856.013896051);52.36844280;4.86722360;2020-01-28 15:15:20.500395;2020-04-30 16:11:47.042;2016-12-31;;1;"{""Rest:10 m3"",""Papier:5 m3"",""Plastic:5 m3""}";{Rest:2,Papier:1,Plastic:1};3630000000563;2;Bellamybuurt Noord;E18a;2010-05-01;BU03631800;3630012052049;2;Kinkerbuurt;E18;2010-05-01;WK036318;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000002658;8;Agatha Dekenstraat;Weg;2014-01-10;0363010000579921;0363200000042462;0363300000002505;3594;6;3;8;3;Bellamyplein;16;;1;1053AS;Amsterdam;2010-09-09
119588.810|487029.261;false;POINT(119588.809922488 487029.260600945);52.37000000;4.86724757;2020-01-28 15:15:20.500395;2016-12-31 00:00:00;2016-12-31;;1;"{""Rest:8 m3"",""Papier:10 m3"",""Plastic:10 m3""}";{Rest:2,Papier:2,Plastic:2};3630000000563;2;Bellamybuurt Noord;E18a;2010-05-01;BU03631800;3630012052049;2;Kinkerbuurt;E18;2010-05-01;WK036318;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000002825;8;Elisabeth Wolffstraat;Weg;2014-01-10;0363010000986053;0363200000468741;0363300000002825;3594;9;3;8;3;Elisabeth Wolffstraat;31;A;1;1053TR;Amsterdam;2012-08-09
119592.059|486511.477;false;POINT(119592.059232112 486511.477404795);52.36534676;4.86734981;2020-01-28 15:15:20.500395;2017-06-01 00:00:00;2017-06-01;;1;"{""Rest:20 m3"",""Glas:15 m3"",""Plastic:10 m3""}";{Rest:4,Glas:3,Plastic:2};3630000000566;2;Borgerbuurt;E19b;2010-05-01;BU03631901;3630012052047;2;Van Lennepbuurt;E19;2010-05-01;WK036319;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000002985;8;Borgerstraat;Weg;2014-01-10;0363010000936938;0363200000421226;0363300000002985;3594;6;3;8;3;Borgerstraat;52;C;;1053PV;Amsterdam;2010-09-09
119593.390|487195.507;false;POINT(119593.389756072 487195.507466118);52.37149440;4.86729730;2020-01-28 15:15:20.500395;2016-12-31 00:00:00;2016-12-31;;1;"{""Rest:10 m3""}";{Rest:2};3630000000563;2;Bellamybuurt Noord;E18a;2010-05-01;BU03631800;3630012052049;2;Kinkerbuurt;E18;2010-05-01;WK036318;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000002935;8;Bilderdijkkade;Weg;2014-01-10;0363010000585220;0363200000047615;0363300000002935;3594;9;3;8;3;Bilderdijkkade;2;;1;1052RT;Amsterdam;2013-02-04
119595.853|483952.719;false;POINT(119595.853125921 483952.719427745);52.34235068;4.86767478;2020-01-28 15:15:20.500395;2001-01-01 00:00:00;2001-01-01;;1;"{""Rest:15 m3"",""Glas:3 m3"",""Papier:5 m3""}";{Rest:3,Glas:1,Papier:1};3630000000842;3;Prinses Irenebuurt;K59a;2015-11-01;BU03635900;3630012052068;4;Prinses Irenebuurt e.o.;K59;2015-11-01;WK036359;3630011872038;3;Zuid;K;2015-01-01;3630950000010;2;Buitenveldert, Zuidas;DX11;2019-10-03;Amsterdam;2014-01-10;0363300000003265;7;Dina Appeldoornstraat;Weg;2014-01-10;0363010000623597;0363200000085850;0363300000003265;3594;9;3;7;3;Dina Appeldoornstraat;1;;1;1076AW;Amsterdam;2013-02-09
119597.026|482668.892;false;POINT(119597.026425314 482668.89165983);52.33081258;4.86782698;2020-01-28 15:15:20.500395;2001-01-01 00:00:00;2001-01-01;;1;"{""Rest:11 m3"",""Plastic:4 m3""}";{Rest:3,Plastic:1};3630023753999;1;Buitenveldert West Midden;K90i;2015-01-01;BU03639008;3630012052010;4;Buitenveldert-West;K90;2015-01-01;WK036390;3630011872038;3;Zuid;K;2015-01-01;3630950000010;2;Buitenveldert, Zuidas;DX11;2019-10-03;Amsterdam;2014-01-10;0363300000003761;7;Groot-Essenburg;Weg;2014-01-10;0363010000652720;0363200000114910;0363300000003761;3594;7;3;7;3;Groot-Essenburg;1;;;1081HE;Amsterdam;2010-09-09
119598.866|486740.473;false;POINT(119598.866243454 486740.472658544);52.36740524;4.86742563;2020-01-28 15:15:20.500395;2016-12-31 00:00:00;2016-12-31;;1;"{""Rest:10 m3"",""Glas:10 m3"",""Papier:10 m3""}";{Rest:2,Glas:2,Papier:2};3630000000564;2;Bellamybuurt Zuid;E18b;2010-05-01;BU03631801;3630012052049;2;Kinkerbuurt;E18;2010-05-01;WK036318;3630011872036;3;West;E;2015-01-01;3630950000004;2;Oud-West, De Baarsjes;DX05;2019-10-03;Amsterdam;2014-01-10;0363300000002506;8;Bellamystraat;Weg;2014-01-10;0363010000579981;0363200000042524;0363300000002506;3594;6;3;8;3;Bellamystraat;4;;1;1053BL;Amsterdam;2010-09-09
