WKT,id,id_number,serial_number,active,operational_date,placing_date,owner,waste_type,waste_name,container_type_id,stadsdeel,buurt_code,text
"POINT (4.93980422616005 52.3968947008462)","90273","10000237",BAAMS00106,"1",2015/01/01 01:00:00+01,2015/01/01 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","7",Textiel,"3287",N,N69j,"Buikslotermeerplein 344, Amsterdam"
"POINT (4.82803858816624 52.3560851581318)","32630",PAF64042,"661782","1",2015/02/01 01:00:00+01,2015/02/01 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"1994",F,F89b,"Jan Puntstraat 8, Amsterdam/Pieter Calandlaan 87 / Johan Huizingalaan"
"POINT (4.8584305 52.3245168)","48098",REK01109,BAZ000639,"1",2001/01/01 01:00:00+01,2001/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3310",K,K90d,"Bolestein 622, Amsterdam"
"POINT (4.88726243376732 52.4188073020326)","75671",PAN00023,HBD2.017.1910,"1",2017/10/23 02:00:00+02,2017/10/19 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","6",Papier,"3322",N,N66f,"Petmolen, Amsterdam"
"POINT (4.9343384429676 52.3702827656589)","85486",PAM60495,HBD2.016.3201,"1",2017/06/01 02:00:00+02,2017/06/01 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","6",Papier,"3590",M,M33g,"Panamalaan 36, Amsterdam"
"POINT (4.832318 52.3544175)","29183",REF60471,"662237","1",2016/01/27 01:00:00+01,2014/07/01 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"1976",F,F89b,"Jacques Veltmanstraat 32, Amsterdam"
"POINT (4.8603772 52.3614892)","57795",GLE00087,BAW02116,"1",2016/11/29 01:00:00+01,2016/11/29 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","2",Glas,"3323",E,E21a,"Kanaalstraat 145, Amsterdam"
"POINT (4.91748757660389 52.4034854155068)","120103",REN00,Volgt,"2",2020/12/31 01:00:00+01,2020/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3586",N,N70b,"Abebe Bikilalaan 10, Amsterdam"
"POINT (4.9005445 52.4081768)","53691",PAN1089,BAN000992,"1",2013/06/21 02:00:00+02,2013/06/21 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","6",Papier,"3319",N,N65d,"Moestuinlaan 3, Amsterdam"
"POINT (4.93339218198571 52.3602525903273)","85481",REM15398,HBD2.016.3137,"1",2014/01/01 01:00:00+01,2014/01/01 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3588",M,M31c,"Celebesstraat 80, Amsterdam"
"POINT (4.9450629763237 52.3715286500721)","85821",PAM60103,HBD2.016.3210,"1",2017/02/23 01:00:00+01,2017/02/23 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","6",Papier,"3590",M,M33f,"Feike de Boerlaan 314, Amsterdam"
"POINT (4.92661609780043 52.338487857913)","76841",RET20043,BAZO00192,"1",2016/06/21 02:00:00+02,2016/06/21 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"441",M,M58b,"H.J.E. Wenckebachweg 81, Amsterdam"
"POINT (4.93527442238701 52.3779114568873)","91291",GFM00037,211594-01,"1",2016/10/03 02:00:00+02,2016/10/03 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","5",GFT,"4371",M,M33c,"Sumatrakade 53, Amsterdam"
"POINT (4.9062615 52.3466143)","49776",REK01035,BAZ001478,"1",2001/01/01 01:00:00+01,2001/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3310",K,K53b,"Vrijheidslaan 78, Amsterdam"
"POINT (4.89684194326401 52.3491219981396)","62643",REK00321,BAZ002228,"1",2017/03/13 01:00:00+01,2017/03/13 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3586",K,K26c,"Van Helt Stocadestraat 31, Amsterdam"
"POINT (4.97898917643852 52.3162121278667)","108492",PAT50164,HBD2.017.0311,"1",2017/04/03 02:00:00+02,2017/04/03 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","25",Plastic,"3324",T,T94f,"Karspeldreef 1443, Amsterdam"
"POINT (4.8361139 52.3479596)","29379",PAF60771,"662893","1",2014/02/26 01:00:00+01,2014/07/01 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"1978",F,F87d,"Maassluisstraat 600, Amsterdam"
"POINT (4.80511341243982 52.3757557567471)","122082",GLF,HBD2.0,"2",,2020/04/30 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","2",Glas,"3581",F,F78a,"Gillis Steltmanstraat 39, Amsterdam"
"POINT (4.88190308692663 52.389897499237)","12206",RE1187,BAW00670,"1",2015/02/24 01:00:00+01,2015/02/24 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"335",E,E13b,"Noordkaapstraat 4, 1013 CE Amsterdam, Nederland"
"POINT (4.8266662 52.3816898)","75644",GLF33036,HBD2.017.2404,"1",2017/10/19 02:00:00+02,2017/10/19 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","2",Glas,"3630",F,F76a,"Van Gilsestraat 10, Amsterdam"
"POINT (4.83221746981144 52.3555347312074)","46812","1176",BANWS02683,"1",2016/10/14 02:00:00+02,2016/10/14 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","7",Textiel,"3287",F,F89b,"Jacques Veltmanstraat 8, Amsterdam"
"POINT (4.89061787724495 52.4049503850719)","70726",REN00025,"16001040","1",2017/06/05 02:00:00+02,2017/05/22 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3321",N,N71f,"mt. Lincolnweg 14, Amsterdam"
"POINT (4.90138292312622 52.3507587526798)","108726",REK00072,talma,"1",2018/10/01 02:00:00+02,2018/10/01 02:00:00+02,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3321",K,K26b,"Talmastraat 18, Amsterdam"
"POINT (4.87664960324764 52.3831768114703)","53875",PL754,BAN001084,"1",2016/01/01 01:00:00+01,2016/01/01 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","25",Plastic,"3641",E,E14d,"De Wittenkade 90, Amsterdam"
"POINT (4.91315508260641 52.3575573662992)","9722",REM16724,HBD2.014.2567,"1",2014/12/01 01:00:00+01,2014/12/01 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"341",M,M28a,"Blasiusstraat 140, Amsterdam"
"POINT (4.96041297912598 52.3910588321851)","52941",REN101557,BAN000617,"1",2004/12/08 01:00:00+01,2004/12/08 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3317",N,N68e,"Hilversumstr t/o 151, Amsterdam"
"POINT (4.8100865 52.3524595)","27754",PAF51596,"555406","1",2011/11/23 01:00:00+01,2011/11/23 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"215",F,F81e,"Louis Davidsstraat 46, Amsterdam"
"POINT (4.9576712664566 52.307822946577)","77592",GLT30022,HBD2.017.0362,"1",2017/05/24 02:00:00+02,2017/05/24 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","2",Glas,"3323",T,T93h,"Huigenbos 506, Amsterdam"
"POINT (4.87920641899109 52.3951966416942)","110623",REE00175,"00","1",2018/11/09 01:00:00+01,2018/11/09 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3328",E,E12a,"Houthavenkade 75, Amsterdam"
"POINT (4.98448105528269 52.2933294406117)","112694",GLT30142,HBD2.017.4553,"1",2019/04/04 02:00:00+02,2019/04/04 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","2",Glas,"3323",T,T97b,"Stellendamstraat 6, Amsterdam"
"POINT (4.92538467049599 52.346182159443)","8864",GLM70273,"229395","1",2012/03/29 02:00:00+02,2012/03/29 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","2",Glas,"333",M,M55c,"Schagerlaan 76, Amsterdam"
"POINT (4.83165688812733 52.3756094106688)","105597",REF31698,HBD2.018.0675,"1",2018/07/18 02:00:00+02,2018/07/18 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"3574",F,F77a,"Aart van der Leeuwstraat 17, Amsterdam"
"POINT (4.79319468140602 52.3638903258103)","28434",PAF32017,BANWS00708/663069,"1",2014/06/21 02:00:00+02,2014/06/21 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"1994",F,F82a,"Ookmeerweg 238, Amsterdam"
"POINT (4.8134245723486 52.3452494151332)","103804",PAF32198,HBD2.018.0679,"1",2018/05/16 02:00:00+02,2018/05/16 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"3576",F,F88g,"Laan van Vlaanderen 410, Amsterdam"
"POINT (4.87664289772511 52.3851366540404)","11918",RE1038,BAW00526,"1",2009/09/01 02:00:00+02,2009/09/01 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"335",E,E14c,"Van der Duijnstraat 26, Amsterdam"
"POINT (4.93657046696171 52.365142560907)","113905",PAM60108,HBD2.019.0976,"1",2019/08/28 02:00:00+02,2019/08/28 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","6",Papier,"3590",M,M31a,"Lombokstraat 35, Amsterdam"
"POINT (4.93021057917986 52.3478687231116)","91360",REM16524,HBD 2 . 016.0739,"1",2017/03/01 01:00:00+01,2017/03/01 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3320",M,M55h,"Hugo de Vrieslaan 127, Amsterdam"
"POINT (4.91871725766487 52.3583176478398)","9764",REM16142,BAO01284,"1",2012/03/28 02:00:00+02,2012/03/28 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"341",M,M28c,"Oosterpark 23, Amsterdam"
"POINT (4.9279045499793 52.3754032290316)","81662",REM16830,HBD 2.017.3622,"1",2017/11/07 01:00:00+01,2017/11/07 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3588",M,M33a,"Piet Heinkade 229, Amsterdam"
"POINT (4.88216301795546 52.3537034475408)","58147",REK00220,BAZ001721,"1",2013/12/05 01:00:00+01,2013/12/05 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3586",K,K47j,"Ruysdaelstraat 57, Amsterdam"
"POINT (4.93449276080355 52.363098964779)","114411",REM16544,HBD2.019.0893,"1",2019/06/17 02:00:00+02,2019/06/17 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3588",M,M31b,"Balistraat 52, Amsterdam"
"POINT (4.8604054 52.3427878)","47750",PAK02404,HBD 2.018.4173,"1",2019/03/28 01:00:00+01,2019/03/28 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","6",Papier,"3322",K,K48f,"Stadionkade 126, Amsterdam"
"POINT (4.8937758 52.4173318)","75238",GLN00015,HBD2.017.1926,"1",2017/10/13 02:00:00+02,2017/10/10 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","2",Glas,"3323",N,N66f,"Stellingweg 21 t/m 343, Amsterdam"
"POINT (4.8094425 52.35171)","27728",REF62180,"555933","1",2011/11/02 01:00:00+01,2011/11/02 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"2331",F,F81e,"Prof. R. Casimirstraat 85, Amsterdam"
"POINT (4.8314413 52.3593272)","64549",REF31115,HBD2.016.2819,"1",2017/02/06 01:00:00+01,2017/02/06 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"3579",F,F85c,"Jacob Geelstraat 73, Amsterdam / Comeniusstraat"
"POINT (4.95456039905548 52.3895275151734)","51995",REN101080,BAN000144,"1",2006/08/02 02:00:00+02,2006/08/02 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3317",N,N68f,"Breekstraat  de schuin t/o nr. 33, Amsterdam"
"POINT (4.8565687 52.3592612)","57837",PA0102,BAW02137,"1",2016/12/13 01:00:00+01,2016/12/13 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","6",Papier,"3322",E,E21a,"Vosmaerstraat 12, Amsterdam"
"POINT (4.9049662 52.3472881)","49802",REK00986,BAZ001491,"1",2001/01/01 01:00:00+01,2001/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3310",K,K53b,"Rijnstraat 41, Amsterdam"
"POINT (4.8124156 52.3767519)","107892",GLF33109,HBD2.017.2416,"1",2018/10/12 02:00:00+02,2018/10/12 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","2",Glas,"3630",F,F77d,"Burgemeester Van Leeuwenlaan 59, Amsterdam"
"POINT (4.88060854375362 52.4177521731165)","53515",PAN139,BAN000904,"1",1970/01/01 01:00:00+01,2008/05/21 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","6",Papier,"3319",N,N65a,"Dierenriem t/o 47/Schorpioenstr, Amsterdam"
"POINT (4.88590121269226 52.3925221683344)","103313",REE00097,"1234","1",2018/05/03 02:00:00+02,2018/05/03 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E12a,"Pontsteiger 318, Amsterdam"
"POINT (4.8042383 52.3428134)","110511",REF35130,HBD2.019.1452,"1",2019/11/19 01:00:00+01,2019/11/19 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"3574",F,F88h,"Knokkestraat 67, Amsterdam"
"POINT (4.91457391528911 52.359940275187)","82236",REM16736,HBD2.015.2804,"1",2016/02/12 01:00:00+01,2016/02/12 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3320",M,M28a,"Tweede Boerhaavestraat 59, Amsterdam"
"POINT (4.9751412682167 52.2963079925632)","112499",GLT30135,HBD2.017.4544,"1",2019/03/26 01:00:00+01,2019/03/26 01:00:00+01,"{""id"": 113, ""name"": ""T Zuidoost""}","2",Glas,"3323",T,T96d,"Reewijkplein 6, Amsterdam"
"POINT (4.93508687010035 52.3637778184725)","114274",REM16521,HBD2.019.0884,"1",2019/06/12 02:00:00+02,2019/06/12 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3588",M,M31a,"Javastraat 89, Amsterdam"
"POINT (4.93925971677527 52.3631576718039)","114438",REM16575,HBD2.019.0850,"1",2019/07/02 02:00:00+02,2019/07/02 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3588",M,M31b,"Balistraat 144, Amsterdam"
"POINT (4.8393815 52.3530002)","107714",GLF33105,HBD2.017.2428,"1",2018/10/01 02:00:00+02,2018/10/01 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","2",Glas,"3630",F,F87a,"Koningin Wilhelminaplein 42, Amsterdam / Fregelaan"
"POINT (4.91958897559471 52.3554473612259)","90407",TEM90026,AKC360024,"1",2015/01/01 01:00:00+01,2015/01/01 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","7",Textiel,"3287",M,M30b,"Maritzstraat 1, Amsterdam"
"POINT (4.8872839 52.3482329)","49706",REK01001,BAZ001443,"1",2001/01/01 01:00:00+01,2001/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3310",K,K52a,"Amstelkade 178, Amsterdam"
"POINT (4.87591534852982 52.3902403903647)","12222",RE1195,BAW00678,"1",2009/01/01 01:00:00+01,2009/01/01 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"335",E,E13e,"Spaarndammerplantsoen 4, Amsterdam"
"POINT (4.9264857172966 52.3648873714731)","16590",REM15771,HBD2.016.2258,"1",2016/10/03 02:00:00+02,2016/10/03 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"332",M,M29a,"Pieter Vlamingstraat 208, Amsterdam"
"POINT (4.9619659781456 52.3910162735844)","53309",GLN1054,BAN000801,"1",2013/08/19 02:00:00+02,2013/08/19 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","2",Glas,"3318",N,N68e,"Markengouw t/o nr. 1, Amsterdam"
"POINT (4.79360774159432 52.3637674849521)","116490",PLB00020,250117-05,"1",2019/06/13 02:00:00+02,2019/06/13 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","25",Plastic,"3641",F,F82a,"Reimerswaalstraat 2, Amsterdam"
"POINT (4.85976040363312 52.3259732110711)","62351",PLK00028,BAMA00151,"1",2015/01/01 01:00:00+01,2015/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3641",K,K90d,"Bolestein 39, Amsterdam"
"POINT (4.8681985 52.3852412)","102209",ASW017,"11111","1",2018/04/11 02:00:00+02,2018/04/11 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"322",E,E15a,"Haarlemmerweg 265, Amsterdam"
"POINT (4.85556274652481 52.3535680456706)","58369",REK00389,BAZ001786,"1",2017/01/12 01:00:00+01,2017/01/12 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3320",K,K45a,"Tweede Schinkelstraat 1, Amsterdam"
"POINT (4.88133240491152 52.41464757568)","113774",PAN00,HBD2.0,"2",2020/12/31 01:00:00+01,2020/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","6",Papier,"3322",N,N65b,"Meteorenweg 273, Amsterdam"
"POINT (4.7841779 52.3478344)","28176",REF72914,"557526","1",2016/01/29 01:00:00+01,2016/01/29 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"2331",F,F84c,"Guldenpromenade 6, Amsterdam"
"POINT (4.8560923 52.3597473)","59345",REE00106,BAW02252,"1",2016/10/01 02:00:00+02,2016/10/01 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3570",E,E43a,"Baarsjesweg 286, Amsterdam"
"POINT (4.95538182556629 52.3204288149214)","122548",RET0014,HBD2.01,"2",2020/12/31 01:00:00+01,2020/12/31 01:00:00+01,"{""id"": 113, ""name"": ""T Zuidoost""}","1",Rest,"3320",T,T93d,"Chico Mendesstraat 42, Amsterdam"
"POINT (4.8635681 52.3505242)","47840",PAK02390,PAK02390,"1",2019/01/24 01:00:00+01,2019/01/24 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","6",Papier,"3322",K,K46b,"Pieter Lastmankade 8, Amsterdam"
"POINT (4.8068366 52.361975)","28464",PAF90726,"665509","1",2014/11/19 01:00:00+01,2014/11/19 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"1994",F,F81b,"Ruimzicht 67, Amsterdam"
"POINT (4.7851127 52.3557215)","30288",REF64075,"663510","1",2015/11/12 01:00:00+01,2015/11/12 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"2085",F,F83a,"Kwelderweg 10, Amsterdam"
"POINT (4.916671 52.3689608)","112206",GLA00008,GLA00008,"2",2020/12/31 01:00:00+01,2020/12/31 01:00:00+01,"{""id"": 112, ""name"": ""A Centrum""}","2",Glas,"3323",A,A09i,"Buiten Kadijken 4, Amsterdam"
"POINT (4.9084824 52.4013101)","52713",REN101439,BAN000503,"1",2013/06/20 02:00:00+02,2013/06/20 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3317",N,N70e,"Buiksloterbreek tussen 52-53, Amsterdam"
"POINT (4.92774970829487 52.3534685213564)","10340",RE9564,BAO01572,"1",2012/03/29 02:00:00+02,2012/03/29 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"350",M,M55d,"Wakkerstraat 41, Amsterdam"
"POINT (4.87655586000983 52.3335791494352)","90131","10101126",BAAMS00035,"1",2015/01/01 01:00:00+01,2015/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","7",Textiel,"3287",K,K90a,"Frieslandstraat 143, Amsterdam"
"POINT (4.7891161 52.3561908)","27814",REF54755,"663975","1",2014/11/02 01:00:00+01,2014/11/02 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"628",F,F83a,"Langswater 419, Amsterdam / Tussenmeer"
"POINT (4.7906475 52.3585811)","28267",GLF33110,"661959","1",2013/11/02 01:00:00+01,2013/11/02 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","2",Glas,"1993",F,F82b,"Botteskerksingel 39, Amsterdam"
"POINT (4.8908638538104 52.4169370604942)","74535",PAN00018,HBD2.017.1924,"1",2017/09/20 02:00:00+02,2017/09/19 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","6",Papier,"3322",N,N66f,"Stellingweg hoek Tjasker, Amsterdam"
"POINT (4.8560965 52.3613143)","59835",REE00251,BAW02500,"1",2015/08/28 02:00:00+02,2015/08/28 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E43a,"Nepveustraat 39, Amsterdam"
"POINT (4.8732269 52.3662375)","78412",RE0774,BAW003107,"1",2017/08/22 02:00:00+02,2017/08/22 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E19a,"Jacob van Lennepstraat 57, Amsterdam"
