WKT,id,id_number,serial_number,active,operational_date,placing_date,owner,waste_type,waste_name,container_type_id,stadsdeel,buurt_code,text
"POINT (4.85564455389977 52.3535881143323)","120999",PLK,PLK,"2",2020/12/01 01:00:00+01,2020/12/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3324",K,K45a,"Tweede Schinkelstraat 1, Amsterdam"
"POINT (4.90547932684422 52.4082536495065)","123903",REN00,HBD2.0,"2",,2020/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3320",N,N65d,Galastraat 41 - 42
"POINT (4.90559801459313 52.4206136404827)","120561",REN00,HBD2.0,"2",,2020/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3321",N,N67b,"Johannes J. Glasweg 3, Amsterdam"
"POINT (4.94056301191108 52.3222350140627)","76471",RET20380,BAZO00007,"1",2016/07/12 02:00:00+02,2016/07/12 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","1",Rest,"3141",T,T93a,"Alexander Dumaslaan 88, Amsterdam"
"POINT (4.90168400108814 52.4107529211185)","123038",WLPLN00,HBD2.0,"0",,,"{""id"": 181, ""name"": ""N Noord""}","25",Plastic,"3568",N,N65d,"Moestuinlaan 30, Amsterdam"
"POINT (4.8595871 52.3595927)","57737",PA0106,BAW02087,"1",2016/11/18 01:00:00+01,2016/11/18 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","6",Papier,"3322",E,E21a,"Rhijnvis Feithstraat 50, Amsterdam"
"POINT (4.8011853 52.3589086)","27813",PLF30206,"664675","1",2014/11/02 01:00:00+01,2014/11/02 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","25",Plastic,"2392",F,F81c,"M. Hanenbergstraat 42, Amsterdam"
"POINT (4.8538487 52.3835631)","14632",RE4288,BAW01883,"1",2006/01/01 01:00:00+01,2006/01/01 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"363",E,E37f,"Gibraltarstraat 10, Amsterdam"
"POINT (4.88387480378151 52.3557186171553)","119719",PLK,PLK,"2",2019/11/30 01:00:00+01,2019/11/30 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3324",K,K47a,"Johannes Vermeerplein 1, Amsterdam"
"POINT (4.9082792 52.3468779)","49774",REK01031,BAZ001477,"1",2001/01/01 01:00:00+01,2001/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3310",K,K53b,"Vrijheidslaan 46, Amsterdam"
"POINT (4.8544348 52.3838818)","104017",RE0836,"3","1",2017/11/13 01:00:00+01,2017/11/13 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37f,"Solebaystraat 61, Amsterdam"
"POINT (4.85573524609208 52.3525151448882)","121003",GLK,GLK,"2",2020/12/01 01:00:00+01,2020/12/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","2",Glas,"3323",K,K45a,"Sluisstraat 1, Amsterdam"
"POINT (4.84938025474548 52.3739649795764)","103656",GLE00052,"22","1",2017/10/19 02:00:00+02,2017/10/19 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","2",Glas,"3323",E,E38c,"Mercatorstraat 125, Amsterdam"
"POINT (4.8499955 52.3555183)","118456",PAK02417,PAK02417,"1",2019/08/05 02:00:00+02,2019/08/05 02:00:00+02,"{""id"": 67, ""name"": ""K Zuid""}","6",Papier,"4649",K,K44b,"Albert Neuhuysstraat 34, Amsterdam"
"POINT (5.00062052159137 52.3534720709264)","123582",GLM028,HBD2.019,"2",2020/12/31 01:00:00+01,2020/12/31 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","2",Glas,"3589",M,M35f,"Lumièrestraat 32, Amsterdam"
"POINT (4.87834542989731 52.4183533543144)","114142",REN00,HBD2.0,"2",2019/12/31 01:00:00+01,2019/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3320",N,N65a,"Schutterweg 103, Amsterdam"
"POINT (4.87973213195801 52.3513288991876)","119695",PLK,PLK,"2",2019/11/30 01:00:00+01,2019/11/30 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3324",K,K47g,"Reijnier Vinkeleskade 48, Amsterdam"
"POINT (4.85293686389923 52.3577793979809)","121066",GLK,GLK,"2",2020/12/01 01:00:00+01,2020/12/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","2",Glas,"3323",K,K44a,"Surinameplein 15, Amsterdam"
"POINT (4.86092984676361 52.3805177776888)","114801",GLE,"11","2",2020/01/01 01:00:00+01,2020/01/01 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","2",Glas,"3574",E,E37a,"Willem de Zwijgerlaan 334, Amsterdam"
"POINT (4.8521806 52.37845)","14392",RE4168,BAW01763,"1",2013/09/27 02:00:00+02,2013/09/27 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"519",E,E38c,"Egidiusstraat 18, Amsterdam"
"POINT (4.8415645 52.3822097)","103536",RE0872,"111","1",2017/10/03 02:00:00+02,2017/10/03 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E39d,"Lauernessestraat 8, Amsterdam"
"POINT (4.84392464160919 52.379905438444)","14904",RE4424,BAW02019,"1",2015/02/16 01:00:00+01,2015/02/16 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"363",E,E39d,"Sinjeur Semeynsstraat 29, Amsterdam"
"POINT (4.8597925901413 52.3489761782284)","120520",PAK,PAK,"2",2020/12/01 01:00:00+01,2020/12/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","6",Papier,"3322",K,K48a,"Bernard Kochstraat 23, Amsterdam"
"POINT (4.89106186665595 52.4129457005725)","114113",GLN00,HBD2.0,"2",2019/12/31 01:00:00+01,2019/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","2",Glas,"3323",N,N65b,"Zonneplein 22, Amsterdam"
"POINT (4.90505620837212 52.4195687786108)","120576",PLN00,HBD2.0,"2",,2020/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","25",Plastic,"3324",N,N67a,"Arcellastraat 28, Amsterdam"
"POINT (4.92645677177734 52.351179263749)","10308",RE9579,BAO01556,"1",,,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"350",M,M55d,"Kamerlingh Onneslaan 19, Amsterdam"
"POINT (4.99181460589171 52.3556820652767)","123347",GFM008,"123","2",2020/12/31 01:00:00+01,2020/12/31 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","5",GFT,"4371",M,M35c,"Zwanebloemlaan 62, Amsterdam"
"POINT (4.94493325939402 52.3589265610553)","113522",PAM,HBD2.01,"2",2019/12/31 01:00:00+01,2019/12/31 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","6",Papier,"3322",M,M32d,"Kramatweg 91, Amsterdam"
"POINT (4.8577711 52.3817963)","93576",RE0969,"1112555","1",2018/01/26 01:00:00+01,2018/01/26 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37g,"Juliana van Stolbergstraat 6, Amsterdam"
"POINT (4.8075088 52.3634556)","29873",REF62444,"664356","1",2014/11/01 01:00:00+01,2014/11/01 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"628",F,F81b,"Oeverpad 514, Amsterdam"
"POINT (4.8532909 52.3799784)","103754",RE0709,"3","1",2017/10/20 02:00:00+02,2017/10/20 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37c,"Bos en Lommerweg 198, Amsterdam"
"POINT (4.8583159 52.3786212)","109048",GLE00020,2.018.2883,"1",2018/11/02 01:00:00+01,2018/11/02 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","2",Glas,"3581",E,E37d,"Bestevâerstraat 180, Amsterdam"
"POINT (4.8554368 52.3833552)","85029",RE0957,"7774848","1",2018/02/05 01:00:00+01,2018/02/05 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37f,"Bos en Lommerweg 42, Amsterdam"
"POINT (4.8745147 52.3503442)","118648",PAK02431,HBD20192708,"1",2019/11/25 01:00:00+01,2019/11/25 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","6",Papier,"3324",K,K49d,"Memlingstraat 3, Amsterdam"
"POINT (4.8492564 52.3826826)","103552",REE00046,"11","1",2017/12/13 01:00:00+01,2017/12/13 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37c,"Sara Burgerhartstraat 32, Amsterdam"
"POINT (4.8556533 52.3819283)","103771",re0893,"1","1",2017/09/27 02:00:00+02,2017/09/27 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37g,"Bos en Lommerweg 99, Amsterdam"
"POINT (4.875117 52.347404)","58499",REK00266,BAZ001851,"1",2017/01/12 01:00:00+01,2017/01/12 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3320",K,K49e,"Cliostraat 47, Amsterdam"
"POINT (4.874594 52.3698596)","78514",RE0759,BAW003158,"1",2017/07/03 02:00:00+02,2017/07/03 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E17a,"Potgieterstraat 13-1, Amsterdam"
"POINT (4.9065478 52.4198251)","53717",PAN1109,BAN001005,"1",2013/12/06 01:00:00+01,2013/12/06 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","6",Papier,"3319",N,N67a,"Stentorstr t/o 12, Amsterdam"
"POINT (4.8747111 52.3681942)","78480",RE0429,BAW003141,"1",2017/07/03 02:00:00+02,2017/07/03 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E17a,"Da Costastraat 93, Amsterdam"
"POINT (4.906584 52.4198263)","53397",GLN1109,BAN000845,"1",2015/08/31 02:00:00+02,2015/08/31 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","2",Glas,"3318",N,N67a,"Stentorstr t/o 12, Amsterdam"
"POINT (4.8689414 52.3691221)","84484",RE0788,"78487","1",2017/09/13 02:00:00+02,2017/09/13 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"404",E,E18a,"Bilderdijkkade 42, Amsterdam"
"POINT (4.8434769 52.3794727)","115324",REE00262,HBD2.018.2845,"2",2019/04/19 02:00:00+02,2019/04/19 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3574",E,E39d,"Leeuwendalersweg 27, Amsterdam"
"POINT (4.8714279 52.3653931)","84492",PA0157,"34521","1",2017/07/13 02:00:00+02,2017/07/13 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","6",Papier,"4312",E,E19b,"Bilderdijkkade 700, Amsterdam"
"POINT (4.8737097 52.369441)","78488",RE0756,BAW003145,"1",2017/07/03 02:00:00+02,2017/07/03 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E17a,"Da Costastraat 36, Amsterdam"
"POINT (4.897778 52.4118135)","51835",REN101002,BAN000064,"1",2006/05/09 02:00:00+02,2006/05/09 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3317",N,N65c,"Aardbeistr naast 2, Amsterdam"
"POINT (4.8728387 52.3694226)","78432",RE0755,BAW003117,"1",2017/07/03 02:00:00+02,2017/07/03 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E17a,"Potgieterstraat 30-3, Amsterdam"
"POINT (4.8567511 52.3802836)","103579",RE0887,"22","1",2018/02/05 01:00:00+01,2018/02/05 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37g,"Bestevâerstraat 245, Amsterdam"
"POINT (4.7893837 52.3568074)","27960",PAF61826,"660402","1",2013/11/23 01:00:00+01,2013/11/23 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"2083",F,F83a,"Langswater 519, Amsterdam"
"POINT (4.868834 52.3541406)","58161",REK00163,BAZ001728,"1",2018/03/09 01:00:00+01,2018/03/09 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3586",K,K46a,"Valeriusstraat 92, Amsterdam"
"POINT (4.8478537 52.3760046)","112074",GLE,"11","2",2020/02/25 01:00:00+01,2020/02/25 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","6",Papier,"3576",E,E38c,"Erasmusgracht 30, Amsterdam"
"POINT (4.8767093 52.3474626)","58501",REK00264,BAZ001852,"1",2013/12/05 01:00:00+01,2013/12/05 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3586",K,K49e,"Cliostraat 3, Amsterdam"
"POINT (4.90073852241039 52.4192933480798)","120271",PLN00,HBD2.0,"2",,2020/12/31 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","25",Plastic,"3324",N,N67a,"Walvisvaart 5, Amsterdam"
"POINT (4.8653039 52.3610342)","72329",PL0077*,BAW2742,"1",2016/10/13 02:00:00+02,2016/10/13 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","25",Plastic,"3324",E,E20c,"Eerste Helmersstraat 176, Amsterdam"
"POINT (4.7989768 52.3612649)","28444",REF89767,"663530","1",2014/11/12 01:00:00+01,2014/11/12 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"628",F,F81a,"Groenehuyzen 10, Amsterdam"
"POINT (4.8628449 52.353953)","58907",REK00495,BAZ002055,"1",2017/01/12 01:00:00+01,2017/01/12 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3320",K,K46c,"Emmaplein 7, Amsterdam"
"POINT (4.8606132 52.378928)","104035",RE0909,"1","1",2017/12/06 01:00:00+01,2017/12/06 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37d,"Tjerk Hiddes de Vriesstraat 5, Amsterdam"
"POINT (4.8679145 52.3705962)","84478",RE0780,"79605","1",2017/09/13 02:00:00+02,2017/09/13 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"404",E,E18a,"Bilderdijkkade 20, Amsterdam"
"POINT (4.8490519 52.3812166)","103990",REE00173,HBD 2.017.2174,"0",,2017/10/12 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37c,"Lucellestraat 70, Amsterdam"
"POINT (4.8721612 52.3464387)","118655",PLK00097,PLK00097,"1",2019/11/27 01:00:00+01,2019/11/27 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3324",K,K49f,"Minervaplein 48, Amsterdam"
"POINT (4.8415215 52.3829843)","103525",RE0870,"111","1",2017/10/02 02:00:00+02,2017/10/02 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E39d,"Lauernessestraat 32, Amsterdam"
"POINT (4.8070781 52.364705)","28426",PAF89210,"664681","1",2014/11/01 01:00:00+01,2014/11/01 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"1994",F,F81b,"Oeverpad 370, Amsterdam"
"POINT (4.8505239 52.3840029)","103910",RE0831,"2","1",2017/12/14 01:00:00+01,2017/12/14 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37f,"Doggersbankstraat 2, Amsterdam"
"POINT (4.8805882931083 52.347705722341)","58267",REK00246,BAZ001781,"1",2013/12/05 01:00:00+01,2013/12/05 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3320",K,K49b,"Verdistraat 2, Amsterdam"
"POINT (4.837905 52.3747719)","74700",RE0360,"1","1",2016/01/17 01:00:00+01,2016/01/17 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3555",E,E39b,"Fanny Blankers-Koenlaan 33, Amsterdam"
"POINT (4.9223368 52.4136021)","105832",REN00076,HBD2.018.2477,"1",2019/01/18 01:00:00+01,2019/01/16 01:00:00+01,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3320",N,N70d,"Noorderbreedte 153, Amsterdam"
"POINT (4.8609276 52.3798125)","103978","2","3","1",2017/12/14 01:00:00+01,2017/12/14 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37d,"Karel Doormanstraat 113, Amsterdam"
"POINT (4.8599531 52.3801807)","103809",RE0901,"2","1",2018/01/09 01:00:00+01,2018/01/09 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E37g,"Anna van Burenstraat 9, Amsterdam"
"POINT (4.8589511 52.3455677)","59033",REK00338,BAZ002118,"1",2017/01/12 01:00:00+01,2017/01/12 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3320",K,K48c,"Stadionweg 324, Amsterdam"
"POINT (4.8589511 52.3455677)","120661",PLK,PLK,"2",2020/12/01 01:00:00+01,2020/12/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3324",K,K48c,"Stadionweg 324, Amsterdam"
"POINT (4.8477596 52.377411)","103787",RE0880,"1","1",2017/09/22 02:00:00+02,2017/09/22 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3579",E,E38c,"Elckerlijcstraat 46, Amsterdam"
"POINT (4.852085 52.3806179)","14266",RE4102,BAW01700,"1",1980/01/01 01:00:00+01,1980/01/01 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"363",E,E37c,"Hertspieghelweg 1, Amsterdam"
"POINT (4.8075822 52.3534127)","27773",REF62186,"558686","1",2012/01/11 01:00:00+01,2012/01/11 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"244",F,F81e,"Pieter Calandplantsoen 7, Amsterdam"
"POINT (4.7793731 52.3530797)","28057",REF66975,"555416","1",2011/01/22 01:00:00+01,2011/01/22 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"244",F,F84a,"Jarasingel 27, Amsterdam"
"POINT (4.7846151 52.3579839)","27912",REF59981,"660438","1",2013/01/20 01:00:00+01,2013/01/20 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"2085",F,F83a,"Waterschapstraat 49, Amsterdam"
"POINT (4.8018329 52.3646967)","28376",GLF87174,"662949","1",2014/07/01 02:00:00+02,2014/07/01 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","2",Glas,"1993",F,F81a,"Boutenburg 4, Amsterdam"
"POINT (4.846917 52.3803704)","90592",PL0120,"111452","1",2018/02/05 01:00:00+01,2018/02/05 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","25",Plastic,"3582",E,E37c,"Gulden Winckelstraat 15, Amsterdam"
"POINT (4.8703645 52.3680287)","78344",PL0108,BAW003073,"1",2017/07/03 02:00:00+02,2017/07/03 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","25",Plastic,"3324",E,E17a,"Bilderdijkkade 41, Amsterdam"
"POINT (4.7981353 52.3605211)","28431",PAF89431,"663638","1",2014/11/20 01:00:00+01,2014/11/20 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"2392",F,F81a,"Vreedenhaven 3, Amsterdam"
"POINT (4.9439272 52.3505973)","9070",REM16425,"229484","1",2012/03/29 02:00:00+02,2012/03/29 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"350",M,M56c,"Edisonstraat 22, Amsterdam"
"POINT (4.8560917 52.3835678)","104586",REbovengronds,"1","1",2017/12/05 01:00:00+01,2017/12/05 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"471",E,E37f,"Bos en Lommerweg 47, Amsterdam"
"POINT (4.7857121 52.3462403)","28222",REF76445,"557524","1",2016/01/11 01:00:00+01,2016/01/11 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"2331",F,F84c,"Lirestraat 1, Amsterdam"
"POINT (4.8360994 52.3573113)","71249",REF31157,HBD2.017.0133,"1",2017/05/10 02:00:00+02,2017/05/10 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"3574",F,F87f,"Willem Frogerstraat 16, Amsterdam"
"POINT (4.895004 52.3514117)","90783",REK00049,helst,"1",2018/03/09 01:00:00+01,2018/03/09 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3320",K,K25b,"Van der Helstplein 17, Amsterdam"
"POINT (4.8729271 52.3446935)","118659",PLK00100,HBD20184261,"1",2019/11/27 01:00:00+01,2019/11/27 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","25",Plastic,"3324",K,K49f,"Stadionkade 17, Amsterdam"
"POINT (4.8913201 52.383491)","16262",REA00117,BAC00168,"1",2019/01/01 01:00:00+01,2019/01/01 01:00:00+01,"{""id"": 112, ""name"": ""A Centrum""}","1",Rest,"4286",A,A05a,"Westerdok 182, Amsterdam"
"POINT (4.8015509 52.3792425)","102447",PAF32178,HBD2.018.0759,"1",2018/04/09 02:00:00+02,2018/04/09 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"3580",F,F78c,"Sam van Houtenstraat 199, Amsterdam"
"POINT (4.94883969425473 52.366183224232)","82518",REM15585,HBD2.015.1931,"1",2015/07/01 02:00:00+02,2015/07/01 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3588",M,M32c,"Zeeburgerdijk 790, Amsterdam"
"POINT (4.96812326832924 52.2980803877826)","109806",PAT40008,HBD2.017.0281,"1",2017/04/03 02:00:00+02,2017/04/03 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","6",Papier,"3322",T,T96b,"Millingenhof 8, Amsterdam"
"POINT (4.818045 52.3775552)","107917",REF31807,HBD2.018.3476,"1",2018/10/22 02:00:00+02,2018/10/22 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"3574",F,F77d,"Van Moerkerkenstraat 17, Amsterdam"
"POINT (4.8721279 52.369091)","78390",RE0770,BAW003096,"1",2017/07/03 02:00:00+02,2017/07/03 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E17a,"Da Costakade 112, Amsterdam"
"POINT (4.88750651478767 52.3475605531904)","49700",REK00956,BAZ001440,"1",2001/01/01 01:00:00+01,2001/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3310",K,K52a,"Churchill-laan 288, Amsterdam"
"POINT (4.81802321970463 52.3496823353452)","81606",GLF33052,HBD2.017.3470,"1",2017/12/01 01:00:00+01,2017/12/01 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","2",Glas,"3630",F,F88f,"Houthalenstraat 20, Amsterdam"
"POINT (4.8574964 52.3622223)","60085",REE00245,BAW02634,"1",2015/08/12 02:00:00+02,2015/08/12 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E43a,"Van Rensselaerstraat 1, Amsterdam"
"POINT (4.97554728760633 52.3150244640071)","108518",RET20209,HBD2.017.1895,"1",2017/09/07 02:00:00+02,2017/09/07 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","1",Rest,"3320",T,T94f,"Karspeldreef 1093, Amsterdam"
"POINT (4.7921321 52.3445273)","28494",REF97678,"660687","1",2013/07/01 02:00:00+02,2013/07/01 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"628",F,F84c,"Sporadenlaan 69, Amsterdam"
"POINT (4.94494428857479 52.3577563962917)","104204",PAM60011,HBD 2 . 018 . 1622,"1",2018/05/23 02:00:00+02,2018/05/23 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","6",Papier,"3590",M,M56h,"Carolina MacGillavrylaan 159, Amsterdam"
"POINT (4.94609054176635 52.3165523524295)","77508",PLT50143,HBD2.017.0292,"1",2017/04/03 02:00:00+02,2017/04/03 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","25",Plastic,"3324",T,T93a,"Brentanostraat 148, Amsterdam"
"POINT (4.8270205 52.3526189)","109605",PAF32263,HBD2.018.3791,"1",2018/11/21 01:00:00+01,2018/11/21 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","6",Papier,"4654",F,F89a,"Louis Bouwmeesterstraat 130, Amsterdam"
"POINT (4.86625885943795 52.34533347361)","58167",REK00356,BAZ001731,"1",2013/12/05 01:00:00+01,2013/12/05 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3586",K,K48f,"Van Tuyll van Serooskerkenplein 28, Amsterdam"
"POINT (4.8116908 52.3540836)","27768",REF52193,BANWS00042,"1",2012/11/02 01:00:00+01,2012/11/02 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"2331",F,F81e,"Buziaustraat 4, Amsterdam"
"POINT (4.98994505032215 52.2921862774649)","76835",RET20027,BAZO00189,"1",2016/10/12 02:00:00+02,2016/10/12 02:00:00+02,"{""id"": 113, ""name"": ""T Zuidoost""}","1",Rest,"3141",T,T97d,"Wethouder Serrurierstraat 90, Amsterdam"
"POINT (4.96008306741715 52.3944061012646)","52145",REN101155,BAN000219,"1",2006/09/07 02:00:00+02,2006/09/07 02:00:00+02,"{""id"": 181, ""name"": ""N Noord""}","1",Rest,"3317",N,N68d,"Eierlandstr t/o 34, Amsterdam"
"POINT (4.8248565 52.3435178)","29600",REF62141,"554401","1",2016/01/11 01:00:00+01,2011/07/01 02:00:00+02,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"139",F,F88b,Louis Armstrongstraat
"POINT (4.87786939018406 52.3834252307308)","11124",unknown,BAW00129,"1",2009/09/01 02:00:00+02,2009/09/01 02:00:00+02,"{""id"": 110, ""name"": ""E West""}","1",Rest,"335",E,E14a,"De Wittenkade 87, Amsterdam"
"POINT (4.8491199 52.3744164)","103678",REE00340,"22","1",2017/12/22 01:00:00+01,2017/12/22 01:00:00+01,"{""id"": 110, ""name"": ""E West""}","1",Rest,"3320",E,E38c,"Mercatorstraat 133, Amsterdam"
"POINT (4.907912 52.3419689)","49206",REK00822,BAZ001193,"1",2001/01/01 01:00:00+01,2001/01/01 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","1",Rest,"3310",K,K54b,"Vechtstraat 158, Amsterdam"
"POINT (4.8979327 52.3510284)","47138",GLK01825,GLK01825,"1",2019/01/16 01:00:00+01,2019/01/16 01:00:00+01,"{""id"": 67, ""name"": ""K Zuid""}","2",Glas,"3323",K,K26b,"Henrick de Keijserplein 45, Amsterdam"
"POINT (5.00454185530543 52.3487418823076)","21827",REM15699,HBD2.011.01194,"1",2014/05/01 02:00:00+02,2014/05/01 02:00:00+02,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"376",M,M51b,"Jan Vrijmanstraat 108, Amsterdam"
"POINT (4.95045991613779 52.3436989623895)","82896",REM16019,HBD2.015.2774,"1",2015/11/12 01:00:00+01,2015/11/12 01:00:00+01,"{""id"": 111, ""name"": ""M Oost""}","1",Rest,"3320",M,M56f,"Praterlaan 80, Amsterdam"
"POINT (4.8030588 52.3625957)","28416",REF88912,"553444","1",2013/11/20 01:00:00+01,2013/11/20 01:00:00+01,"{""id"": 16, ""name"": ""F Nieuw-West""}","1",Rest,"2085",F,F81a,"Osdorper Ban 61, Amsterdam"
