,distance,penalties,simple penalties
0,116.08608930901478,60.05932817875248,217339.18800000002
1,135.38036107016933,79.8686749493906,251330.577
2,134.99424812731067,79.025519549755,250056.20499999996
3,140.5519973573642,84.22753834215132,249621.52300000002
4,133.23513302751672,77.12077363279698,249619.34800000003
5,137.79901899180783,81.54238249413544,250435.009
6,133.93274609982262,77.96212429438268,249522.688
7,135.83767697866716,79.72221847909768,249602.94600000003
8,138.9055238851847,82.9002982243868,250162.161
9,137.08629119669186,81.31547899189452,251262.659
10,135.93046304813427,79.80001250589886,251396.796
11,134.44249781229846,78.44734736724193,251370.759
12,137.02504992318921,81.17192691660888,250827.17199999996
13,134.00729251961783,77.94699791949174,249835.906
14,137.36851827691137,81.24583294967849,248833.09300000002
15,135.8732906661494,79.52073743539509,250305.07400000002
16,138.00683938873786,81.82532198705654,251265.15800000002
17,137.00832477955242,81.09863574201464,253194.729
18,134.9022842029337,78.97592889284425,251682.28999999998
19,136.15839365815327,80.22787946707865,250283.49000000002
20,137.906668596558,82.10922890780631,251986.26900000003
21,136.17289091911738,80.26947094392564,250664.659
22,136.21583025316733,80.08203536522676,251037.571
23,135.707172272293,79.9808756393643,249728.67799999996
24,136.8770108333131,80.574214248233,250141.189
25,136.58434520533,80.77349280633388,249846.778
26,137.58422097958203,81.44872390501685,250712.14999999997
27,136.26070167660373,80.51681540808237,249806.83599999998
28,138.4646116621835,82.10913022702852,250856.77699999997
29,138.64524476415392,82.72928011754722,250197.488
30,136.6119398351222,80.6510677063822,250566.03100000002
31,137.48793023208964,81.60347610344401,252884.32100000003
32,136.96524076644928,81.1401024264508,249952.764
33,136.2542026593916,80.1771579096104,249332.436
34,137.44981311925937,81.28956808366391,250244.41
35,136.05125480282706,79.9402104255608,249662.93199999997
36,135.4409933474792,79.50034645017824,252872.783
37,138.23836926776792,82.11781595767235,250978.10700000002
38,135.13155188035245,79.02465425494348,249646.55700000003
39,139.04789956352826,83.23626365903402,253921.52300000002
40,138.2611418633688,81.8932926063346,251051.934
41,142.01307447352087,86.0856412847293,251226.64
42,135.80281008377438,79.60357643847412,250030.805
43,138.43060560425917,82.33314455872119,252693.84600000002
44,138.7948748321856,82.97895577930537,252045.91799999998
45,136.81548866990596,80.49279099731596,248052.271
46,136.7820850545281,80.93130450973213,250384.16999999998
47,136.1794394550447,79.97735972194326,249809.68800000002
48,137.06153483651795,81.29779854983028,251708.732
49,135.27801881276258,78.9687312111412,249881.75100000002
50,137.13766964707537,80.80417098968232,250446.195
51,136.4863544657626,80.39136398614066,248851.829
52,135.60028518194147,79.65370423714134,250406.25600000002
53,138.9078484657143,82.74905264681922,252028.70899999997
54,137.6906370047086,81.77229942512014,251589.521
55,140.1158974149452,83.8537449581515,250458.691
56,134.10197738639835,78.0550829671233,248617.125
57,133.9362060541137,78.23908386346658,251591.777
58,139.04433439293422,82.75319126917388,252206.38999999998
59,137.15026266377154,81.12644195662664,250168.27200000003
60,138.9532724075156,83.19772337678647,252611.509
61,141.5536634832063,85.5761617307865,250485.68
62,135.90838983397336,79.77821582056313,251023.78799999997
