,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
1317,124397,485895,767339.0,85050.0,afval_cluster,124397.259|485894.817,"['Glas:1', 'Papier:1']","['Glas:4.69 m3', 'Papier:4.69 m3']",Ambonplein,M31c,M31,M,0,0,1,1,0,2,True,0.0
1318,124399,487385,597524.0,40997.0,afval_cluster,124398.536|487384.502,['Rest:2'],['Rest:9.38 m3'],Fred Petterbaan,M33b,M33,M,2,0,0,0,0,2,True,0.0
1319,124401,485902,713525.0,70271.0,afval_cluster,124400.582|485902.438,"['Rest:1', 'Plastic:1', 'Textiel:1']","['Rest:4.69 m3', 'Plastic:4.69 m3', 'Textiel:3 m3']",Obiplein,M31c,M31,M,1,1,0,0,1,3,True,0.0
1320,124402,486398,744921.0,23252.0,afval_cluster,124402.471|486397.825,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:4.69 m3', 'Papier:4.69 m3', 'Plastic:4.69 m3']",Madurastraat,M31a,M31,M,0,1,1,1,0,3,True,0.0
1321,124413,485390,614274.0,14899.0,afval_cluster,124413.465|485389.587,['Rest:1'],['Rest:5 m3'],Laplacestraat,M56b,M56,M,1,0,0,0,0,1,True,0.0
1322,124419,485675,860932.0,61642.0,afval_cluster,124419.447|485675.214,['Rest:2'],['Rest:9.38 m3'],Valentijnkade,M31c,M31,M,2,0,0,0,0,2,True,0.0
1323,124423,484668,916890.0,82536.0,afval_cluster,124423.305|484667.561,"['Rest:1', 'Glas:2', 'Papier:1']","['Rest:5 m3', 'Glas:8 m3', 'Papier:5 m3']",Middenweg,M56c,M56,M,1,0,1,2,0,4,True,0.0
1324,124423,484693,535486.0,160693.0,afval_cluster,124423.085|484692.940,['Textiel:1'],['Textiel:3 m3'],Christiaan Huygensplein,M56c,M56,M,0,0,0,0,1,1,True,0.0
1325,124425,486061,596361.0,24582.0,afval_cluster,124424.909|486061.181,"['Glas:1', 'Papier:1']","['Glas:4.69 m3', 'Papier:4.69 m3']",Insulindeweg,M31b,M31,M,0,0,1,1,0,2,True,0.0
1326,124426,484800,614757.0,151148.0,afval_cluster,124425.617|484799.828,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3']",Van Marumstraat,M56c,M56,M,1,0,1,1,0,3,True,0.0
1327,124428,487094,596074.0,156949.0,afval_cluster,124427.701|487094.356,['Rest:4'],['Rest:18.76 m3'],Borneolaan,M33g,M33,M,4,0,0,0,0,4,True,0.0
1328,124432,486309,538558.0,587.0,afval_cluster,124432.013|486308.627,['Rest:4'],['Rest:18.76 m3'],Javastraat,M31a,M31,M,4,0,0,0,0,4,True,0.0
1329,124433,486298,655674.0,57487.0,afval_cluster,124432.608|486298.009,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:4.69 m3', 'Papier:4.69 m3', 'Plastic:4.69 m3']",Javaplein,M31b,M31,M,0,1,1,1,0,3,True,0.0
1330,124435,487461,704057.0,77898.0,afval_cluster,124434.869|487461.283,"['Plastic:2', 'Textiel:2']","['Plastic:7 m3', 'Textiel:6 m3']",Veemkade,M33b,M33,M,0,2,0,0,2,4,True,0.0
1331,124441,487458,722872.0,111364.0,afval_cluster,124441.208|487457.607,"['Glas:2', 'Papier:3', 'Plastic:2']","['Glas:9.38 m3', 'Papier:14.07 m3', 'Plastic:9.38 m3']",Veemkade,M33b,M33,M,0,2,3,2,0,7,True,0.0
1332,124455,486455,717392.0,136205.0,afval_cluster,124455.418|486455.343,['Rest:3'],['Rest:14.07 m3'],Soendastraat,M31a,M31,M,3,0,0,0,0,3,True,0.0
1333,124459,487306,601559.0,156645.0,afval_cluster,124459.248|487305.689,['Rest:1'],['Rest:4.69 m3'],C. van Eesterenlaan,M33e,M33,M,1,0,0,0,0,1,True,0.0
1334,124469,485981,504054.0,156708.0,afval_cluster,124469.445|485980.919,"['Rest:2', 'Papier:1', 'Plastic:1']","['Rest:9.38 m3', 'Papier:4.69 m3', 'Plastic:4.69 m3']",Halmaheirastraat,M31c,M31,M,2,1,1,0,0,4,True,0.0
1335,124473,487257,818027.0,133687.0,afval_cluster,124473.056|487257.169,"['Rest:1', 'Glas:1', 'Papier:2']","['Rest:4.69 m3', 'Glas:4.69 m3', 'Papier:9.38 m3']",Panamakade,M33e,M33,M,1,0,2,1,0,4,True,0.0
1336,124476,484552,626033.0,143823.0,afval_cluster,124475.841|484552.327,['Rest:2'],['Rest:10 m3'],Middenweg,M55h,M55,M,2,0,0,0,0,2,True,0.0
1337,124477,485452,590969.0,114280.0,afval_cluster,124476.534|485451.550,['Rest:1'],['Rest:5 m3'],Archimedesweg,M56b,M56,M,1,0,0,0,0,1,True,0.0
1338,124488,486235,873500.0,82351.0,afval_cluster,124488.403|486235.273,['Rest:3'],['Rest:14.07 m3'],Molukkenstraat,M31b,M31,M,3,0,0,0,0,3,True,0.0
1339,124503,484949,792468.0,161121.0,afval_cluster,124503.132|484948.983,['Rest:1'],['Rest:5 m3'],Mariotteplein,M56c,M56,M,1,0,0,0,0,1,True,0.0
1340,124511,486778,644555.0,115180.0,afval_cluster,124510.590|486777.950,['Rest:1'],['Rest:4.69 m3'],Veelaan,M33h,M33,M,1,0,0,0,0,1,True,0.0
1341,124514,486196,833283.0,13834.0,afval_cluster,124513.609|486196.010,['Rest:7'],['Rest:7.7 m3'],Molukkenstraat,M32a,M32,M,7,0,0,0,0,7,True,0.0
1342,124524,485789,510851.0,93496.0,afval_cluster,124524.391|485788.696,['Rest:4'],['Rest:18.76 m3'],Sumatrastraat,M31c,M31,M,4,0,0,0,0,4,True,0.0
1343,124531,485275,849250.0,9763.0,afval_cluster,124531.080|485275.255,['Rest:1'],['Rest:5 m3'],Laplacestraat,M56b,M56,M,1,0,0,0,0,1,True,0.0
1344,124540,485778,527216.0,165671.0,afval_cluster,124540.042|485778.467,"['Glas:1', 'Papier:1']","['Glas:4.69 m3', 'Papier:4.69 m3']",Sumatrastraat,M31c,M31,M,0,0,1,1,0,2,True,0.0
1345,124542,485719,573107.0,33674.0,afval_cluster,124542.254|485719.130,"['Glas:1', 'Papier:1']","['Glas:4.69 m3', 'Papier:4.69 m3']",Valentijnkade,M31c,M31,M,0,0,1,1,0,2,True,0.0
1346,124543,485883,641805.0,907.0,afval_cluster,124542.970|485882.878,['Rest:2'],['Rest:9.38 m3'],Tidorestraat,M31c,M31,M,2,0,0,0,0,2,True,0.0
1347,124551,484840,625944.0,106685.0,afval_cluster,124550.775|484839.806,['Rest:4'],['Rest:20 m3'],Aragohof,M56c,M56,M,4,0,0,0,0,4,True,0.0
1348,124553,486573,851706.0,100037.0,afval_cluster,124553.217|486572.845,['Rest:1'],['Rest:4.69 m3'],Zeeburgerdijk,M32a,M32,M,1,0,0,0,0,1,True,0.0
1349,124567,486174,514484.0,123732.0,afval_cluster,124567.243|486173.791,['Rest:1'],['Rest:4.69 m3'],Ceramplein,M32a,M32,M,1,0,0,0,0,1,True,0.0
1350,124571,486108,876766.0,96130.0,afval_cluster,124571.477|486108.058,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:4.69 m3', 'Glas:4.69 m3', 'Papier:4.69 m3', 'Plastic:4.69 m3']",Haroekoestraat,M32a,M32,M,1,1,1,1,0,4,True,0.0
1351,124572,485729,821228.0,136661.0,afval_cluster,124571.781|485728.873,['Rest:2'],['Rest:9.69 m3'],Valentijnkade,M31c,M31,M,2,0,0,0,0,2,True,0.0
