,avg_distance,penalties,best,amount of modifications,4
0,158.70565701151128,85.7430134156622,85.7430134156622,,
1,158.75632307673348,85.59219586137198,29229.820000000003,85.7430134156622,14.0
2,159.38155774850418,86.14380129293576,29447.661,85.59219586137198,20.0
3,159.58122541571151,86.58046626710049,29416.394999999997,85.59219586137198,20.0
4,159.38799163425276,86.08436260272622,29152.141,85.59219586137198,14.0
5,159.02417390389797,85.55090105494722,29075.274,85.59219586137198,19.0
6,159.82840944508987,86.31179825740908,29167.411000000004,85.55090105494722,20.0
7,159.81347039606396,86.26442463763836,29359.109999999997,85.55090105494722,19.0
8,159.21597229107448,85.88210250562325,29141.09,85.55090105494722,15.0
9,160.7335259161579,87.10155295227032,29100.029,85.55090105494722,22.0
10,159.28201034925968,85.87338929802011,29284.534000000003,85.55090105494722,19.0
11,159.29232193563539,85.79774608374323,29183.126999999997,85.55090105494722,17.0
12,159.40012095236918,86.13593676149986,29316.693,85.55090105494722,25.0
13,158.96071463850507,85.61148954643201,29174.184,85.55090105494722,20.0
14,158.92559550365576,85.34418592011659,29140.94,85.55090105494722,19.0
15,158.838828056517,84.8494702447587,29268.231999999996,85.34418592011659,21.0
16,158.77600259567842,84.5284538617484,29217.338,84.8494702447587,19.0
17,159.26608030013847,85.04471112514834,29426.113999999998,84.5284538617484,18.0
18,160.55092041701624,86.25887555964071,29417.102,84.5284538617484,26.0
19,160.31653986167615,86.21105759079813,29436.101,84.5284538617484,27.0
20,159.79028702999904,85.52096179079766,29424.698999999997,84.5284538617484,14.0
21,159.22969969499715,85.10367961042485,29426.11,84.5284538617484,21.0
22,159.74758160106802,85.62845259913964,29397.996,84.5284538617484,18.0
23,159.07430210813885,84.95265044946598,29345.94,84.5284538617484,17.0
24,159.2983075852947,85.23295520396557,29366.506999999998,84.5284538617484,18.0
25,159.07863466772153,84.68099585863331,29231.195,84.5284538617484,17.0
26,161.2314412650811,87.54288800014834,29608.71,84.5284538617484,20.0
27,161.28889451946384,86.99170345303457,29301.569,84.5284538617484,26.0
28,160.58801087870248,86.32357232655887,29483.283000000003,84.5284538617484,19.0
29,161.18864888206718,86.90963734521783,29361.57,84.5284538617484,18.0
30,159.52110196254534,85.53223285770683,29542.578000000005,84.5284538617484,16.0
31,158.0011786997203,83.59331614074607,29271.733,84.5284538617484,25.0
32,159.9715378357581,85.71009447347585,29643.056999999997,83.59331614074607,16.0
33,159.8823294597332,85.55308831497035,29656.741,83.59331614074607,25.0
34,160.62740050999977,86.10934881239031,29374.721999999998,83.59331614074607,23.0
35,159.06858724605414,84.63692328781356,29562.365999999998,83.59331614074607,21.0
36,158.8366505963019,84.37541307433352,29363.862,83.59331614074607,18.0
37,162.12369834026435,87.62873808307342,29424.819,83.59331614074607,11.0
38,159.3258401259408,84.57809131505078,29132.263,83.59331614074607,19.0
