,avg_distance,penalties,simple_penalties,best,amount of modifications
0,116.08608930901478,60.05932817875248,217339.18800000002,60.05932817875248,
1,116.07326147086916,60.03647233426395,217241.842,60.05932817875248,14.0
2,116.04905728849215,59.99905731315358,217238.31,60.03647233426395,18.0
3,116.24839493355863,60.18023021774056,217267.459,59.99905731315358,21.0
4,116.10828795692208,60.06076032023119,217449.33000000002,59.99905731315358,26.0
5,116.08413136765722,60.04869901742725,217317.285,59.99905731315358,16.0
6,116.12786358844562,60.03413888631744,217376.237,59.99905731315358,25.0
7,116.14654758180883,60.08716290600739,217427.488,59.99905731315358,19.0
8,116.05981074564691,59.979645283569674,217299.368,59.99905731315358,18.0
9,115.93053325609189,59.84712565557269,217480.03799999997,59.979645283569674,14.0
10,116.1513896660789,60.06656015671149,217612.496,59.84712565557269,21.0
11,116.120623451669,60.035211541767694,217618.36800000002,59.84712565557269,21.0
12,115.95457075801434,59.857505916905446,217618.68599999996,59.84712565557269,20.0
13,116.10660467379485,60.008464258764924,217743.681,59.84712565557269,16.0
14,116.09598421774706,60.038436287901604,217610.909,59.84712565557269,19.0
15,115.9237517539735,59.838620684079046,217542.82,59.84712565557269,22.0
16,115.90815077052874,59.82809929931674,217677.024,59.838620684079046,20.0
17,115.9621874077693,59.84666153373301,217600.238,59.82809929931674,17.0
18,115.89023303171454,59.80760281333726,217746.835,59.82809929931674,20.0
19,115.97932341742421,59.92740495432593,217970.761,59.80760281333726,18.0
20,115.74536341162784,59.69368793497906,217853.12900000002,59.80760281333726,19.0
21,115.8124384844856,59.75790899990204,217964.888,59.69368793497906,31.0
22,115.81692356554748,59.74711473754072,217921.377,59.69368793497906,18.0
23,115.8085992964024,59.74106574160605,218141.01400000002,59.69368793497906,25.0
24,115.74906783532929,59.70048772343448,217962.87699999998,59.69368793497906,17.0
25,115.77082313594398,59.69495263216026,217831.26399999997,59.69368793497906,13.0
26,115.74711269830776,59.67568883934563,217822.558,59.69368793497906,11.0
27,115.67072525394838,59.62378170168319,217667.65600000002,59.67568883934563,23.0
28,115.65065270058115,59.59668294043569,217448.974,59.62378170168319,16.0
29,115.70078608966006,59.65260675713683,217676.768,59.59668294043569,19.0
30,115.65575761549277,59.59915231678933,217631.509,59.59668294043569,18.0
31,115.65883807645947,59.61340218571457,217613.998,59.59668294043569,18.0
32,115.62214933962821,59.572473957992365,217529.466,59.59668294043569,24.0
33,115.75259081227154,59.66609501866896,217491.06600000002,59.572473957992365,22.0
34,115.59543342239948,59.51753921004211,217667.116,59.572473957992365,24.0
35,115.56452076121921,59.50242271165055,217876.479,59.51753921004211,19.0
36,115.62013609703034,59.55843914876728,217963.33800000002,59.50242271165055,17.0
