,avg_distance,penalties,total_score,amount of modifications
0,176.8298279557808,290.13370978282364,466.96353773860443,
1,176.8179809777646,290.22674043775885,290.13370978282364,1.0
2,176.80252492774528,290.2041269531035,290.13370978282364,1.0
3,176.9910891783941,290.34463216412655,290.13370978282364,5.0
4,176.8269962781694,290.1285523354833,290.13370978282364,1.0
5,176.8366104470881,290.10231268336094,290.1285523354833,2.0
