,avg_distance,penalties,best,amount of modifications
0,249.6004611676881,308.1859662117452,308.1859662117452,
1,249.6838165615526,310.87252133906793,308.1859662117452,4.0
2,251.2628538202553,309.86524802481904,308.1859662117452,2.0
3,249.6004611676881,308.1859662117452,308.1859662117452,1.0
4,250.02315879221862,308.49028285773363,308.1859662117452,2.0
5,250.15030313520222,310.9996357526881,308.1859662117452,4.0
6,250.22257637792157,308.1886290529363,308.1859662117452,1.0
7,250.68606104945943,308.2737136889991,308.1859662117452,5.0
8,249.71525706754295,307.50663205128205,308.1859662117452,1.0
9,250.53919743092294,311.5806243719628,307.50663205128205,3.0
10,247.90196188525093,307.91385529363106,307.50663205128205,1.0
11,251.36166155242114,310.22555330851947,307.50663205128205,4.0
12,253.6817900059155,302.14897404880065,307.50663205128205,5.0
13,254.02487237615688,305.8914590363937,302.14897404880065,2.0
14,253.7899394572693,301.162870802316,302.14897404880065,3.0
15,254.30413794805537,303.64889559553353,301.162870802316,3.0
16,254.04767076121672,302.0575567411084,301.162870802316,1.0
17,253.7881136364261,299.4290261373036,301.162870802316,1.0
18,254.3592990233971,302.17494971050456,299.4290261373036,3.0
19,254.34766365492692,299.47092062605964,299.4290261373036,4.0
20,253.94842622038107,301.34857888751037,299.4290261373036,2.0
