,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,split,x,y,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
444,120014,488584,217761.0,120013.844~488583.867~afval_cluster~120013.844|488583.867,701079.0,47000.0,2020-04-01 13:57:12,2020-04-01 13:57:12,013ebe34-6a90-253e-b507-4e5962b7d60e,False,357.0,afval_cluster,120013.844|488583.867,"['120013.844', '488583.867', 'afval_cluster', '120013.844|488583.867']",120014.0,488584.0,['Rest:1'],['Rest:5 m3'],Fannius Scholtenstraat,E14d,E14,E,0,0,1,0,0,1,True,999.0
445,123066,483553,165397.0,123066.392~483552.920~afval_cluster~123066.392|483552.920,648691.0,34631.0,2020-04-01 13:57:12,2020-04-01 13:57:12,0108ea85-7bb3-c6f1-2e25-9318a139cc35,False,357.0,afval_cluster,123066.392|483552.920,"['123066.392', '483552.920', 'afval_cluster', '123066.392|483552.920']",123066.0,483553.0,['Rest:2'],['Rest:10 m3'],Amstelvlietstraat,M58g,M58,M,2,0,0,0,0,2,True,999.0
446,121375,484927,122756.0,121375.059~484927.242~afval_cluster~121375.059|484927.242,606026.0,96506.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1b1252c4-7998-4fc7-5c27-0abedd5155b6,False,357.0,afval_cluster,121375.059|484927.242,"['121375.059', '484927.242', 'afval_cluster', '121375.059|484927.242']",121375.0,484927.0,['Rest:1'],['Rest:7 m3'],Karel du Jardinstraat,K25c,K25,K,0,0,0,1,0,1,True,999.0
447,121060,485152,2712.0,121060.078~485152.429~afval_cluster~121060.078|485152.429,485917.0,128084.0,2020-04-01 13:57:12,2020-04-01 13:57:12,7ba09016-b7c1-2098-4a13-71977d283dd2,False,357.0,afval_cluster,121060.078|485152.429,"['121060.078', '485152.429', 'afval_cluster', '121060.078|485152.429']",121060.0,485152.0,['Rest:2'],['Rest:10 m3'],Eerste Jan van der Heijdenstraat,K24d,K24,K,0,0,1,1,0,2,True,999.0
448,119176,487266,258098.0,119176.045~487265.803~afval_cluster~119176.045|487265.803,741438.0,39904.0,2020-04-01 13:57:12,2020-04-01 13:57:12,d4f0cc47-482b-be21-f773-05bbde8c8633,False,357.0,afval_cluster,119176.045|487265.803,"['119176.045', '487265.803', 'afval_cluster', '119176.045|487265.803']",119176.0,487266.0,"['Glas:1', 'Papier:1']","['Glas:5 m3', 'Papier:3 m3']",Maarten Harpertszoon Trompstraat,E40b,E40,E,1,0,1,0,0,2,True,999.0
449,119037,485864,156148.0,119036.651~485863.604~afval_cluster~119036.651|485863.604,639437.0,103.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4931708b-c5d5-4c75-a159-8edc662c203b,False,357.0,afval_cluster,119036.651|485863.604,"['119036.651', '485863.604', 'afval_cluster', '119036.651|485863.604']",119037.0,485864.0,['Rest:2'],['Rest:10 m3'],J.J. Cremerplein,E21a,E21,E,2,0,0,0,0,2,True,999.0
450,118898,487664,239668.0,118898.004~487664.113~afval_cluster~118898.004|487664.113,722998.0,83739.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b338b367-74d5-e4e7-df4b-350c4bf813ad,False,357.0,afval_cluster,118898.004|487664.113,"['118898.004', '487664.113', 'afval_cluster', '118898.004|487664.113']",118898.0,487664.0,['Rest:1'],['Rest:5 m3'],Joos Banckersweg,E37e,E37,E,1,0,0,0,0,1,True,999.0
451,118770,488248,46331.0,118769.685~488248.136~afval_cluster~118769.685|488248.136,529561.0,37041.0,2020-04-01 13:57:12,2020-04-01 13:57:12,ced2a967-eb73-71da-02b8-44e392f68962,False,357.0,afval_cluster,118769.685|488248.136,"['118769.685', '488248.136', 'afval_cluster', '118769.685|488248.136']",118770.0,488248.0,['Rest:1'],['Rest:5 m3'],Bos en Lommerweg,E37g,E37,E,1,0,0,0,0,1,True,999.0
452,118331,488578,134473.0,118330.793~488578.042~afval_cluster~118330.793|488578.042,617748.0,78449.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f8f3e1a1-ff50-9538-f3d0-3dea4ee49b7f,False,357.0,afval_cluster,118330.793|488578.042,"['118330.793', '488578.042', 'afval_cluster', '118330.793|488578.042']",118331.0,488578.0,['Rest:2'],['Rest:10 m3'],Admiraal De Ruijterweg,E37f,E37,E,1,1,0,0,0,2,True,999.0
453,118288,484968,37484.0,118288.054~484967.674~afval_cluster~118288.054|484967.674,520708.0,143316.0,2020-04-01 13:57:12,2020-04-01 13:57:12,52df5517-491a-2520-0a13-b7643163209c,False,357.0,afval_cluster,118288.054|484967.674,"['118288.054', '484967.674', 'afval_cluster', '118288.054|484967.674']",118288.0,484968.0,['Rest:1'],['Rest:5 m3'],Stolwijkstraat,K44c,K44,K,1,0,0,0,0,1,True,999.0
