,avg_distance,penalties,best,amount of modifications
0,184.3575862531463,122.06725198638458,122.06725198638458,
1,185.42775805081706,122.48591368991463,122.06725198638458,25.0
2,184.55114635097007,122.30152973079855,122.06725198638458,14.0
3,184.8502395575904,122.59698447981695,122.06725198638458,28.0
4,184.67656378803795,122.6519052114347,122.06725198638458,18.0
5,185.00125247973415,122.36419086231085,122.06725198638458,14.0
6,184.2940874726922,121.80634382898786,122.06725198638458,16.0
7,184.3059381906195,119.32785756739452,121.80634382898786,22.0
8,184.26080521299926,118.39440981836671,119.32785756739452,16.0
9,185.95468773445458,118.69142808423491,118.39440981836671,26.0
10,185.4120653098471,118.79599886255568,118.39440981836671,21.0
11,184.6918573506133,118.61422420562506,118.39440981836671,21.0
12,184.58326270632432,119.00034090185778,118.39440981836671,22.0
13,187.43612692952175,119.08686407304877,118.39440981836671,26.0
14,184.19818027635614,117.84957986987187,118.39440981836671,17.0
15,184.980068065434,119.87660957562404,117.84957986987187,19.0
16,184.54938708964374,118.6485957689519,117.84957986987187,15.0
17,185.05389183552492,118.53875799779667,117.84957986987187,23.0
18,184.45134187608522,118.54582444996844,117.84957986987187,21.0
19,185.32947212002162,118.57455666760826,117.84957986987187,20.0
20,184.66194378024088,117.9571431386119,117.84957986987187,17.0
21,185.21551006886568,117.87901409291639,117.84957986987187,20.0
22,184.8185178817659,117.89958112049565,117.84957986987187,18.0
23,184.9132024345742,118.06379160475693,117.84957986987187,17.0
24,183.75806773298615,118.25655384772557,117.84957986987187,20.0
25,184.12023923657972,118.96641547065525,117.84957986987187,24.0
26,184.07893818164197,118.06602092407935,117.84957986987187,18.0
27,183.90932510060654,117.950348524053,117.84957986987187,22.0
28,184.25304158879703,117.83238544937524,117.84957986987187,22.0
29,185.53733557104727,119.17000154684897,117.83238544937524,25.0
30,185.6533681077234,118.34013425105901,117.83238544937524,23.0
31,184.9430767563697,118.38556333022606,117.83238544937524,17.0
32,185.85403200700645,118.42312600190202,117.83238544937524,25.0
33,184.62174300907273,119.19690501031045,117.83238544937524,14.0
34,184.6281473668211,118.0867934995245,117.83238544937524,24.0
35,184.78564265747178,118.61325463037765,117.83238544937524,23.0
36,185.387184620315,118.26748876811389,117.83238544937524,21.0
37,184.0544146916214,118.0090215113509,117.83238544937524,23.0
38,184.37503460329424,117.95609111446946,117.83238544937524,21.0
39,184.901391088681,118.06674152820541,117.83238544937524,23.0
40,185.90852139743077,119.04976729160191,117.83238544937524,21.0
41,185.0255840017439,118.60046277531004,117.83238544937524,28.0
42,185.53144566575685,118.44525668342703,117.83238544937524,16.0
43,185.58265799007353,118.8987560415431,117.83238544937524,18.0
44,184.73658671167175,117.89944626102842,117.83238544937524,21.0
45,184.44311646268216,118.54686682080542,117.83238544937524,20.0
46,184.44038226026112,117.30651376559543,117.83238544937524,21.0
47,184.8990708562689,119.13273812949032,117.30651376559543,23.0
48,184.61706851374709,117.52919935047693,117.30651376559543,13.0
49,184.13306259475095,118.84403428536454,117.30651376559543,16.0
50,185.1567361704891,117.9006024031789,117.30651376559543,15.0
51,184.91772811093225,117.56520217013025,117.30651376559543,14.0
52,184.77006096088303,118.67287169574674,117.30651376559543,26.0
53,184.5518381778225,117.47600240035405,117.30651376559543,19.0
54,185.05778756602206,118.32001029660739,117.30651376559543,17.0
55,186.12430773234465,117.91523044745341,117.30651376559543,26.0
56,184.34001143753096,118.02881915820004,117.30651376559543,27.0
57,186.94662733029045,117.77291230412142,117.30651376559543,16.0
58,183.79963406659988,117.44684661867592,117.30651376559543,21.0
59,185.78112203678452,117.39392120780408,117.30651376559543,11.0
60,184.39338117181495,117.7924364510692,117.30651376559543,23.0
61,184.28457148634106,117.21293836592876,117.30651376559543,15.0
62,184.19239083951848,116.99864184055909,117.21293836592876,21.0
63,186.1905451332093,117.43627277951202,116.99864184055909,29.0
64,184.38176670992132,117.04785020606792,116.99864184055909,13.0
65,185.63133305957675,118.5865632250337,116.99864184055909,29.0
66,183.90289296993282,116.31962955853368,116.99864184055909,24.0
67,183.8420262529225,118.7082038048532,116.31962955853368,22.0
68,184.05185083519262,116.38122892627766,116.31962955853368,14.0
69,184.49682678248587,118.77965013439214,116.31962955853368,27.0
70,185.42752811522632,116.61352112664102,116.31962955853368,32.0
71,184.6529362582618,117.15057796393573,116.31962955853368,19.0
72,184.84495921244996,116.4734903579062,116.31962955853368,23.0
73,184.00571892427607,116.9568059441872,116.31962955853368,19.0
74,185.66211708437638,116.71453098723981,116.31962955853368,27.0
75,184.01818993014933,116.5644139628229,116.31962955853368,17.0
76,184.46666176801932,116.58888979468654,116.31962955853368,21.0
77,184.11617087458598,116.69908861590258,116.31962955853368,19.0
78,184.29872675596346,116.28713977742777,116.31962955853368,21.0
79,185.61179416542063,116.81617280318392,116.28713977742777,16.0
80,184.67541769821423,116.0118018288646,116.28713977742777,19.0
81,184.62470563172724,116.12465386502316,116.0118018288646,25.0
82,185.3026125486415,116.96310371497553,116.0118018288646,14.0
83,185.51017465245047,117.5768882933615,116.0118018288646,22.0
84,184.9615341972128,117.1066021697962,116.0118018288646,17.0
85,185.26463888286696,116.69303771826576,116.0118018288646,20.0
86,184.43100120911123,115.85873319985288,116.0118018288646,14.0
87,185.42595198970537,116.73692984768891,115.85873319985288,14.0
88,185.1636083118631,116.5397218169815,115.85873319985288,29.0
89,185.7534585150092,116.15028101110032,115.85873319985288,30.0
90,185.18000968046374,116.8113055728877,115.85873319985288,25.0
91,185.16230874112728,118.25635523940659,115.85873319985288,16.0
92,184.7721187956518,116.15011674035442,115.85873319985288,19.0
93,186.16817904607095,116.35803396838719,115.85873319985288,21.0
94,185.71349756792816,115.98959830486734,115.85873319985288,16.0
95,184.27432510812582,117.35147645248163,115.85873319985288,23.0
96,184.64907469482802,115.88086044052324,115.85873319985288,24.0
97,185.2021325409327,117.73676218384843,115.85873319985288,21.0
98,184.79444829372733,115.99324516065754,115.85873319985288,25.0
99,183.55381779776363,115.93190837931358,115.85873319985288,22.0
100,184.89303762148586,116.23179705318157,115.85873319985288,15.0
101,185.55560066365712,118.01735972046438,115.85873319985288,21.0
102,185.30782418475764,117.52490371516411,115.85873319985288,30.0
