,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
237,123469,485669,726050.0,31907.0,afval_cluster,123469.364|485669.189,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:5 m3']",Vrolikstraat,M28c,M28,M,2,0,0,0,1,3,True,999.0
238,119116,482048,505493.0,152575.0,afval_cluster,119116.091|482047.679,['Rest:2'],['Rest:8 m3'],Overdam,K90d,K90,K,1,1,0,0,0,2,True,999.0
239,119634,481996,752475.0,137070.0,afval_cluster,119634.451|481996.275,"['Glas:1', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Glas:3 m3', 'Papier:4 m3', 'Plastic:4 m3', 'Textiel:3 m3']",Buitenveldertselaan,K90d,K90,K,2,1,0,1,0,4,True,999.0
240,122415,484338,732236.0,134791.0,afval_cluster,122414.694|484337.902,['Rest:2'],['Rest:8 m3'],Waverstraat,K54a,K54,K,2,0,0,0,0,2,True,999.0
241,123388,485424,911353.0,13422.0,afval_cluster,123388.425|485423.964,['Rest:1'],['Rest:7 m3'],Retiefstraat,M30b,M30,M,0,1,0,0,0,1,True,999.0
242,119904,484405,762767.0,49458.0,afval_cluster,119903.752|484405.326,"['Rest:1', 'Plastic:1']","['Rest:5 m3', 'Plastic:5 m3']",Minervaplein,K49f,K49,K,2,0,0,0,0,2,True,999.0
243,120060,482660,493817.0,56622.0,afval_cluster,120059.957|482659.797,['Rest:2'],['Rest:8 m3'],Gijsbrecht van IJselsteinstraat,K90a,K90,K,1,0,0,1,0,2,True,999.0
244,124045,485041,862193.0,30404.0,afval_cluster,124044.986|485041.247,['Rest:1'],['Rest:5 m3'],Middenweg,M56a,M56,M,1,0,0,0,0,1,True,999.0
245,124590,485236,562177.0,45149.0,afval_cluster,124589.884|485235.611,['Rest:1'],['Rest:5 m3'],Galileïplantsoen,M56c,M56,M,0,1,0,0,0,1,True,999.0
246,119163,484800,724550.0,118741.0,afval_cluster,119163.101|484799.566,['Rest:1'],['Rest:7 m3'],Pieter Lastmankade,K48a,K48,K,0,0,1,0,0,1,True,999.0
247,128992,484712,779835.0,151892.0,afval_cluster,128992.113|484711.727,"['Rest:2', 'Plastic:1']","['Rest:9.69 m3', 'Plastic:4.69 m3']",Emmy Andriessestraat,M51b,M51,M,2,1,0,0,0,3,True,999.0
248,124647,484643,776724.0,151703.0,afval_cluster,124647.181|484642.891,['Rest:2'],['Rest:10 m3'],Linnaeusparkweg,M56c,M56,M,1,0,0,0,1,2,True,999.0
249,122066,483936,502168.0,27084.0,afval_cluster,122065.754|483936.371,['Rest:2'],['Rest:8 m3'],Zomerdijkstraat,K54c,K54,K,1,0,1,0,0,2,True,999.0
250,123804,486428,555402.0,149968.0,afval_cluster,123803.905|486428.396,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3']",Roomtuintjes,M29a,M29,M,2,1,0,0,0,3,True,999.0
251,127896,485886,791337.0,94192.0,afval_cluster,127896.467|485886.167,['Rest:2'],['Rest:9.38 m3'],Cas Oorthuyskade,M35e,M35,M,1,0,1,0,0,2,True,999.0
