,avg_distance,penalties,simple_penalties,best,amount of modifications
0,146.29815405827264,87.35350588771615,14773.674,87.35350588771615,
1,147.5500897834597,88.53164885288143,15084.692000000001,87.35350588771615,13.0
2,147.03068809077845,88.27091303552848,14861.923999999999,87.35350588771615,16.0
3,147.50117149943014,89.14707863782766,14988.464,87.35350588771615,14.0
4,146.72270353054853,87.3155134691046,15088.874,87.35350588771615,11.0
5,147.27088062088103,87.86429313859571,15199.003999999999,87.3155134691046,16.0
6,148.1134907601209,89.30987355036915,15227.773,87.3155134691046,9.0
7,148.47369644120707,89.58534935483871,15398.252,87.3155134691046,10.0
8,146.599845898122,87.70657280362717,15186.126,87.3155134691046,16.0
9,144.50647623705464,86.44074091075763,14979.636999999999,87.3155134691046,13.0
10,144.77979564986867,86.81239082255587,15013.011000000002,86.44074091075763,10.0
11,144.25359007531836,85.84785249492096,15103.923999999999,86.44074091075763,10.0
12,144.46560231158017,85.98359544175214,15113.806999999999,85.84785249492096,7.0
13,143.8850922357663,85.49754404142512,15017.084,85.84785249492096,12.0
14,143.6692953902185,85.46677798424258,14980.26,85.49754404142512,17.0
15,143.52476976363903,85.39736169763637,14976.671,85.46677798424258,11.0
16,145.4617907918339,87.31432232099499,15000.680999999997,85.39736169763637,9.0
17,146.07102251375056,87.70491242059362,15460.487,85.39736169763637,17.0
18,146.0161606327734,87.5170280957336,15031.043,85.39736169763637,17.0
19,144.03598150934044,85.57339421981071,15034.535,85.39736169763637,9.0
20,144.85299430652597,87.63572665229673,15173.766,85.39736169763637,10.0
21,145.2865419999009,86.93481586244488,15011.020999999999,85.39736169763637,10.0
22,143.41455340220998,85.24262303800603,14945.096000000001,85.39736169763637,7.0
23,144.78513299093208,86.8956279079332,15041.986,85.24262303800603,20.0
24,144.03680886477377,85.52091555918933,15041.507,85.24262303800603,12.0
25,144.03092994351124,86.77301854516625,15146.099999999999,85.24262303800603,14.0
26,144.75969491155047,86.46380084336751,14995.704,85.24262303800603,11.0
27,145.5006925796541,86.96704227441653,14975.956,85.24262303800603,9.0
28,143.46946704920467,85.28022330360238,14955.712000000001,85.24262303800603,9.0
29,143.50649875421712,85.03181995782893,15058.304,85.24262303800603,8.0
30,143.87783651270092,85.53954060279817,15238.241999999998,85.03181995782893,14.0
31,142.6468333816233,84.09502136683868,15012.849,85.03181995782893,8.0
32,142.79807902956935,84.67293904693393,15097.338999999998,84.09502136683868,8.0
33,143.50660972563998,85.55990703462989,15192.288,84.09502136683868,15.0
34,142.6468333816233,84.09502136683868,15012.849,84.09502136683868,6.0
35,142.71088381226434,84.21734724895813,15024.595,84.09502136683868,10.0
36,143.45138352550106,85.57378299761858,15225.52,84.09502136683868,14.0
37,143.47468146159952,85.3038029504862,15157.889000000001,84.09502136683868,8.0
38,143.0383987477674,84.35150175183568,15062.005000000001,84.09502136683868,12.0
39,140.5899122960905,82.79823533786464,15082.404,84.09502136683868,7.0
40,139.5331783513594,82.28402869716214,15085.110999999999,82.79823533786464,14.0
41,139.69189439273666,82.57854667344711,15191.125999999998,82.28402869716214,12.0
42,140.2645787571939,83.19337929251836,15183.493999999999,82.28402869716214,7.0
43,139.58727930740227,82.47527663574121,15154.760999999999,82.28402869716214,10.0
44,139.9214039845184,83.2400146067583,15295.827,82.28402869716214,12.0
45,140.00184182675133,82.75415681682874,15196.109,82.28402869716214,13.0
46,139.55028181285968,82.37466141595556,15095.132,82.28402869716214,8.0
47,142.33702841833698,84.95785529470135,15350.051,82.28402869716214,11.0
48,140.43773754018653,83.61022522127406,15245.194,82.28402869716214,14.0
49,141.1184662968843,83.83997492558048,15218.923999999999,82.28402869716214,12.0
50,140.09304473357807,82.92958070897004,15120.131,82.28402869716214,9.0
51,139.15788464229013,82.04922327942052,15100.516,82.28402869716214,8.0
52,139.16671667890455,82.7547773273467,15320.881,82.04922327942052,14.0
53,139.29936231792018,82.34218358900576,15154.274999999998,82.04922327942052,10.0
54,140.42629298918436,83.42628688628696,15202.743999999999,82.04922327942052,16.0
55,141.36752609446316,84.938027332308,15384.508,82.04922327942052,18.0
56,139.2124106692796,82.12444726731495,15123.125999999998,82.04922327942052,6.0
57,139.04475020192498,81.71871355427665,15076.599,82.04922327942052,14.0
58,138.97146042220677,81.77452820003968,15087.849000000002,81.71871355427665,9.0
59,140.67064929747966,83.88243513842032,15430.920999999998,81.71871355427665,9.0
60,139.7887722702917,82.58621085979361,15133.012999999999,81.71871355427665,12.0
61,138.09484596596548,80.75779688231793,14919.953999999998,81.71871355427665,12.0
62,138.5612617731693,81.21495775004962,14982.92,80.75779688231793,11.0
63,138.31887810527883,81.19063785473307,14964.577,80.75779688231793,7.0
64,138.88580893183172,81.42541069259772,14944.057,80.75779688231793,11.0
65,138.04278897052987,80.64699807303039,14908.113999999998,80.75779688231793,9.0
66,139.17330252232586,81.88603515677714,14965.539999999999,80.64699807303039,14.0
67,138.06168002629488,81.05048880631077,14953.368,80.64699807303039,9.0
68,138.55348717999604,81.45055063752727,14980.583999999999,80.64699807303039,12.0
69,138.87730834490972,81.4587267091685,14954.571999999998,80.64699807303039,14.0
70,138.22070296437784,81.01177205397897,14996.731999999998,80.64699807303039,11.0
71,139.9444121958722,82.46613496923993,14994.181999999999,80.64699807303039,16.0
72,138.6355641982536,81.77274368327049,15034.896999999999,80.64699807303039,11.0
73,142.5790432169081,84.26338932179004,14810.161999999998,80.64699807303039,10.0
74,138.49908004911688,81.19043884153601,14952.745,80.64699807303039,16.0
75,139.30966113216908,82.63447750843423,15235.965,80.64699807303039,19.0
76,138.3606371388172,81.06083998610838,15105.234,80.64699807303039,12.0
77,138.68909680442547,81.36104393034333,14903.419000000002,80.64699807303039,12.0
78,140.64045730551697,82.76979670172653,15032.589,80.64699807303039,12.0
79,138.46511576552888,81.11304145862275,15033.617999999999,80.64699807303039,9.0
80,140.46419140107164,82.74582875818616,14940.185,80.64699807303039,16.0
81,140.28789879093074,82.85932585235165,15210.690999999999,80.64699807303039,14.0
82,137.67232815489183,80.08606489680491,14828.534,80.64699807303039,11.0
83,138.19383846298868,80.70397620162731,14940.339,80.08606489680491,15.0
84,138.23364390504065,80.36898830968447,14904.729999999998,80.08606489680491,13.0
85,138.37263852103592,80.86026883310183,14959.925999999998,80.08606489680491,13.0
86,137.98911824419525,80.55749437934116,14868.706,80.08606489680491,15.0
87,137.4192323586029,79.54177706588608,14949.107999999998,80.08606489680491,9.0
88,137.41829015727325,80.19892379390751,15080.411,79.54177706588608,10.0
89,137.45799739928555,79.66287488489778,14979.551999999998,79.54177706588608,10.0
90,137.80199333300257,80.05896920222267,14958.078,79.54177706588608,12.0
91,138.92604197062906,81.5369225575511,15143.161999999998,79.54177706588608,14.0
92,138.46600699345106,79.46897329876958,15151.637999999999,79.54177706588608,8.0
93,139.86321576007145,80.62807895217306,15166.885,79.46897329876958,16.0
94,139.67846070897,80.31844884203214,15340.23,79.46897329876958,10.0
95,141.54816499553482,82.24031484868028,14946.345,79.46897329876958,14.0
96,138.87468813851953,80.16952417791228,15294.534,79.46897329876958,12.0
97,138.5177445758087,79.53687865151817,15086.733,79.46897329876958,12.0
98,138.88197625272872,79.78149474697359,15146.466,79.46897329876958,9.0
99,140.15062486852548,80.40392728368722,15284.38,79.46897329876958,14.0
100,138.98767293163326,80.4434426250248,15271.146,79.46897329876958,17.0
101,138.87335864506846,79.55236269944432,15133.937999999996,79.46897329876958,15.0
102,138.46600699345106,79.46897329876958,15151.637999999999,79.46897329876958,5.0
103,139.05014569755906,80.4220248258583,15294.434,79.46897329876958,12.0
104,137.78338415955548,80.10375856568764,14942.597,79.46897329876958,6.0
105,138.11540906231394,79.78457338807301,15204.797999999999,79.46897329876958,7.0
106,139.11988622990668,80.59269261063703,15242.914,79.46897329876958,11.0
107,138.01530728914466,79.75214003373685,15123.937000000002,79.46897329876958,11.0
108,138.5993719989085,79.96572231196666,15237.996,79.46897329876958,12.0
109,138.78879629986108,80.04451568168288,15294.710000000001,79.46897329876958,8.0
110,138.47808631524111,79.94009468247668,15328.831000000002,79.46897329876958,19.0
111,138.2025803646557,79.35305047628496,15146.309,79.46897329876958,18.0
112,138.67855162135345,79.78101948799365,15365.218999999997,79.35305047628496,9.0
113,139.03155295594365,80.69522575659855,15253.095,79.35305047628496,16.0
114,137.9129475019845,79.90744759476085,15217.379,79.35305047628496,14.0
115,139.02470720728317,80.20051972712841,15254.292,79.35305047628496,10.0
116,139.57106555318515,81.71889053185156,15163.161,79.35305047628496,16.0
117,138.2647309118873,79.81638211698748,15178.671000000002,79.35305047628496,16.0
118,138.46038520539793,79.828943086922,15314.936999999998,79.35305047628496,11.0
119,138.54737711748362,79.657974428458,15200.347,79.35305047628496,5.0
120,139.75781896606472,80.63573492855724,15147.981,79.35305047628496,9.0
121,138.4077565414765,79.81655341734469,15231.601999999999,79.35305047628496,15.0
122,138.38942398690216,79.68210715866242,15211.443,79.35305047628496,17.0
123,139.16067810924787,80.29489225044651,15051.384000000002,79.35305047628496,10.0
124,139.17919227475687,80.142414771284,15171.233,79.35305047628496,12.0
125,139.48029801051797,80.70707531653105,15247.172999999999,79.35305047628496,17.0
126,138.3169281449692,79.40598196318714,15112.639,79.35305047628496,17.0
127,138.86247276195675,80.18430098680292,15241.197,79.35305047628496,18.0
128,138.0652891848581,79.20862682774359,15484.976,79.35305047628496,11.0
129,138.45087579678506,79.52563293014485,15555.576000000001,79.20862682774359,11.0
130,139.23671282744593,79.52513816977573,15649.756,79.20862682774359,16.0
131,138.99829159704302,79.66398129589201,15584.545999999998,79.20862682774359,15.0
132,140.5778429112919,81.04292680244096,15417.676000000001,79.20862682774359,15.0
133,139.03122919924587,80.56628389412579,15450.621999999998,79.20862682774359,9.0
134,138.90972289045442,80.17007207035125,15553.693,79.20862682774359,10.0
135,138.39553661639215,79.56415070996229,15517.585,79.20862682774359,9.0
